launch_role,episode_interpretation_label,row_count
final_heldout,claim_bearing_rollout,20
final_heldout,expected_low_energy_dry_air_sink_not_governor_failure,20
history,claim_bearing_hard_failure,8
history,claim_bearing_rollout,285
history,expected_low_energy_dry_air_sink_not_governor_failure,99
history,no_viable_primitive,38
