library_size_case_id,policy_id,launch_role,first_decision_candidate_rows,first_decision_viable_rows
balanced_cluster,no_memory_baseline,final_heldout,6,6
balanced_cluster,spatial_flow_belief_memory_h10,final_heldout,6,6
balanced_cluster,spatial_flow_belief_memory_h3,final_heldout,6,6
balanced_cluster,spatial_flow_belief_memory_h30,final_heldout,6,6
heavy_cluster,no_memory_baseline,final_heldout,4,4
heavy_cluster,spatial_flow_belief_memory_h10,final_heldout,4,4
heavy_cluster,spatial_flow_belief_memory_h3,final_heldout,4,4
heavy_cluster,spatial_flow_belief_memory_h30,final_heldout,4,4
light_cluster,no_memory_baseline,final_heldout,7,7
light_cluster,spatial_flow_belief_memory_h10,final_heldout,7,7
light_cluster,spatial_flow_belief_memory_h3,final_heldout,7,7
light_cluster,spatial_flow_belief_memory_h30,final_heldout,7,7
no_cluster_no_merge,no_memory_baseline,final_heldout,28,28
no_cluster_no_merge,spatial_flow_belief_memory_h10,final_heldout,30,30
no_cluster_no_merge,spatial_flow_belief_memory_h3,final_heldout,28,28
no_cluster_no_merge,spatial_flow_belief_memory_h30,final_heldout,28,28
super_light_cluster,no_memory_baseline,final_heldout,16,16
super_light_cluster,spatial_flow_belief_memory_h10,final_heldout,16,16
super_light_cluster,spatial_flow_belief_memory_h3,final_heldout,16,16
super_light_cluster,spatial_flow_belief_memory_h30,final_heldout,16,16
