split,session_label,case_id,throw_id,residual_status,sample_index,t_since_alignment_s,regime,speed_m_s,q_bar_pa,alpha_deg,q_rad_s,q_hat,post_stall_activation,theta_deg,z_m,cx_required,cx_model,cx_residual,cz_required,cz_model,cz_residual,cl_required,cl_model,cl_residual,cd_required,cd_model,cd_residual,cm_required,cm_model,cm_residual,pitch_moment_required_n_m,pitch_moment_model_n_m,pitch_moment_residual_n_m,force_residual_norm_n,angular_accel_q_rad_s2
train,20260604_151619,C0_neutral,v001,ok,27,0.06770180001,attached,4.530406133,12.57130509,11.5677111,1.308492164,0.02382801903,0,13.94064198,1.457214261,-0.02681960051,-0.09091567821,0.0640960777,-1.074493544,-0.8402926635,-0.2342008805,1.04729085,0.8049940404,0.2422968091,0.2417385851,0.2575694386,-0.01583085341,0.015268134,0.01548460361,-0.0002164696114,0.003992340515,0.004048943398,-5.660288282e-05,0.7286206418,1.605492402
train,20260604_151619,C0_neutral,v001,ok,28,0.0741944,attached,4.508558854,12.45035055,11.62458179,1.267673,0.02319655257,0,14.25867394,1.458014198,-0.0399034572,-0.09097807109,0.0510746139,-1.05981273,-0.8414656153,-0.2183471144,1.030034321,0.8058743067,0.2241600141,0.2526353217,0.258665794,-0.006030472279,0.01338056477,0.01775570029,-0.004375135518,0.003465111957,0.004598123505,-0.001133011548,0.7036891631,1.390061168
train,20260604_151619,C0_neutral,v001,ok,29,0.0807819,transition,4.470442014,12.24072173,12.17805358,1.32884973,0.02452332508,0.001464031609,15.13094196,1.459522458,-0.03073054215,-0.0900272963,0.05929675415,-1.084627765,-0.8523587312,-0.2322690337,1.053737515,0.8141866112,0.2395509034,0.2588416603,0.2678068016,-0.008965141288,0.01272702413,0.006469591366,0.006257432761,0.003240374005,0.001647195407,0.001593178598,0.7062658033,1.299867821
train,20260604_151619,C0_neutral,v001,ok,30,0.0867779,transition,4.446495273,12.10993363,12.25309157,1.292031313,0.02397226958,0.002939266583,15.45657628,1.460541025,-0.04516423501,-0.09006074949,0.04489651447,-1.076717003,-0.8533429123,-0.2233740906,1.042603796,0.8147898385,0.2278139574,0.2726474599,0.2691144434,0.003533016459,0.008399413542,0.007897428093,0.000501985449,0.002115689711,0.001989246902,0.0001264428099,0.6852573383,0.8508307625
train,20260604_151619,C0_neutral,v001,ok,31,0.0933281,transition,4.429184878,12.01582819,12.58138103,1.335609939,0.02487767457,0.01507631938,15.91438365,1.46142477,-0.04079726155,-0.08913524447,0.04833798292,-1.101323622,-0.8561246654,-0.2451989567,1.065991489,0.8161510743,0.2498404149,0.2797146438,0.2734811848,0.006233459031,0.002981997576,-0.001573777188,0.004555774763,0.0007452847642,-0.0003933310241,0.001138615788,0.7079940693,0.2896797746
train,20260604_151619,C0_neutral,v001,ok,32,0.0992016,transition,4.405117004,11.88559669,12.85338182,1.344029305,0.02517127639,0.03170953912,16.3239138,1.462399265,-0.03990463936,-0.08843227225,0.04852763289,-1.117344285,-0.8578359992,-0.259508286,1.080469386,0.8166684158,0.2638009701,0.2874657165,0.2770479507,0.01041776581,-0.002598450797,-0.007805445028,0.005206994232,-0.0006423869859,-0.001929656052,0.001287269066,0.7191874511,-0.2613965101
train,20260604_151619,C0_neutral,v001,ok,33,0.1054121,transition,4.365186351,11.67109677,13.23596341,1.32441568,0.02503084286,0.0642312579,17.08291726,1.464661402,-0.03027562224,-0.08684758383,0.05657196159,-1.134660328,-0.8543281952,-0.2803321326,1.097586543,0.8117485015,0.285838041,0.2892653702,0.2801491355,0.009116234685,-0.01025644599,-0.01693543781,0.006678991817,-0.002489830684,-0.004111207014,0.00162137633,0.7381292401,-1.014603763
train,20260604_151619,C0_neutral,v001,ok,34,0.111434,transition,4.341961494,11.54723564,13.49330147,1.320537056,0.02509103484,0.09152111224,17.47208275,1.465800787,-0.02662074541,-0.08565577328,0.05903502787,-1.134922998,-0.8512014399,-0.2837215579,1.097384489,0.8077196965,0.2896647925,0.2906994294,0.2819036975,0.00879573189,-0.01045781398,-0.02423234843,0.01377453445,-0.002511771844,-0.005820158077,0.003308386233,0.7459542534,-1.016232678
train,20260604_151619,C0_neutral,v001,ok,35,0.1174716,transition,4.318457961,11.42256099,13.83565281,1.330750945,0.02542272125,0.1337890637,17.87747498,1.46691093,-0.02526495594,-0.08411187322,0.05884691729,-1.147863529,-0.8466701801,-0.3011933491,1.108517225,0.8019902849,0.3065269405,0.2990293639,0.2841421896,0.01488717432,-0.01426439993,-0.03558499222,0.02132059229,-0.003389052052,-0.008454571626,0.005065519574,0.7515941982,-1.34857046
train,20260604_151619,C0_neutral,v001,ok,36,0.1234962,transition,4.275528753,11.1965895,14.18448857,1.289832007,0.02488841654,0.1829668967,18.57942155,1.469606719,-0.02744001122,-0.08213006065,0.05469004943,-1.145395759,-0.8376616134,-0.3077341459,1.103750583,0.7919972017,0.3117533817,0.3072768287,0.2848907826,0.02238604602,-0.01794050674,-0.04524254827,0.02730204153,-0.004178127691,-0.01053644395,0.006358316261,0.7413298252,-1.657054505
