primitive_variant_id,primitive_id,entry_role,transition_entry_class,controller_id,candidate_index,candidate_weight_label,local_lqr_speed_bin_id,local_lqr_reference_speed_m_s,K_gain_checksum,augmented_A_checksum,augmented_B_checksum,augmented_gain_checksum,Q_weight_json,R_weight_json,reference_state_vector,reference_command_vector,finite_horizon_s,controller_input_slots_per_primitive,controller_input_update_period_s,primitive_timing_contract_version,timing_augmentation_type,transition_object_id,w3_variant_status,eligible_for_post_w3_library_size_study,compatible_row_count,incompatible_row_count,continuation_valid_count,episode_terminal_useful_count,hard_failure_count,blocked_count,positive_continuation_count,transition_chain_compatible_count,transition_chain_compatible_rate,transition_success_probability,transition_exit_classes_seen,transition_pairs_seen,accepted_count,continuation_valid_rate,episode_terminal_useful_rate,hard_failure_rate,minimum_wall_margin_min_m,floor_margin_min_m,ceiling_margin_min_m,energy_residual_mean_m,lift_dwell_mean_s,saturation_fraction_mean,w3_environment_modes_seen,w3_environment_mode_count,both_w3_modes_positive,status_reason
primvar_energy_retaining_bank_transition_object_071c70f03479,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_fb4b081013d8,5,energy_retaining_bank_robust_anchor_surface_aggressive_ref_agile_pitch_up_005,speed_bin_7p5_m_s,7.499999999999999,32c2e60c65fec2b585b3e9cb0f2a16fce45bff52c79f11e2965ac16cd3cc3943,4f5d934bc3d60a8e43ce0972e21274db050873d01b035e2087f8e340a1eb6746,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,0db8b37a0f3843cbea5bef555a2d80740ccac2da1130a832ec66f7020bd57da6,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":5.28,""q_rates"":1.9800000000000002,""q_surfaces"":0.12,""q_velocity"":0.66,""reference_bank_bias_rad"":0.0,""reference_pitch_bias_rad"":0.018,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.6,""r_elevator"":0.54,""r_rudder"":0.72}","[0.0,0.0,0.0,0.16,-0.04560645252588101,0.0,7.488799706034377,0.0,0.40973035389072937,0.0,0.0,0.0,0.0,-0.008985397011923286,0.0]","[0.0,-0.008985397011923286,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_071c70f03479__entry_boundary_near,route_usable,True,40,0,18,18,4,0,18,18,0.45,0.45,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,0,0.45,0.45,0.1,-0.0720939630054475,0.5067877830438698,0.7971669948028199,-0.03258075158300307,0.026000000000000002,0.49000000000000005,w3_randomised_four;w3_randomised_single,2,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_0db062b7f8da,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_911c5175aa1e,5,energy_retaining_bank_robust_anchor_surface_aggressive_ref_agile_pitch_up_005,speed_bin_7p0_m_s,7.0,d036e01b34dbd42112568371da4493ba3027f1ea81f60a07f53d9c21a55de5f0,4960290c4b345812154abcd290cb6390b92798e13de9f1681834a40c6dd42943,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,cc70acebe5da34e02c85799ad54f1bede4fe7057a3b1b6ff45ef1b9aca0152c7,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":5.28,""q_rates"":1.9800000000000002,""q_surfaces"":0.12,""q_velocity"":0.66,""reference_bank_bias_rad"":0.0,""reference_pitch_bias_rad"":0.018,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.6,""r_elevator"":0.54,""r_rudder"":0.72}","[0.0,0.0,0.0,0.16,-0.030102463587247313,0.0,6.986238655337723,0.0,0.4387134037899517,0.0,0.0,0.0,0.0,-0.010271096863337612,0.0]","[0.0,-0.010271096863337612,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_0db062b7f8da__entry_boundary_near,route_usable,True,40,0,18,18,4,0,18,18,0.45,0.45,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,1,0.45,0.45,0.1,-0.0721047570807691,0.5057819838131669,0.7971669948028199,-0.03145166487166544,0.024,0.55,w3_randomised_four;w3_randomised_single,2,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_3798078a7ac1,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_939cc43903f1,5,energy_retaining_bank_robust_anchor_surface_aggressive_ref_agile_pitch_up_005,speed_bin_3p0_m_s,3.0,6990ac93ec293e713af91f657bc2010b456f45c0ff011cf62711bb617239b5c3,1d1fcb4bc0a3d44eb46fb20c2ff74df8038da7f13c084e0025398358a3b0e8e7,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,8777701bc47e117034fb5940fcfbd51e9e5a3e075774070cae657c4e1d719a96,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":5.28,""q_rates"":1.9800000000000002,""q_surfaces"":0.12,""q_velocity"":0.66,""reference_bank_bias_rad"":0.0,""reference_pitch_bias_rad"":0.018,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.6,""r_elevator"":0.54,""r_rudder"":0.72}","[0.0,0.0,0.0,0.16,0.05045342338752222,0.0,2.9720016025389873,0.0,0.40890888288919713,0.0,0.0,0.0,0.0,-0.02691332032012884,0.0]","[0.0,-0.02691332032012884,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_3798078a7ac1__entry_boundary_near,route_usable,True,40,0,18,18,4,0,18,18,0.45,0.45,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,2,0.45,0.45,0.1,-0.0721192876921952,0.506302489795931,0.7971669948028199,-0.03225057559139906,0.025,0.8099999999999999,w3_randomised_four;w3_randomised_single,2,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_50777d0c0929,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_5032b2188702,5,energy_retaining_bank_robust_anchor_surface_aggressive_ref_agile_pitch_up_005,speed_bin_6p0_m_s,6.0,59e484e8ca86813d99d652fe0f6e8170c22eb6352eb9208b813dd44f257b845a,b148f66e4f45ae527c4d5dcdc76ca8c8d29f7cdb9bd3a8ee6e8492396dd0b15b,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,1d70448878b3f1eb9dfb31ac2d2a4fa7a6fc58342b4721c1eb1f6d0545227e83,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":5.28,""q_rates"":1.9800000000000002,""q_surfaces"":0.12,""q_velocity"":0.66,""reference_bank_bias_rad"":0.0,""reference_pitch_bias_rad"":0.018,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.6,""r_elevator"":0.54,""r_rudder"":0.72}","[0.0,0.0,0.0,0.16,0.002625863793257849,0.0,5.9781252864518635,0.0,0.5118769964403785,0.0,0.0,0.0,0.0,-0.013881220204409472,0.0]","[0.0,-0.013881220204409472,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_50777d0c0929__entry_boundary_near,route_usable,True,40,0,18,19,3,0,19,19,0.475,0.475,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,1,0.45,0.475,0.075,-0.0722150967811821,0.505916025674666,0.7971669948028199,-0.031091109938944005,0.031,0.605,w3_randomised_four;w3_randomised_single,2,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_59e7d8972aac,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_10416305f7af,5,energy_retaining_bank_robust_anchor_surface_aggressive_ref_agile_pitch_up_005,speed_bin_4p5_m_s,4.5,a6dbf1ee98263844412d47aadb6a5c5b80eeb46a89f1abfda554b6936d8cbdf2,4ad3ab5e902cad25034db9a655f3937276a05148421391a3e0edd469161fdaa1,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,7f066f56c69207c9057b9a4ee1bb942b677f9ed999f7f81ce0df7827862c8299,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":5.28,""q_rates"":1.9800000000000002,""q_surfaces"":0.12,""q_velocity"":0.66,""reference_bank_bias_rad"":0.0,""reference_pitch_bias_rad"":0.018,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.6,""r_elevator"":0.54,""r_rudder"":0.72}","[0.0,0.0,0.0,0.16,0.05045342338752222,0.0,4.4580024038084805,0.0,0.6133633243337958,0.0,0.0,0.0,0.0,-0.02691332032012884,0.0]","[0.0,-0.02691332032012884,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_59e7d8972aac__entry_boundary_near,route_usable,True,40,0,18,20,2,0,20,20,0.5,0.5,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,1,0.45,0.5,0.05,-0.0720820637507619,0.5058846423992753,0.7971669948028199,-0.03131276044422922,0.029500000000000005,0.6900000000000001,w3_randomised_four;w3_randomised_single,2,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_6497292933c0,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_103b9260d836,5,energy_retaining_bank_robust_anchor_surface_aggressive_ref_agile_pitch_up_005,speed_bin_8p0_m_s,8.0,d497dd960eafb6dd74db013cfb73f50efc092f643723e33eeb76573f831e0d3f,a07a3f5eab717036e5a1f18b1f433cf3acba38596179990bedb7a3a288dc8899,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,cc4a1f3ed1e20e2440f5e68dc0a886f862a282b541cd553d34ba0a2a9d634b9f,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":5.28,""q_rates"":1.9800000000000002,""q_surfaces"":0.12,""q_velocity"":0.66,""reference_bank_bias_rad"":0.0,""reference_pitch_bias_rad"":0.018,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.6,""r_elevator"":0.54,""r_rudder"":0.72}","[0.0,0.0,0.0,0.16,-0.06096388045251644,0.0,7.990758646972372,0.0,0.3844167606078879,0.0,0.0,0.0,0.0,-0.007922324452238772,0.0]","[0.0,-0.007922324452238772,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_6497292933c0__entry_boundary_near,route_usable,True,40,0,18,19,3,0,19,19,0.475,0.475,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,1,0.45,0.475,0.075,-0.0721648598741966,0.5050077292928951,0.7971669948028199,-0.03242319426494024,0.0235,0.525,w3_randomised_four;w3_randomised_single,2,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_7ba4ca9dfcd7,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_1500fe6c6fbc,5,energy_retaining_bank_robust_anchor_surface_aggressive_ref_agile_pitch_up_005,speed_bin_4p0_m_s,4.0,4f68752cf6cb0d7f759ff83c99a29be361b64c19c1bae038eef2a3196e057880,54927bcefebfb3a189c1207a244274e701e97e6071e85e03dc6da4071a460bfc,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,99620967087eace19bb4eaf535c2256d5c313e866e69b8c683686fc2a17b1a5a,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":5.28,""q_rates"":1.9800000000000002,""q_surfaces"":0.12,""q_velocity"":0.66,""reference_bank_bias_rad"":0.0,""reference_pitch_bias_rad"":0.018,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.6,""r_elevator"":0.54,""r_rudder"":0.72}","[0.0,0.0,0.0,0.16,0.05045342338752222,0.0,3.9626688033853164,0.0,0.5452118438522628,0.0,0.0,0.0,0.0,-0.02691332032012884,0.0]","[0.0,-0.02691332032012884,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_7ba4ca9dfcd7__entry_boundary_near,route_usable,True,40,0,18,18,4,0,18,18,0.45,0.45,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,2,0.45,0.45,0.1,-0.072083460884528,0.5050866663018154,0.7971669948028199,-0.03177986033101402,0.023,0.7100000000000001,w3_randomised_four;w3_randomised_single,2,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_ab772f13c2ed,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_cadb58a0a3be,5,energy_retaining_bank_robust_anchor_surface_aggressive_ref_agile_pitch_up_005,speed_bin_5p5_m_s,5.5,e679e17ff1bcda3c405a79dc8a6bd8a46bd577ac6f86cfc4d74bd50528a7746a,ddf6fd76f0fb11df88c353b8f32edee2fba2359ad84e4c295b6ac036772b5afc,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,9b6ecdac23861562d33f018e75a44254b6cb1f59bd6026bcae2e637f7b0a4702,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":5.28,""q_rates"":1.9800000000000002,""q_surfaces"":0.12,""q_velocity"":0.66,""reference_bank_bias_rad"":0.0,""reference_pitch_bias_rad"":0.018,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.6,""r_elevator"":0.54,""r_rudder"":0.72}","[0.0,0.0,0.0,0.16,0.0208709263196154,0.0,5.4714374007798,0.0,0.5597970787240485,0.0,0.0,0.0,0.0,-0.016697164375168067,0.0]","[0.0,-0.016697164375168067,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_ab772f13c2ed__entry_boundary_near,route_usable,True,40,0,18,18,4,0,18,18,0.45,0.45,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,2,0.45,0.45,0.1,-0.072078885012818,0.5038574403441486,0.7971669948028199,-0.03250020902898989,0.021,0.615,w3_randomised_four;w3_randomised_single,2,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_da8e5714cc0d,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_66bf8ca4cadb,5,energy_retaining_bank_robust_anchor_surface_aggressive_ref_agile_pitch_up_005,speed_bin_3p5_m_s,3.5,d9d1f7ce1be0c8eda6b0c4a8a49d8163cf53d1014919a63f4ed5b3587f3eedb1,05a0875ef9c591e85119d8eedc262de1b628a67b8f5e379aa700ae1875e54222,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,b38e4b78da37d5cb0c4663b5f3e1034100bae16945f398089466a0618a39662e,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":5.28,""q_rates"":1.9800000000000002,""q_surfaces"":0.12,""q_velocity"":0.66,""reference_bank_bias_rad"":0.0,""reference_pitch_bias_rad"":0.018,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.6,""r_elevator"":0.54,""r_rudder"":0.72}","[0.0,0.0,0.0,0.16,0.05045342338752222,0.0,3.467335202962152,0.0,0.47706036337073,0.0,0.0,0.0,0.0,-0.02691332032012884,0.0]","[0.0,-0.02691332032012884,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_da8e5714cc0d__entry_boundary_near,route_usable,True,40,0,18,18,4,0,18,18,0.45,0.45,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,2,0.45,0.45,0.1,-0.0720735120075088,0.5046195741251885,0.7971669948028199,-0.03247405451196583,0.0235,0.76,w3_randomised_four;w3_randomised_single,2,True,boundary_near_route_usable_low_hard_failure
primvar_energy_retaining_bank_transition_object_e26fd56001c7,energy_retaining_bank,transition_object,boundary_near,lqrta_energy_retaining_bank_83c9241a97cf,5,energy_retaining_bank_robust_anchor_surface_aggressive_ref_agile_pitch_up_005,speed_bin_6p5_m_s,6.5,8501b4e23ce7f185d2afed45badaa6aaad94c8c6eeb98c2b029cb835f7d5e0de,7763002034843e2314c6c07973b672a307171b5d67b1fbca1d674b1f61398794,2ec5fa998d9923a1fd053429c76263170d5b52e867e62e975d68bb8642a00325,a5099cd81661a6c66057ea3f3bf99eb92cde4c5ae48267452ef141327628972b,"{""grouping"":""diagonal_grouped_log_scaled_with_reference_bias"",""longitudinal_speed_error_policy"":""passive_u_error_zeroed_speed_is_scheduling_only_v1"",""q_attitude"":5.28,""q_rates"":1.9800000000000002,""q_surfaces"":0.12,""q_velocity"":0.66,""reference_bank_bias_rad"":0.0,""reference_pitch_bias_rad"":0.018,""reference_roll_rate_bias_rad_s"":0.0,""reference_speed_bias_m_s"":0.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.6,""r_elevator"":0.54,""r_rudder"":0.72}","[0.0,0.0,0.0,0.16,-0.014162865063722777,0.0,6.482818095890479,0.0,0.4723023772912313,0.0,0.0,0.0,0.0,-0.011856491499609824,0.0]","[0.0,-0.011856491499609824,0.0]",0.1,5,0.02,v411_0p10s_5slot_20ms,actuator_surface_state_command_fifo_predictor_compensated,primvar_energy_retaining_bank_transition_object_e26fd56001c7__entry_boundary_near,route_usable,True,40,0,18,18,4,0,18,18,0.45,0.45,boundary_near;hard_failure;safe_terminal,boundary_near->boundary_near;boundary_near->hard_failure;boundary_near->safe_terminal,2,0.45,0.45,0.1,-0.0721039323760912,0.5050869459197833,0.7971669948028199,-0.032646331193552446,0.025,0.525,w3_randomised_four;w3_randomised_single,2,True,boundary_near_route_usable_low_hard_failure
