coverage_axis,value,row_count
outcome_class,accepted,11491
outcome_class,failed,1704
outcome_class,weak,50685
failure_label,model_boundary_only,41697
failure_label,success,11491
failure_label,xy_boundary_terminal,10692
boundary_use_class,continuation_valid,53188
boundary_use_class,episode_terminal_useful,8988
boundary_use_class,hard_failure,1704
environment_mode,w3_randomised_four,31940
environment_mode,w3_randomised_single,31940
start_state_family,inflight_boundary_near,19440
start_state_family,inflight_lift_region,10540
start_state_family,inflight_nominal,10540
start_state_family,inflight_recovery_edge,2240
start_state_family,launch_gate,21120
timing_state_source,history_backed_fifo,63880
source_evidence_label,,63880
scheduled_active_fan_count,1,39925
scheduled_active_fan_count,2,7985
scheduled_active_fan_count,3,7985
scheduled_active_fan_count,4,7985
transition_entry_class,boundary_near,19440
transition_entry_class,inflight_stable,21080
transition_entry_class,launch_gate,21120
transition_entry_class,recoverable_degraded,2240
transition_exit_class,boundary_near,38771
transition_exit_class,hard_failure,1704
transition_exit_class,inflight_stable,8075
transition_exit_class,post_launch_degraded,4226
transition_exit_class,recoverable_degraded,2116
transition_exit_class,safe_terminal,8988
transition_pair,boundary_near->boundary_near,8748
transition_pair,boundary_near->hard_failure,1704
transition_pair,boundary_near->safe_terminal,8988
transition_pair,inflight_stable->boundary_near,18007
transition_pair,inflight_stable->inflight_stable,1404
transition_pair,inflight_stable->recoverable_degraded,1669
transition_pair,launch_gate->boundary_near,10560
transition_pair,launch_gate->inflight_stable,6334
transition_pair,launch_gate->post_launch_degraded,4226
transition_pair,recoverable_degraded->boundary_near,1456
transition_pair,recoverable_degraded->inflight_stable,337
transition_pair,recoverable_degraded->recoverable_degraded,447
transition_chain_compatible,False,24584
transition_chain_compatible,True,39296
transition_failure_reason,,39296
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,8748
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,10560
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,1456
transition_failure_reason,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,1704
transition_failure_reason,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,1669
transition_failure_reason,recoverable_degraded_self_transition_without_attitude_rate_progress,447
turn_intent_label,left,7960
turn_intent_label,neutral,47960
turn_intent_label,right,7960
turn_intent_status,measurable_turn_intent,13000
turn_intent_status,not_turn_primitive,47960
turn_intent_status,weak_or_wrong_turn_intent,2920
turn_intent_correct_sign,False,50880
turn_intent_correct_sign,True,13000
