surface_index,surface_name,neutral_deg,min_deflection_deg,max_deflection_deg,positive_range_deg,negative_range_deg,positive_full_commanded,negative_full_commanded,positive_full_valid,negative_full_valid,positive_full_deflection_deg,negative_full_deflection_deg,deadband_positive_norm,deadband_negative_norm,gain_positive_deg_per_norm,gain_negative_deg_per_norm,hysteresis_deg,return_hysteresis_deg,repeatability_std_deg,lookup_rmse_deg,linear_fit_rmse_deg,fit_rmse_deg,command_levels_norm,settled_deflection_deg
1,Aileron_L,2.20431461189069,-29.4260543577808,22.0207226557822,22.0207226557822,29.4260543577808,1,1,1,1,20.6913400111144,-29.4260543577808,0.4,0.2,38.4630435720466,43.9406113008093,0.280435694943096,0.856732714916915,0.654004489391597,0.75430331592589,5.6672236828053,0.75430331592589,[0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0],[-2.04643190567996 3.98683729332357 10.1634843417895 14.0792193270605 19.7426223553095 20.6154729634105 20.2942665085616 13.2786841277629 9.09193262937191 4.84357000824048 0.130315836564991 0.152005088883366 -12.2177955317335 -11.1373270444115 -21.1366595792204 -24.8379207723478 -29.4260543577808 -24.9190246266298 -19.9836492135966 -10.7631535768688 -12.7165606114622 -0.309816930337705 0.288461604095438 -12.7922605143858 -11.6474217965526 -22.3833454741423 -25.6461888233337 -26.0445900880673 -25.0820550299382 -19.4515414375484 -11.9721898454783 -11.8518833335082 -0.130315836564991 0.161562581872653 5.14558777224938 8.7474944425829 14.4913067853942 19.4033519386545 20.7672070588184 22.0207226557822 11.9405416981124 8.01607375793116 3.79415784262733 -0.679936325490432]
2,Aileron_R,-1.97344751051604,-23.4685241885908,31.7281271276346,31.7281271276346,23.4685241885908,1,1,1,1,-20.8458582955635,31.7143317742899,NaN,NaN,NaN,NaN,0.616917241152468,2.6375748604368,1.26659872060741,1.80695227081763,16.1579678312112,1.80695227081763,[0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0],[0.552197352882194 -5.41885518969671 -16.0614039250177 -17.6722198078083 -12.9034524068649 -19.8555522447772 -19.4875020366658 -23.4685241885908 -8.13066484398203 -3.43484895105584 2.47568312492753 1.42069654587027 7.32242709578808 12.6485322204017 19.8252223414532 26.0418106134626 31.7281271276346 30.8952237828991 15.6956338911692 11.0745283122182 3.73051911214807 -1.76178317333092 -2.04756744818362 5.08297596998142 14.965867909612 19.2083051003007 27.0976977198821 31.7005364209452 30.3888412021148 18.2408238076121 12.0849535594302 3.57799886196818 -0.552197352882194 -1.14972086020343 -3.21119890510191 -15.524984012429 -18.2634275975236 -7.18710585209419 -21.8361643463497 -19.6449779363198 -21.9495050046383 -8.61834691093521 -2.92885024627447 0.860661752151931]
3,Rudder,-0.0946327979046991,-0.540577070038164,0.194348468502134,0.194348468502134,0.540577070038164,1,1,1,1,-0.0079021674317252,-0.0217291049209236,NaN,NaN,NaN,NaN,0.125330202930469,0.103917960282839,0.100455899970332,0.117612414485691,0.138933180083266,0.117612414485691,[0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0],[0.17983798745276 0.194348468502134 0.130490240896479 0.0511278972507731 0.0397220734512388 0.0358392336028433 0.0617610977326315 0.058504704362049 0.0261909191291816 0.143278564872937 0.123479887498132 0.122449224823799 0.0757428850308176 0.0856117106876853 -0.273710475206824 -0.540577070038164 0.0217176751402293 -0.0509588261151292 -0.0854016953837306 -0.0519266038705739 -0.183632730179568 0.00307383858549352 -0.045560283882416 -0.115804153710296 -0.0390143065205042 -0.0605357043957403 -0.1883556918585 -0.0651758849820766 -0.0620227662406993 -0.0755899139068885 -0.2206601362642 -0.00702424088407995 -0.00307383858549352 -0.0336559064304237 -0.119063302147354 -0.0972480483443574 -0.199727193236752 -0.033952736639671 -0.0516435684662937 -0.115224498037397 -0.129033876487219 0.0381305202826233 -0.222599900945734 -0.0537000121546767]
4,Elevator,2.08046874713943,-3.96422163039218,3.93675677972477,3.93675677972477,3.96422163039218,1,1,1,1,-1.63526696267927,-1.28108736251272,NaN,NaN,NaN,NaN,0.779551879196057,1.49987076072444,1.09971358107929,1.42120853597198,1.76136520736205,1.42120853597198,[0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 -0.2 -0.4 -0.6 -0.8 -1 -0.8 -0.6 -0.4 -0.2 0 0 0.2 0.4 0.6 0.8 1 0.8 0.6 0.4 0.2 0],[0.685994438331318 -1.42944607613628 -1.73733695452522 -2.32641429410715 -0.0154698810690612 -1.63554989575339 -1.10860410718353 0.0398760541123067 0.391035991329936 -1.02566835734148 -1.91421344823586 -0.907640704403133 1.5272063514436 3.12007774269836 -2.57729112906218 -1.02030935677491 0.400577084886884 2.03927797474972 -0.553010898087142 -0.523677579813417 -3.96422163039218 0 0.390668503674874 1.20150694772975 3.93675677972477 0.503873004436024 -1.61395093908314 -2.96275180991233 -0.783482144044171 -0.820283883749839 -2.75077270906287 -0.260100658029867 -0.298177343051803 0.805652088325208 -2.27432371892577 -0.640797670497498 -2.4670040227315 -1.75477945157128 -1.63498402960515 -1.41055319452993 -2.19364703192092 -2.17893158618675 -1.33611675414931 -2.29906807675151]
