group,parameter_name,parameter_symbol,quantity_name,quantity_symbol,difference_scheme,step_size,derivative_estimate,absolute_error_estimate,relative_error_estimate,signal_amplitude,roundoff_floor,roundoff_limited,selected_for_final,selected_step_size,selection_reason,reeval_path,notes
geometry,wing_span_m,b,turn_radius_ach_m,R_ach,central,0.001523139933051638,1.1937992237443596e-09,0.0,0.0,3.6366465394621628e-12,1.586306596230353e-06,True,True,0.001523139933051638,larger_step_selected_both_steps_roundoff_fragile,full_trim,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.
geometry,wing_span_m,b,turn_radius_ach_m,R_ach,central,0.000761569966525819,2.1397710350616325e-09,9.45971811317273e-10,0.7924044449871778,3.2591707110896095e-12,1.5863065962300429e-06,True,False,0.001523139933051638,larger_step_selected_both_steps_roundoff_fragile,full_trim,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.
geometry,wing_span_m,b,turn_footprint_margin_m,Delta_footprint,central,0.001523139933051638,-0.5000000011937643,9.459717453808025e-10,1.8919434826650855e-09,0.0015231399366881782,2.3145319953855044e-07,False,False,0.000761569966525819,smaller_step_selected,full_trim,
geometry,wing_span_m,b,turn_footprint_margin_m,Delta_footprint,central,0.000761569966525819,-0.500000002139736,0.0,0.0,0.0007615699697849365,2.3116949261745042e-07,False,True,0.000761569966525819,smaller_step_selected,full_trim,
geometry,wing_span_m,b,agility_lateral_margin_mps2,Delta_a_lat,central,0.001523139933051638,-2.417252395889995,3.1437373770870636e-07,1.3005418016291903e-07,0.007363627304889597,9.564977899787207e-07,False,False,0.000761569966525819,smaller_step_selected,full_trim,
geometry,wing_span_m,b,agility_lateral_margin_mps2,Delta_a_lat,central,0.000761569966525819,-2.4172520815162573,0.0,0.0,0.003681813173609605,9.55125346062399e-07,False,True,0.000761569966525819,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,objective,J,central,0.000329279341213013,0.35103203217301077,3.3569458084969916e-06,9.562983996923242e-06,0.00023117519259718833,1.5943522161855735e-06,False,False,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,objective,J,central,0.0001646396706065065,0.35103538911881926,0.0,0.0,0.00011558870167149848,1.594308825925345e-06,False,True,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,sink_rate_mps,V_sink,central,0.000329279341213013,0.00313072004937965,3.30897040913547e-06,0.0010558199647297695,2.0617628707642055e-06,4.952854943075959e-07,False,False,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,sink_rate_mps,V_sink,central,0.0001646396706065065,0.0031340290197887856,0.0,0.0,1.0319710109785163e-06,4.952848050484596e-07,False,True,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,mass_total_kg,m,central,0.000329279341213013,0.165366408970451,2.1066481892262345e-14,1.2739275178932717e-13,0.00010890348440910358,8.801112660273426e-08,False,False,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,mass_total_kg,m,central,0.0001646396706065065,0.16536640897042992,0.0,0.0,5.445174220454485e-05,8.799084174803735e-08,False,True,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,roll_tau_s,tau_roll,central,0.000329279341213013,-0.05681060824509098,5.6658174520107796e-08,9.973178034264367e-07,3.741311931370825e-05,1.6708990859263386e-08,False,False,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,roll_tau_s,tau_roll,central,0.0001646396706065065,-0.05681055158691646,0.0,0.0,1.8706541000487742e-05,1.6701980487652187e-08,False,True,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,static_margin,SM,central,0.000329279341213013,-360.981591530379,0.0029437282042863444,8.154854095136345e-06,0.2377275612982963,6.675046760289599e-06,False,False,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,static_margin,SM,central,0.0001646396706065065,-360.9786478021747,0.0,0.0,0.11886281134026433,6.630536245042315e-06,False,True,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,nom_cl_margin_to_cap,Delta_CL,central,0.000329279341213013,1.6429249623318742,4.929800309305676e-06,3.00063314810848e-06,0.0010819624985181076,6.325444875712521e-07,False,False,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,nom_cl_margin_to_cap,Delta_CL,central,0.0001646396706065065,1.642920032531565,0.0,0.0,0.0005409796259776556,6.323435603410076e-07,False,True,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,nom_util_e,u_e,central,0.000329279341213013,-0.5339031869786293,1.9923564064106003e-06,3.731694977420587e-06,0.0003516065793597023,1.2320815568238532e-09,False,False,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,nom_util_e,u_e,central,0.0001646396706065065,-0.5339011946222229,0.0,0.0,0.0001758026336380462,1.1664994675462632e-09,False,True,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,nom_lateral_residual,r_lat,central,0.000329279341213013,5.033105026364321e-15,0.0,0.0,3.314595014674296e-18,7.450580596923827e-13,True,True,0.000329279341213013,larger_step_selected_both_steps_roundoff_fragile,full_trim,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.
geometry,wing_chord_m,c,nom_lateral_residual,r_lat,central,0.0001646396706065065,-5.976499829196354e-14,6.479810331832786e-14,6.479810331832785e-05,1.96793792651746e-17,7.450580596923827e-13,True,False,0.000329279341213013,larger_step_selected_both_steps_roundoff_fragile,full_trim,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.
geometry,wing_chord_m,c,static_margin_min_margin,Delta_SM_min,central,0.000329279341213013,-360.981591530379,0.0029437282042863444,8.154854095136345e-06,0.2377275612982963,2.9497564618276846e-06,False,False,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,static_margin_min_margin,Delta_SM_min,central,0.0001646396706065065,-360.9786478021747,0.0,0.0,0.11886281134026433,2.905245946580401e-06,False,True,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,roll_tau_limit_margin,Delta_tau_max,central,0.000329279341213013,0.056810608245096254,5.665830623419188e-08,9.973201219078897e-07,3.741311931371172e-05,3.185950109483918e-07,False,False,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,roll_tau_limit_margin,Delta_tau_max,central,0.0001646396706065065,0.05681055158679002,0.0,0.0,1.870654100044611e-05,3.1858808383306143e-07,False,True,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,elevator_util_margin,Delta_u_e,central,0.000329279341213013,0.5339031869785045,1.9923563198132044e-06,3.7316948152234347e-06,0.00035160657935962014,7.440879454513518e-07,False,False,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,elevator_util_margin,Delta_u_e,central,0.0001646396706065065,0.5339011946221847,0.0,0.0,0.0001758026336380336,7.440225433939437e-07,False,True,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,bank_entry_margin_deg,Delta_phi_be,central,0.000329279341213013,24.43331371636434,0.0002455494509021605,1.0049881956072818e-05,0.016090770888350647,1.864743796013258e-05,False,False,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,bank_entry_margin_deg,Delta_phi_be,central,0.0001646396706065065,24.433068166913436,0.0,0.0,0.008045304589813895,1.864445239753067e-05,False,True,0.0001646396706065065,smaller_step_selected,full_trim,
geometry,wing_chord_m,c,turn_radius_allow_m,R_allow,central,0.000329279341213013,0.0,0.0,0.0,0.0,1.3554208105333822e-06,True,True,0.000329279341213013,larger_step_selected_both_steps_roundoff_fragile,full_trim,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.
geometry,wing_chord_m,c,turn_radius_allow_m,R_allow,central,0.0001646396706065065,0.0,0.0,0.0,0.0,1.3554208105333822e-06,True,False,0.000329279341213013,larger_step_selected_both_steps_roundoff_fragile,full_trim,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.
geometry,wing_chord_m,c,turn_radius_ach_m,R_ach,central,0.000329279341213013,5.048072273059728e-09,0.0,0.0,3.3244518249375687e-12,1.5863065962300977e-06,True,True,0.000329279341213013,larger_step_selected_both_steps_roundoff_fragile,full_trim,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.
