rerun_rank,source_sweep_run_index,success,objective_weight_w_sink,objective_weight_w_mass,objective_weight_w_trim_effort,objective_weight_w_wing_deflection,objective_weight_w_htail_deflection,objective_weight_w_roll_tau,objective_scale_sink_mps,objective_scale_mass_kg,objective_scale_trim_deg,objective_scale_roll_tau_s,candidate_id,feasible_rate,sink_mean,sink_tail_mean_k,objective,wing_span_m,wing_chord_m,tail_arm_m,htail_span_m,vtail_height_m,sink_rate_mps,mass_total_kg,objective_term_spread_ratio,rank_feasible_rate,rank_sink_tail_mean_k,rank_wing_span_m,is_best,J_sink,J_mass,J_trim,J_wing_deflection,J_htail_deflection,J_roll_tau,J_total
1,5,True,1.0,0.2638306073747891,18.678562035786637,0.023970983874114164,0.03383814025109462,0.021657099557682104,1.0,0.1,10.0,0.45,1,1.0,0.7208494626215385,0.8167931169621288,1.0402828342497146,0.7615699665062574,0.14524365757209334,0.3999999945492236,0.3300423769804709,0.11155259741783642,0.6684314845337777,0.11320839477050279,1886.4635428016431,-1.0,0.8167931169621288,0.7615699665062574,False,0.6684314845337777,0.29867839552226644,0.00035433045450805275,0.014518366885478941,0.057108036215965954,0.0011922206377174476,1.0402828342497146
2,27,True,1.0,0.046988623620787165,0.013259171249421022,2.151606933843013,0.0783091834800308,0.24707337911315316,1.0,0.1,10.0,0.45,1,1.0,0.7212198532620753,0.8131152292092879,2.1662673950455953,0.7615699665258173,0.1646396705960972,0.39999999440488565,0.3655521648352896,0.1187676990826549,0.6703135537658776,0.11752514675141505,760243.8478594602,-1.0,0.8131152292092879,0.7615699665258173,True,0.6703135537658776,0.055223448866800195,1.724083649561253e-06,1.310723987774028,0.11744560155031734,0.012559079004922586,2.1662673950455953
3,29,True,1.0,0.026030001317686104,0.9334028457295769,22.74354390023092,0.36405850394832706,0.028673385611598587,1.0,0.1,10.0,0.45,1,1.0,0.7212002056733996,0.8177328782150537,15.088764547392609,0.7615699665295264,0.14372706585309167,0.39999999474799014,0.32728333036866836,0.11096866932611447,0.6685628413624938,0.11287471434822631,449640.55142215546,-1.0,0.8177328782150537,0.7615699665295264,False,0.6685628413624938,0.029381289632177735,3.0621730165850834e-05,13.768771637273622,0.6204284575323084,0.0015896998618421016,15.088764547392609
