rerun_rank,source_sweep_run_index,success,objective_weight_w_sink,objective_weight_w_mass,objective_weight_w_trim_effort,objective_weight_w_wing_deflection,objective_weight_w_htail_deflection,objective_weight_w_roll_tau,objective_scale_sink_mps,objective_scale_mass_kg,objective_scale_trim_deg,objective_scale_roll_tau_s,candidate_id,feasible_rate,sink_mean,sink_cvar_20,objective,wing_span_m,wing_chord_m,tail_arm_m,htail_span_m,vtail_height_m,sink_rate_mps,mass_total_kg,objective_term_spread_ratio,rank_feasible_rate,rank_sink_cvar_20,rank_wing_span_m,is_best,J_sink,J_mass,J_trim,J_wing_deflection,J_htail_deflection,J_roll_tau,J_total
1,20,True,1.0,0.07969296261459534,68.02461780006593,11.62825144079468,0.38799078052718766,1.467194524883676,1.0,0.1,10.0,0.45,1,1.0,0.8046634876032434,0.851134964551056,8.511240246827196,0.7615699664171055,0.17236594617475465,0.39999999592452207,0.37268199507903377,0.12152254864854886,0.6717220691780837,0.11905197914754101,1667.9540994790282,-1.0,0.851134964551056,0.7615699664171055,False,0.6717220691780837,0.09487604923398568,0.004255610313679037,7.098162668486182,0.569280383804871,0.07294346581039414,8.511240246827196
2,27,True,1.0,0.046988623620787165,0.013259171249421022,2.151606933843013,0.0783091834800308,0.24707337911315316,1.0,0.1,10.0,0.45,1,1.0,0.8035423896252482,0.8509181379441859,2.1662673950455953,0.7615699665258173,0.1646396705960972,0.39999999440488565,0.3655521648352896,0.1187676990826549,0.6703135537658776,0.11752514675141505,760243.8478594602,-1.0,0.8509181379441859,0.7615699665258173,True,0.6703135537658776,0.055223448866800195,1.724083649561253e-06,1.310723987774028,0.11744560155031734,0.012559079004922586,2.1662673950455953
3,14,True,1.0,0.44857807391422755,5.112700669023979,25.13734845172522,0.7665074838579709,0.9280640060000213,1.0,0.1,10.0,0.45,1,1.0,0.8060138458347215,0.8521055236608484,17.703455217962013,0.761569966529568,0.17505119276086298,0.39999999440191497,0.38508057728468803,0.12246546497473776,0.6732312139459061,0.11988994479600192,8277.17699730371,-1.0,0.8521055236608484,0.761569966529568,False,0.6732312139459061,0.537800005182736,0.0018559272167686805,15.361838067307618,1.0831607403576629,0.045569263951320944,17.703455217962013
