group,parameter_name,parameter_symbol,baseline_parameter_value,step_used,quantity_name,quantity_symbol,baseline_quantity_value,sensitivity_raw,sensitivity_normalized,difference_scheme,fd_stability_abs,fd_stability_rel,fd_stable,unit_raw,step_selection_reason,notes,reeval_path
geometry,wing_span_m,b,0.761569966525819,0.000761569966525819,objective,J,2.139787141052715,-2.230300249256638,-0.793784416020593,central,1.154027574434835e-05,5.1743148700246695e-06,True,1/m,smaller_step_selected,,full_trim
geometry,wing_span_m,b,0.761569966525819,0.000761569966525819,sink_rate_mps,V_sink,0.6647593597440051,-0.4670303931411936,-0.5350452244975501,central,4.236787905398387e-06,9.071760569804099e-06,True,m/s/m,smaller_step_selected,,full_trim
geometry,wing_span_m,b,0.761569966525819,0.000761569966525819,mass_total_kg,m,0.11807208277118897,0.04727207906279402,0.3049069248589777,central,1.366962099069724e-14,2.891690245427783e-13,True,kg/m,smaller_step_selected,,full_trim
geometry,wing_span_m,b,0.761569966525819,0.000761569966525819,roll_tau_s,tau_roll,0.0224076468471464,-0.03924423913300659,-1.3337961851474458,central,1.9944614179645548e-07,5.082176293964893e-06,True,s/m,smaller_step_selected,,full_trim
geometry,wing_span_m,b,0.761569966525819,0.000761569966525819,static_margin,SM,8.839820823022325,-97.23704595498701,-8.37718493571122,central,0.0009699580171798061,9.975190089884253e-06,True,%MAC/m,smaller_step_selected,,full_trim
geometry,wing_span_m,b,0.761569966525819,0.000761569966525819,nom_cl_margin_to_cap,Delta_CL,0.8484469405208732,0.32086656848467154,0.28801134184078536,central,9.62447377683695e-07,2.999525261322677e-06,True,1/m,smaller_step_selected,,full_trim
geometry,wing_span_m,b,0.761569966525819,0.000761569966525819,nom_util_e,u_e,0.0014777075007547573,-0.19662726792041108,-101.33630760602242,central,1.2824619198270604e-06,6.522299441937845e-06,True,1/m,smaller_step_selected,,full_trim
geometry,wing_span_m,b,0.761569966525819,0.001523139933051638,nom_lateral_residual,r_lat,2.4430072921502608e-17,-1.1624593545091843e-14,-8.852941317011847e-09,central,1.380173957730207e-14,1.3801739577302068e-05,False,1/m,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,full_trim
geometry,wing_span_m,b,0.761569966525819,0.000761569966525819,static_margin_min_margin,Delta_SM_min,3.8398208230223254,-97.23704595498701,-19.285486809439707,central,0.0009699580171798061,9.975190089884253e-06,True,%MAC/m,smaller_step_selected,,full_trim
geometry,wing_span_m,b,0.761569966525819,0.000761569966525819,roll_tau_limit_margin,Delta_tau_max,0.4275923531528536,0.039244239132981536,0.0698965583983492,central,1.9944616229394807e-07,5.082176816273909e-06,True,s/m,smaller_step_selected,,full_trim
