library_size_case_id,policy_id,launch_role,first_decision_candidate_rows,first_decision_viable_rows
balanced_cluster,directional_3d_residual_memory_h10,final_heldout,20,20
balanced_cluster,directional_3d_residual_memory_h10,history,244,244
balanced_cluster,directional_3d_residual_memory_h3,final_heldout,20,20
balanced_cluster,directional_3d_residual_memory_h3,history,77,77
balanced_cluster,directional_3d_residual_memory_h30,final_heldout,20,20
balanced_cluster,directional_3d_residual_memory_h30,history,643,643
balanced_cluster,no_memory_baseline,final_heldout,20,20
heavy_cluster,directional_3d_residual_memory_h10,final_heldout,22,22
heavy_cluster,directional_3d_residual_memory_h10,history,276,276
heavy_cluster,directional_3d_residual_memory_h3,final_heldout,22,22
heavy_cluster,directional_3d_residual_memory_h3,history,81,81
heavy_cluster,directional_3d_residual_memory_h30,final_heldout,22,22
heavy_cluster,directional_3d_residual_memory_h30,history,800,800
heavy_cluster,no_memory_baseline,final_heldout,22,22
light_cluster,directional_3d_residual_memory_h10,final_heldout,43,43
light_cluster,directional_3d_residual_memory_h10,history,464,464
light_cluster,directional_3d_residual_memory_h3,final_heldout,43,43
light_cluster,directional_3d_residual_memory_h3,history,147,147
light_cluster,directional_3d_residual_memory_h30,final_heldout,43,43
light_cluster,directional_3d_residual_memory_h30,history,1300,1300
light_cluster,no_memory_baseline,final_heldout,43,43
no_cluster_no_merge,directional_3d_residual_memory_h10,final_heldout,149,149
no_cluster_no_merge,directional_3d_residual_memory_h10,history,1486,1486
no_cluster_no_merge,directional_3d_residual_memory_h3,final_heldout,147,147
no_cluster_no_merge,directional_3d_residual_memory_h3,history,441,441
no_cluster_no_merge,directional_3d_residual_memory_h30,final_heldout,148,148
no_cluster_no_merge,directional_3d_residual_memory_h30,history,4454,4454
no_cluster_no_merge,no_memory_baseline,final_heldout,149,149
super_light_cluster,directional_3d_residual_memory_h10,final_heldout,84,84
super_light_cluster,directional_3d_residual_memory_h10,history,864,864
super_light_cluster,directional_3d_residual_memory_h3,final_heldout,84,84
super_light_cluster,directional_3d_residual_memory_h3,history,258,258
super_light_cluster,directional_3d_residual_memory_h30,final_heldout,84,84
super_light_cluster,directional_3d_residual_memory_h30,history,2604,2604
super_light_cluster,no_memory_baseline,final_heldout,84,84
