launch_role,termination_cause,row_count
final_heldout,floor_margin_stop,12
final_heldout,no_viable_continuation_primitive,28
final_heldout,wall_boundary_exit_retained,160
history,ceiling_margin_stop,19
history,floor_margin_stop,363
history,no_viable_continuation_primitive,127
history,physically_impossible_initial_state,1
history,wall_boundary_exit_retained,1570
history,wall_boundary_exit_uncontrolled,70
