library_size_case_id,primitive_id,transition_entry_class,start_state_family,candidate_rows,viable_rows
balanced_cluster,energy_retaining_bank,launch_gate,launch_gate,115,115
balanced_cluster,glide,launch_gate,launch_gate,110,110
balanced_cluster,lift_dwell_arc,launch_gate,launch_gate,160,160
balanced_cluster,lift_entry,launch_gate,launch_gate,147,147
balanced_cluster,mild_turn_left,launch_gate,launch_gate,123,123
balanced_cluster,mild_turn_right,launch_gate,launch_gate,103,103
balanced_cluster,recovery,launch_gate,launch_gate,147,147
balanced_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,139,139
heavy_cluster,energy_retaining_bank,launch_gate,launch_gate,44,44
heavy_cluster,glide,launch_gate,launch_gate,44,44
heavy_cluster,lift_dwell_arc,launch_gate,launch_gate,197,197
heavy_cluster,lift_entry,launch_gate,launch_gate,44,44
heavy_cluster,mild_turn_left,launch_gate,launch_gate,229,229
heavy_cluster,mild_turn_right,launch_gate,launch_gate,229,229
heavy_cluster,recovery,launch_gate,launch_gate,229,229
heavy_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,229,229
light_cluster,energy_retaining_bank,launch_gate,launch_gate,247,247
light_cluster,glide,launch_gate,launch_gate,236,236
light_cluster,lift_dwell_arc,launch_gate,launch_gate,235,235
light_cluster,lift_entry,launch_gate,launch_gate,250,250
light_cluster,mild_turn_left,launch_gate,launch_gate,296,296
light_cluster,mild_turn_right,launch_gate,launch_gate,250,250
light_cluster,recovery,launch_gate,launch_gate,283,283
light_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,286,286
no_cluster_no_merge,energy_retaining_bank,launch_gate,launch_gate,734,734
no_cluster_no_merge,glide,launch_gate,launch_gate,788,788
no_cluster_no_merge,lift_dwell_arc,launch_gate,launch_gate,1027,1027
no_cluster_no_merge,lift_entry,launch_gate,launch_gate,554,554
no_cluster_no_merge,mild_turn_left,launch_gate,launch_gate,1523,1523
no_cluster_no_merge,mild_turn_right,launch_gate,launch_gate,1058,1058
no_cluster_no_merge,recovery,launch_gate,launch_gate,749,749
no_cluster_no_merge,safe_exit_or_recovery_handoff,launch_gate,launch_gate,541,541
super_light_cluster,energy_retaining_bank,launch_gate,launch_gate,481,481
super_light_cluster,glide,launch_gate,launch_gate,514,514
super_light_cluster,lift_dwell_arc,launch_gate,launch_gate,510,510
super_light_cluster,lift_entry,launch_gate,launch_gate,529,529
super_light_cluster,mild_turn_left,launch_gate,launch_gate,497,497
super_light_cluster,mild_turn_right,launch_gate,launch_gate,507,507
super_light_cluster,recovery,launch_gate,launch_gate,510,510
super_light_cluster,safe_exit_or_recovery_handoff,launch_gate,launch_gate,514,514
