session_label,case_id,case_name,throw_id,command_axis,command_value,pulse_start_s,pulse_duration_s,termination_reason,launch_speed_m_s,duration_s,x0_m,y0_m,z0_m,x_end_m,y_end_m,z_end_m,dx_m,dy_m,dz_m,altitude_loss_m,horizontal_distance_m,glide_ratio_x_over_altloss,glide_ratio_horizontal_over_altloss,sink_rate_m_s,mean_speed_m_s,mean_forward_speed_m_s,max_abs_phi_deg,max_abs_theta_deg,max_abs_psi_deg,max_abs_p_rad_s,max_abs_q_rad_s,max_abs_r_rad_s,mean_rate_confidence,min_rate_confidence,spike_downweighted_fraction,body_rate_limited_fraction,sample_count
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_001,neutral,0,0,0,exit_gate_front_wall,6.165892917,1.4001084,1.279158047,2.190480706,1.523128114,6.605002223,2.480886105,0.7137017796,5.325844175,0.290405399,-0.8094263347,0.8094263347,5.333755851,6.579776252,6.589550675,0.5781169049,4.068377432,3.814175051,20.62370713,27.21479276,9.127891652,1.705162936,1.762198139,1.119563927,0.9364806867,0.5,0.03004291845,0,233
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_002,neutral,0,0,0,exit_gate_floor,6.183336066,1.6023639,1.268312514,2.016922051,1.53296913,5.772558134,1.792611104,0.3761332299,4.50424562,-0.2243109468,-1.1568359,1.1568359,4.509827492,3.893590802,3.898415922,0.721955793,3.464399945,2.47608379,42.68150748,38.06256117,35.13254747,3.063936162,2.006752591,1.498509922,0.92,0.5,0.06666666667,0.03529411765,255
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_003,neutral,0,0,0,exit_gate_front_wall,6.770074861,1.7022378,1.355268194,2.098155712,1.554322433,6.614225466,2.655122822,0.527280452,5.258957273,0.5569671094,-1.027041981,1.027041981,5.288368742,5.120489102,5.149126169,0.6033481229,3.816227788,3.181608809,22.30866354,38.03144121,11.18524623,2.546400359,2.131261605,1.137385963,0.9379770992,0.5,0.02671755725,0.007633587786,262
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_004,neutral,0,0,0,exit_gate_floor,5.085632106,1.3441728,1.400935174,2.190223793,1.566131165,5.85120592,3.315207602,0.3957346631,4.450270746,1.12498381,-1.170396501,1.170396501,4.590261243,3.802361628,3.921971091,0.8707187806,3.629878034,2.755590561,4.784856257,21.62212347,21.80334915,0.3405869304,1.623984152,0.919539734,0.947815534,0.5,0.004854368932,0,206
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_005,neutral,0,0,0,exit_gate_floor,5.715988546,1.5734699,1.268387805,2.174118628,1.588063883,6.371566249,3.770032232,0.3872944312,5.103178444,1.595913604,-1.200769452,1.200769452,5.346902885,4.24992361,4.452897163,0.763134682,3.81467947,2.700821958,28.60263729,30.40516623,27.93031623,1.55668445,1.69221163,1.7223916,0.946484375,0.5,0.0078125,0,256
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_006,neutral,0,0,0,exit_gate_floor,5.05574648,1.4004305,1.282377403,2.151396632,1.585956795,5.649732353,3.083027738,0.3964614743,4.367354949,0.9316311053,-1.18949532,1.18949532,4.465615945,3.671603305,3.754210604,0.8493783306,3.519678013,2.783939633,16.7942454,21.40646962,17.59434677,1.284483951,1.638691183,0.7471282628,0.95,0.95,0,0,229
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_007,neutral,0,0,0,exit_gate_floor,4.994139566,1.4842162,1.273114041,2.111557714,1.721342154,5.706305256,3.651825586,0.3963806765,4.433191216,1.540267872,-1.324961478,1.324961478,4.693144945,3.345901968,3.542099166,0.8927011292,3.497503091,2.319895481,21.021221,23.86203418,34.31156403,1.313425815,1.430475116,0.9736267138,0.9445121951,0.5,0.01219512195,0,246
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_008,neutral,0,0,0,exit_gate_floor,5.302373036,1.4844281,1.278110724,2.105657835,1.640083395,5.300337357,3.181433594,0.3926985862,4.022226633,1.07577576,-1.247384809,1.247384809,4.163604277,3.224527512,3.33786675,0.8403133899,3.362051694,2.430162914,31.80883246,32.25963114,15.50373926,1.934961521,1.91842857,1.095028853,0.9444672131,0.5,0.01229508197,0,244
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_009,neutral,0,0,0,exit_gate_floor,5.548869107,1.4392856,1.290099128,2.180765631,1.639588914,6.15381408,2.603462664,0.3966145915,4.863714952,0.4226970331,-1.242974322,1.242974322,4.882048332,3.912964947,3.927714551,0.8636050567,3.761990388,3.371988322,19.40686125,24.79475059,7.887744261,1.724055248,1.338022276,0.6500019599,0.9480932203,0.5,0.004237288136,0,236
20260602_231554,C0_neutral,Dry-air open-loop neutral glide characterisation,throw_010,neutral,0,0,0,exit_gate_floor,5.552302262,1.4259929,1.271554823,2.1786966,1.57924683,6.356339883,2.773446464,0.3899899268,5.08478506,0.5947498638,-1.189256903,1.189256903,5.119449825,4.275598523,4.304746779,0.8339851506,3.859670191,3.492856198,4.201570982,27.71128002,11.14323971,0.4855879983,1.562862191,0.4958998794,0.95,0.95,0,0,222
