metric,count,mean,median,std,min,max,role_for_model_calibration
launch_speed_m_s,25,5.627771673,5.640478633,0.5015588751,4.278651236,6.770074861,stratify model error versus launch energy; do not fit directly
sink_rate_m_s,25,0.8106169604,0.8339851506,0.1104484164,0.5781169049,1.11907001,primary neutral-glide target for drag/lift/trim consistency
glide_ratio_x_over_altloss,25,3.911328229,3.893590802,1.000575274,1.872083653,6.579776252,primary neutral-glide target for aerodynamic polar and trim
dy_m,25,0.6456383089,0.5569671094,0.5780835781,-0.4477326371,1.595913604,lateral trim/asymmetry diagnostic before fitting aileron/rudder effects
max_abs_phi_deg,25,20.838507,19.84959832,9.774866224,4.201570982,42.68150748,attitude envelope check; should not be used alone as fit objective
max_abs_theta_deg,25,29.88692183,30.40516623,4.885611205,21.40646962,39.17954682,pitch/CG/static-margin diagnostic before controller retuning
max_abs_p_rad_s,25,1.576862648,1.537984327,0.69905772,0.3301936848,3.063936162,roll-rate envelope diagnostic for future damping/control derivative fit
max_abs_q_rad_s,25,1.698400807,1.638691183,0.2401672374,1.338022276,2.254266151,pitch-rate envelope diagnostic for future damping/control derivative fit
max_abs_r_rad_s,25,0.8993938174,0.773710355,0.3713437052,0.3849470236,1.7223916,yaw-rate envelope diagnostic for future damping/control derivative fit
mean_rate_confidence,25,0.9390002202,0.942173913,0.009907862609,0.9172413793,0.95,state-estimator evidence quality; exclude low-confidence throws from fitting
spike_downweighted_fraction,25,0.02444395504,0.01739130435,0.02201747246,0,0.07279693487,state-estimator health diagnostic
