layout_branch_id,fan_layout,test_environment_mode,row_count,success_count,failure_count,nominal_pass_count,latency_label_counts_json,latency_case_counts_json
four_fan_branch,four_fan,W0_four_fan_branch,25000,187,24813,187,"{""nominal_fail"": 24813, ""nominal_pass"": 187}","{""nominal"": 25000}"
four_fan_branch,four_fan,W1_four_fan,100000,1864,98136,1864,"{""nominal_fail"": 98136, ""nominal_pass"": 1864}","{""nominal"": 100000}"
single_fan_branch,single_fan,W0_single_fan_branch,25000,130,24870,130,"{""nominal_fail"": 24870, ""nominal_pass"": 130}","{""nominal"": 25000}"
single_fan_branch,single_fan,W1_single_fan,100000,1715,98285,1715,"{""nominal_fail"": 98285, ""nominal_pass"": 1715}","{""nominal"": 100000}"
