iteration,pass_index,group,candidate_scale,selected,objective,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,final_theta_mae_deg,final_phi_mae_deg,final_psi_mae_deg,group_scales_json
3,1,post_stall_lateral,0.5,False,38.65030916,0.3404062657,1.153684314,0.3708335245,0.3316492792,48.73223236,56.91982421,61.08153403,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.5, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.0}"
3,1,post_stall_lateral,0.75,True,38.51304111,0.3390554131,1.143441302,0.3705172926,0.3313512574,48.7127087,56.76812066,60.85829492,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.0}"
3,1,post_stall_lateral,1,False,44.83749428,0.7023938709,1.087109428,0.5141061734,0.3580209547,52.86222048,63.25938497,64.8853442,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 1.0, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.0}"
3,1,post_stall_lateral,1.25,False,44.5089489,0.6635416678,1.088698469,0.5185654719,0.3590422979,48.44089606,63.12900516,60.89355623,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 1.25, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.0}"
4,1,transition_lateral,-0.25,False,38.84056681,0.340500692,1.151123914,0.368846145,0.3298915426,49.67200081,57.25611051,61.38620106,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": -0.25}"
4,1,transition_lateral,0,False,38.7786524,0.3402531263,1.149594431,0.3692634646,0.3302553647,49.47487709,57.16610336,61.28360388,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 0.0}"
4,1,transition_lateral,0.25,False,38.71526908,0.3399871161,1.148066238,0.3696376069,0.3305818356,49.28131341,57.07276815,61.18041802,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 0.25}"
4,1,transition_lateral,0.5,False,38.64997724,0.3396999074,1.146531926,0.3699710256,0.3308730765,49.08992053,56.97552372,61.07556096,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 0.5}"
4,1,transition_lateral,0.75,False,38.58247716,0.3393894286,1.144987227,0.3702647676,0.3311299934,48.89997822,56.87388048,60.96820562,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 0.75}"
4,1,transition_lateral,1,False,38.51304111,0.3390554131,1.143441302,0.3705172926,0.3313512574,48.7127087,56.76812066,60.85829492,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.0}"
4,1,transition_lateral,1.25,True,38.47832339,0.3390824535,1.143099617,0.3707133008,0.3315217842,48.61742141,56.7194633,60.76784498,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.25}"
5,1,transition_blender,0,True,38.43155055,0.3389438604,1.142427663,0.370783955,0.3315829839,48.50289534,56.65397253,60.6750549,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
5,1,transition_blender,1,False,38.47832339,0.3390824535,1.143099617,0.3707133008,0.3315217842,48.61742141,56.7194633,60.76784498,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.25}"
6,2,attached_lateral,-0.25,False,101.3889934,1.375026069,1.679147533,2.392499822,1.550898554,27.21377057,7.665809615,19.87733146,"{""attached_lateral"": -0.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
6,2,attached_lateral,0,False,97.67421879,1.288654883,1.568717787,2.346696023,1.499040487,26.36906393,11.54901239,16.63916121,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
6,2,attached_lateral,0.25,False,93.34390017,1.148394064,1.541889627,2.243625395,1.431645656,25.13707078,17.46824522,18.35684546,"{""attached_lateral"": 0.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
6,2,attached_lateral,0.5,False,88.87084218,1.065370954,1.631840488,2.085367428,1.347244565,24.65815217,15.59089519,27.39059547,"{""attached_lateral"": 0.5, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
6,2,attached_lateral,0.75,False,89.4737355,0.8962046027,1.30807306,1.889745599,1.230617367,19.6943192,30.2807937,63.99408739,"{""attached_lateral"": 0.75, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
6,2,attached_lateral,1,False,81.13620836,0.8938474297,1.302544225,1.064677933,0.8040465523,65.797502,78.23984245,104.0608784,"{""attached_lateral"": 1.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
