parameter,value,applied_to_replay,description
post_stall_surface_replay_scale,0.5,True,Train-replay-selected multiplier applied to all fitted alpha-RBF post-stall surface coefficients.
attached_cm_bias_coeff,0.085285396,False,Attached-regime Cm residual. Report-only by default.
transition_cm_bias_coeff,0.04587842633,False,All-transition aggregate Cm diagnostic. Not applied to replay.
transition_before_post_stall_cm_bias_coeff,0.04980980028,False,Transition Cm diagnostic before first post-stall exposure in each throw.
transition_after_post_stall_cm_bias_coeff,0.03399793208,False,Transition Cm diagnostic after the throw has already entered post-stall.
post_stall_lift_residual_coeff,0,False,Legacy scalar CL residual. Disabled when alpha-RBF post-stall surface fit is active.
post_stall_drag_residual_coeff,0,False,Legacy scalar CD residual. Disabled when alpha-RBF post-stall surface fit is active.
post_stall_pitch_moment_coeff,0,False,Legacy scalar Cm residual. Disabled when alpha-RBF post-stall surface fit is active.
post_stall_pitch_damping_coeff,0,True,Positive-AoA Cmq-style residual using q_hat = q c / (2V). Opt-in because it is derivative-sensitive.
post_stall_residual_blend_start_alpha_deg,12,True,Residual activation start alpha fitted after attached and post-stall coefficients.
post_stall_residual_blend_full_alpha_deg,19,True,Residual activation full-alpha point fitted from transition behaviour while preserving post-stall full activation.
side_force_bias_coeff,-0.1799346884,True,"Attached-flow lateral-directional residual derivative using beta, p_hat, and r_hat."
side_force_beta_coeff,-0.6857183001,True,"Attached-flow lateral-directional residual derivative using beta, p_hat, and r_hat."
side_force_p_hat_coeff,-0.9291041372,True,"Attached-flow lateral-directional residual derivative using beta, p_hat, and r_hat."
side_force_r_hat_coeff,1.568633974,True,"Attached-flow lateral-directional residual derivative using beta, p_hat, and r_hat."
roll_moment_bias_coeff,0.002726480851,True,"Attached-flow lateral-directional residual derivative using beta, p_hat, and r_hat."
roll_moment_beta_coeff,0.02527353514,True,"Attached-flow lateral-directional residual derivative using beta, p_hat, and r_hat."
roll_moment_p_hat_coeff,0.2181068235,True,"Attached-flow lateral-directional residual derivative using beta, p_hat, and r_hat."
roll_moment_r_hat_coeff,-0.3340778271,True,"Attached-flow lateral-directional residual derivative using beta, p_hat, and r_hat."
yaw_moment_bias_coeff,0.002577018345,True,"Attached-flow lateral-directional residual derivative using beta, p_hat, and r_hat."
yaw_moment_beta_coeff,-0.02811966981,True,"Attached-flow lateral-directional residual derivative using beta, p_hat, and r_hat."
yaw_moment_p_hat_coeff,-0.02340023662,True,"Attached-flow lateral-directional residual derivative using beta, p_hat, and r_hat."
yaw_moment_r_hat_coeff,0.2597303359,True,"Attached-flow lateral-directional residual derivative using beta, p_hat, and r_hat."
transition_side_force_bias_coeff,0.05799118358,True,Transition-window lateral-directional residual delta multiplied by 4*smoothstep*(1-smoothstep).
transition_side_force_beta_coeff,0.1789875555,True,Transition-window lateral-directional residual delta multiplied by 4*smoothstep*(1-smoothstep).
transition_side_force_p_hat_coeff,0.8344647088,True,Transition-window lateral-directional residual delta multiplied by 4*smoothstep*(1-smoothstep).
transition_side_force_r_hat_coeff,-3,True,Transition-window lateral-directional residual delta multiplied by 4*smoothstep*(1-smoothstep).
transition_roll_moment_bias_coeff,-0.004596846073,True,Transition-window lateral-directional residual delta multiplied by 4*smoothstep*(1-smoothstep).
transition_roll_moment_beta_coeff,-0.02269168242,True,Transition-window lateral-directional residual delta multiplied by 4*smoothstep*(1-smoothstep).
transition_roll_moment_p_hat_coeff,-0.09350249161,True,Transition-window lateral-directional residual delta multiplied by 4*smoothstep*(1-smoothstep).
transition_roll_moment_r_hat_coeff,0.0687155665,True,Transition-window lateral-directional residual delta multiplied by 4*smoothstep*(1-smoothstep).
transition_yaw_moment_bias_coeff,0.005915561132,True,Transition-window lateral-directional residual delta multiplied by 4*smoothstep*(1-smoothstep).
transition_yaw_moment_beta_coeff,0.01901137039,True,Transition-window lateral-directional residual delta multiplied by 4*smoothstep*(1-smoothstep).
transition_yaw_moment_p_hat_coeff,0.1234884869,True,Transition-window lateral-directional residual delta multiplied by 4*smoothstep*(1-smoothstep).
transition_yaw_moment_r_hat_coeff,-0.1259521618,True,Transition-window lateral-directional residual delta multiplied by 4*smoothstep*(1-smoothstep).
post_stall_lift_rbf_20_coeff,0.2040429539,True,Neutral post-stall CL residual alpha-RBF coefficient at 20 deg AoA.
post_stall_lift_rbf_45_coeff,-0.8451262167,True,Neutral post-stall CL residual alpha-RBF coefficient at 45 deg AoA.
post_stall_lift_rbf_70_coeff,1.5,True,Neutral post-stall CL residual alpha-RBF coefficient at 70 deg AoA.
post_stall_drag_rbf_20_coeff,0.0570135903,True,Neutral post-stall CD residual alpha-RBF coefficient at 20 deg AoA.
post_stall_drag_rbf_45_coeff,-0.03500412483,True,Neutral post-stall CD residual alpha-RBF coefficient at 45 deg AoA.
post_stall_drag_rbf_70_coeff,0.7349281201,True,Neutral post-stall CD residual alpha-RBF coefficient at 70 deg AoA.
post_stall_pitch_moment_rbf_20_coeff,0.0140022521,True,Neutral post-stall Cm residual alpha-RBF coefficient at 20 deg AoA.
post_stall_pitch_moment_rbf_45_coeff,0.1923338351,True,Neutral post-stall Cm residual alpha-RBF coefficient at 45 deg AoA.
post_stall_pitch_moment_rbf_70_coeff,-1.5,True,Neutral post-stall Cm residual alpha-RBF coefficient at 70 deg AoA.
post_stall_pitch_damping_rbf_20_coeff,2.600964037,True,Neutral post-stall Cmq residual alpha-RBF coefficient at 20 deg AoA.
post_stall_pitch_damping_rbf_45_coeff,2.247808214,True,Neutral post-stall Cmq residual alpha-RBF coefficient at 45 deg AoA.
post_stall_pitch_damping_rbf_70_coeff,0.1189286372,True,Neutral post-stall Cmq residual alpha-RBF coefficient at 70 deg AoA.
post_stall_side_force_bias_rbf_20_coeff,0.4464773536,True,Neutral post-stall CY residual coefficient multiplying bias at 20 deg AoA.
post_stall_side_force_bias_rbf_45_coeff,-0.4818235513,True,Neutral post-stall CY residual coefficient multiplying bias at 45 deg AoA.
post_stall_side_force_bias_rbf_70_coeff,-1.865983759,True,Neutral post-stall CY residual coefficient multiplying bias at 70 deg AoA.
post_stall_side_force_beta_rbf_20_coeff,1.127842972,True,Neutral post-stall CY residual coefficient multiplying beta at 20 deg AoA.
post_stall_side_force_beta_rbf_45_coeff,-1.001236861,True,Neutral post-stall CY residual coefficient multiplying beta at 45 deg AoA.
post_stall_side_force_beta_rbf_70_coeff,1.476897788,True,Neutral post-stall CY residual coefficient multiplying beta at 70 deg AoA.
post_stall_side_force_p_hat_rbf_20_coeff,0.8851976311,True,Neutral post-stall CY residual coefficient multiplying p_hat at 20 deg AoA.
post_stall_side_force_p_hat_rbf_45_coeff,-0.5576340871,True,Neutral post-stall CY residual coefficient multiplying p_hat at 45 deg AoA.
post_stall_side_force_p_hat_rbf_70_coeff,-0.2919164287,True,Neutral post-stall CY residual coefficient multiplying p_hat at 70 deg AoA.
post_stall_side_force_r_hat_rbf_20_coeff,-4,True,Neutral post-stall CY residual coefficient multiplying r_hat at 20 deg AoA.
post_stall_side_force_r_hat_rbf_45_coeff,-2.726538444,True,Neutral post-stall CY residual coefficient multiplying r_hat at 45 deg AoA.
post_stall_side_force_r_hat_rbf_70_coeff,-0.07086336686,True,Neutral post-stall CY residual coefficient multiplying r_hat at 70 deg AoA.
post_stall_roll_moment_bias_rbf_20_coeff,0.004502044216,True,Neutral post-stall Cl residual coefficient multiplying bias at 20 deg AoA.
post_stall_roll_moment_bias_rbf_45_coeff,-0.005070082592,True,Neutral post-stall Cl residual coefficient multiplying bias at 45 deg AoA.
post_stall_roll_moment_bias_rbf_70_coeff,-0.09383634813,True,Neutral post-stall Cl residual coefficient multiplying bias at 70 deg AoA.
post_stall_roll_moment_beta_rbf_20_coeff,0.04067225054,True,Neutral post-stall Cl residual coefficient multiplying beta at 20 deg AoA.
post_stall_roll_moment_beta_rbf_45_coeff,-0.05093011223,True,Neutral post-stall Cl residual coefficient multiplying beta at 45 deg AoA.
post_stall_roll_moment_beta_rbf_70_coeff,0.04767302608,True,Neutral post-stall Cl residual coefficient multiplying beta at 70 deg AoA.
post_stall_roll_moment_p_hat_rbf_20_coeff,0.1637210314,True,Neutral post-stall Cl residual coefficient multiplying p_hat at 20 deg AoA.
post_stall_roll_moment_p_hat_rbf_45_coeff,0.0538238638,True,Neutral post-stall Cl residual coefficient multiplying p_hat at 45 deg AoA.
post_stall_roll_moment_p_hat_rbf_70_coeff,-0.002826074409,True,Neutral post-stall Cl residual coefficient multiplying p_hat at 70 deg AoA.
post_stall_roll_moment_r_hat_rbf_20_coeff,0.2634953907,True,Neutral post-stall Cl residual coefficient multiplying r_hat at 20 deg AoA.
post_stall_roll_moment_r_hat_rbf_45_coeff,-0.15585756,True,Neutral post-stall Cl residual coefficient multiplying r_hat at 45 deg AoA.
post_stall_roll_moment_r_hat_rbf_70_coeff,-0.01298821231,True,Neutral post-stall Cl residual coefficient multiplying r_hat at 70 deg AoA.
post_stall_yaw_moment_bias_rbf_20_coeff,-0.01055757336,True,Neutral post-stall Cn residual coefficient multiplying bias at 20 deg AoA.
post_stall_yaw_moment_bias_rbf_45_coeff,0.01294505651,True,Neutral post-stall Cn residual coefficient multiplying bias at 45 deg AoA.
post_stall_yaw_moment_bias_rbf_70_coeff,0.04005073248,True,Neutral post-stall Cn residual coefficient multiplying bias at 70 deg AoA.
post_stall_yaw_moment_beta_rbf_20_coeff,-0.02727415074,True,Neutral post-stall Cn residual coefficient multiplying beta at 20 deg AoA.
post_stall_yaw_moment_beta_rbf_45_coeff,0.07359272664,True,Neutral post-stall Cn residual coefficient multiplying beta at 45 deg AoA.
post_stall_yaw_moment_beta_rbf_70_coeff,-0.03000113026,True,Neutral post-stall Cn residual coefficient multiplying beta at 70 deg AoA.
post_stall_yaw_moment_p_hat_rbf_20_coeff,0.07697718393,True,Neutral post-stall Cn residual coefficient multiplying p_hat at 20 deg AoA.
post_stall_yaw_moment_p_hat_rbf_45_coeff,0.127436909,True,Neutral post-stall Cn residual coefficient multiplying p_hat at 45 deg AoA.
post_stall_yaw_moment_p_hat_rbf_70_coeff,0.01549534048,True,Neutral post-stall Cn residual coefficient multiplying p_hat at 70 deg AoA.
post_stall_yaw_moment_r_hat_rbf_20_coeff,-0.05376852743,True,Neutral post-stall Cn residual coefficient multiplying r_hat at 20 deg AoA.
post_stall_yaw_moment_r_hat_rbf_45_coeff,0.03278687179,True,Neutral post-stall Cn residual coefficient multiplying r_hat at 45 deg AoA.
post_stall_yaw_moment_r_hat_rbf_70_coeff,-0.001090490145,True,Neutral post-stall Cn residual coefficient multiplying r_hat at 70 deg AoA.
