outcome_group,plot_path,sample_count
accepted,03_Control/05_Results/lqr_contextual_v1_0/lqr_controller_trajectory_audit/008/plots/r5_037_accepted_3_per_family_segments_3d.png,24
weak,03_Control/05_Results/lqr_contextual_v1_0/lqr_controller_trajectory_audit/008/plots/r5_037_weak_3_per_family_segments_3d.png,24
