plot_outcome_group,plot_index,rollout_id,row_index,primitive_id,candidate_index,outcome_class,transition_entry_class,transition_exit_class,transition_chain_compatible,environment_mode,start_state_family,speed_bin,duration_s,x0,y0,z0,x1,y1,z1,dx,dy,dz,floor_margin_m,wall_margin_m,saturation_fraction,max_abs_command_norm,termination_cause,failure_label,boundary_use_class
accepted,1,w01_037_0032256,32256,glide,0,accepted,inflight_stable,boundary_near,True,dry_air,inflight_nominal,speed_bin_7p0_m_s,0.1,5.583638060050113,0.5075509841352658,1.165581662076665,6.259299748751903,0.6964155250672253,1.25044199545917,0.6756616887017897,0.18886454093195948,0.08486033338250487,0.765581662076665,0.340700251248097,1.0,1.0,controlled_finish,success,continuation_valid
accepted,2,w01_037_0061376,61376,glide,29,accepted,inflight_stable,boundary_near,True,w1_annular_gp_randomised_single,inflight_lift_region,speed_bin_5p5_m_s,0.1,2.710514561356396,2.436394225021427,1.5304213036666785,3.2233498477610745,2.6081563321179533,1.5506925378558296,0.5128352864046786,0.17176210709652606,0.02027123418915111,1.1304213036666786,1.510514561356396,0.0,0.4297921507902967,controlled_finish,success,continuation_valid
accepted,3,w01_037_0076712,76712,glide,28,accepted,recoverable_degraded,inflight_stable,True,w1_annular_gp_randomised_single,inflight_recovery_edge,speed_bin_3p5_m_s,0.1,3.9919022027630375,1.184535238431605,2.1983584831267104,4.294701532055426,1.2876011162080758,2.2183859228183738,0.30279932929238873,0.1030658777764708,0.020027439691663318,1.7983584831267103,1.184535238431605,1.0,1.0,controlled_finish,success,continuation_valid
accepted,4,w01_037_0032257,32257,recovery,0,accepted,inflight_stable,boundary_near,True,dry_air,inflight_nominal,speed_bin_7p0_m_s,0.1,5.583638060050113,0.5075509841352658,1.165581662076665,6.259190343419086,0.6966052781723321,1.2489466036990782,0.6755522833689733,0.1890542940370663,0.08336494162241315,0.765581662076665,0.3408096565809133,1.0,1.0,controlled_finish,success,continuation_valid
accepted,5,w01_037_0032985,32985,recovery,30,accepted,inflight_stable,boundary_near,True,w1_annular_gp_randomised_single,inflight_nominal,speed_bin_4p5_m_s,0.1,4.483662133060925,1.6165620250622552,1.2917102022059344,4.887389438703219,1.7679738633013367,1.3512732753285075,0.40372730564229453,0.15141183823908144,0.05956307312257314,0.8917102022059343,1.6165620250622552,0.0,0.6433819257643995,controlled_finish,success,continuation_valid
accepted,6,w01_037_0073713,73713,recovery,31,accepted,recoverable_degraded,inflight_stable,True,w1_annular_gp_randomised_single,inflight_recovery_edge,speed_bin_3p0_m_s,0.1,4.851415484455789,1.084514922138104,1.5318806447590143,5.114908883461832,1.2283409702140604,1.5524693332578274,0.26349339900604374,0.14382604807595634,0.020588688498813124,1.1318806447590144,1.084514922138104,1.2,1.0,controlled_finish,success,continuation_valid
accepted,7,w01_037_0032258,32258,lift_entry,0,accepted,inflight_stable,boundary_near,True,dry_air,inflight_nominal,speed_bin_7p0_m_s,0.1,5.583638060050113,0.5075509841352658,1.165581662076665,6.259267621466979,0.6963069167817679,1.2505780636138542,0.6756295614168657,0.18875593264650214,0.08499640153718913,0.765581662076665,0.3407323785330209,0.4,1.0,controlled_finish,success,continuation_valid
accepted,8,w01_037_0051394,51394,lift_entry,29,accepted,inflight_stable,boundary_near,True,w1_annular_gp_randomised_single,inflight_lift_region,speed_bin_7p0_m_s,0.1,4.286771696903473,2.7439090157915142,1.989436187050973,4.8940240083666815,3.0132771798837203,2.1570366055490275,0.6072523114632089,0.2693681640922061,0.16760041849805463,1.589436187050973,1.38672282011628,0.8,1.0,controlled_finish,success,continuation_valid
accepted,9,w01_037_0073714,73714,lift_entry,31,accepted,recoverable_degraded,inflight_stable,True,w1_annular_gp_randomised_single,inflight_recovery_edge,speed_bin_3p0_m_s,0.1,4.851415484455789,1.084514922138104,1.5318806447590143,5.112564383114959,1.231806626044512,1.5607468921184011,0.26114889865917057,0.1472917039064079,0.02886624735938681,1.1318806447590144,1.084514922138104,1.2,1.0,controlled_finish,success,continuation_valid
accepted,10,w01_037_0032259,32259,lift_dwell_arc,0,accepted,inflight_stable,boundary_near,True,dry_air,inflight_nominal,speed_bin_7p0_m_s,0.1,5.583638060050113,0.5075509841352658,1.165581662076665,6.259207827341782,0.6962150747275863,1.2506971529520743,0.6755697672916687,0.18866409059232048,0.08511549087540926,0.765581662076665,0.3407921726582179,0.4,1.0,controlled_finish,success,continuation_valid
