model_id,split,residual_metric,launch_variable,sample_count,pearson_r,abs_pearson_r,slope,intercept,residual_mean,launch_variable_mean
baseline_active,train,dy,v0_m_s,63,-0.06713156276,0.06713156276,-0.1898525323,-0.8848051587,-1.061756798,0.9320478245
baseline_active,train,dy,p0_rad_s,63,-0.2573340371,0.2573340371,-0.901266563,-0.7619017164,-1.061756798,0.3327041015
baseline_active,train,dy,r0_rad_s,63,0.1031163388,0.1031163388,0.4805899667,-0.9700866434,-1.061756798,-0.1907450454
baseline_active,train,dy,phi0_deg,63,-0.3046505004,0.3046505004,-0.0730992717,-0.278575159,-1.061756798,10.71394586
baseline_active,train,dy,psi0_deg,63,-0.0468988031,0.0468988031,-0.01160753006,-1.114710134,-1.061756798,-4.561981377
baseline_active,train,roll,v0_m_s,63,0.3750957273,0.3750957273,10.33787006,-22.69679532,-13.06140602,0.9320478245
baseline_active,train,roll,p0_rad_s,63,-0.1737266428,0.1737266428,-5.92955044,-11.08862027,-13.06140602,0.3327041015
baseline_active,train,roll,r0_rad_s,63,-0.3412798441,0.3412798441,-15.50090911,-16.01812763,-13.06140602,-0.1907450454
baseline_active,train,roll,phi0_deg,63,-0.06479855637,0.06479855637,-0.1515220368,-11.43800712,-13.06140602,10.71394586
baseline_active,train,roll,psi0_deg,63,-0.5222309212,0.5222309212,-1.259621183,-18.8077744,-13.06140602,-4.561981377
baseline_active,train,yaw,v0_m_s,63,0.1986198241,0.1986198241,13.21291358,-25.02986997,-12.71480261,0.9320478245
baseline_active,train,yaw,p0_rad_s,63,0.07318188754,0.07318188754,6.029009899,-14.72067894,-12.71480261,0.3327041015
baseline_active,train,yaw,r0_rad_s,63,-0.239952293,0.239952293,-26.30622219,-17.73258416,-12.71480261,-0.1907450454
baseline_active,train,yaw,phi0_deg,63,0.08921510341,0.08921510341,0.5035422334,-18.10972684,-12.71480261,10.71394586
baseline_active,train,yaw,psi0_deg,63,-0.1621910061,0.1621910061,-0.9442591239,-17.02249515,-12.71480261,-4.561981377
baseline_active,heldout,dy,v0_m_s,11,-0.148348217,0.148348217,-0.2674319739,-0.9791445842,-1.240963291,0.9790104845
baseline_active,heldout,dy,p0_rad_s,11,-0.5412457863,0.5412457863,-1.679636498,-0.7882974477,-1.240963291,0.2695022663
baseline_active,heldout,dy,r0_rad_s,11,0.3306392714,0.3306392714,1.25487906,-0.930163833,-1.240963291,-0.2476728375
baseline_active,heldout,dy,phi0_deg,11,-0.8871544973,0.8871544973,-0.1307033134,0.138632195,-1.240963291,10.55516842
baseline_active,heldout,dy,psi0_deg,11,-0.3851391587,0.3851391587,-0.06952940343,-1.613912098,-1.240963291,-5.363900574
baseline_active,heldout,roll,v0_m_s,11,0.08829227711,0.08829227711,2.40706966,-12.93326788,-10.57672144,0.9790104845
baseline_active,heldout,roll,p0_rad_s,11,-0.757655889,0.757655889,-35.55721359,-0.9939717992,-10.57672144,0.2695022663
baseline_active,heldout,roll,r0_rad_s,11,-0.07953101127,0.07953101127,-4.564769832,-11.70729094,-10.57672144,-0.2476728375
baseline_active,heldout,roll,phi0_deg,11,-0.1806390847,0.1806390847,-0.4024704555,-6.328578003,-10.57672144,10.55516842
baseline_active,heldout,roll,psi0_deg,11,-0.5157179532,0.5157179532,-1.407984969,-18.12901283,-10.57672144,-5.363900574
baseline_active,heldout,yaw,v0_m_s,11,0.01904833906,0.01904833906,0.7925888293,-8.475788314,-7.69983554,0.9790104845
baseline_active,heldout,yaw,p0_rad_s,11,-0.3961822241,0.3961822241,-28.37759564,-0.05200920288,-7.69983554,0.2695022663
baseline_active,heldout,yaw,r0_rad_s,11,-0.1373097918,0.1373097918,-12.02842546,-10.6789498,-7.69983554,-0.2476728375
baseline_active,heldout,yaw,phi0_deg,11,0.1596141812,0.1596141812,0.542773516,-13.42890141,-7.69983554,10.55516842
baseline_active,heldout,yaw,psi0_deg,11,0.1108071632,0.1108071632,0.4617197987,-5.223216447,-7.69983554,-5.363900574
coefficient_candidate,train,dy,v0_m_s,63,0.2473151555,0.2473151555,0.9098784256,-2.389811306,-1.541761099,0.9320478245
