candidate_id,baseline_model_id,term,regime_family,split,fit_sample_count,fit_used_sample_count,fit_coefficient,fit_sign,parameter_keys_json,baseline_dy_mae_m,candidate_dy_mae_m,delta_dy_mae_m,baseline_roll_mae_deg,candidate_roll_mae_deg,delta_roll_mae_deg,baseline_yaw_mae_deg,candidate_yaw_mae_deg,delta_yaw_mae_deg,baseline_dx_mae_m,candidate_dx_mae_m,delta_dx_mae_m,baseline_altitude_loss_mae_m,candidate_altitude_loss_mae_m,delta_altitude_loss_mae_m,baseline_sink_mae_m_s,candidate_sink_mae_m_s,delta_sink_mae_m_s,baseline_pitch_mae_deg,candidate_pitch_mae_deg,delta_pitch_mae_deg,accepted,acceptance_reason
post_stall_CY_p,primary_longitudinal,CY_p,post_stall,heldout,891,891,1.004171747,positive,"[""post_stall_side_force_p_hat_rbf_20_coeff""]",1.612228602,1.619941733,0.007713131191,28.15740301,28.12846464,-0.0289383732,27.09823695,27.46206991,0.3638329652,0.4075358813,0.4146017936,0.007065912363,0.3434580162,0.3483268436,0.004868827389,0.3088797992,0.3128795394,0.003999740249,5.437063205,5.509968864,0.07290565901,False,rejected_lateral_metrics_not_all_improved
attached_CY_r,primary_longitudinal,CY_r,attached,train,2311,2304,3,positive,"[""side_force_r_hat_coeff""]",1.5767532,2.653884323,1.077131123,26.02720489,14.23087094,-11.79633395,23.51136807,52.03656055,28.52519248,0.630121907,0.5889065334,-0.04121537361,0.6965684563,0.8632388191,0.1666703628,0.447312174,0.5903412375,0.1430290635,5.822187899,6.500346231,0.6781583325,,
attached_CY_r,primary_longitudinal,CY_r,attached,heldout,2311,2304,3,positive,"[""side_force_r_hat_coeff""]",1.612228602,2.692727679,1.080499077,28.15740301,14.56416207,-13.59324094,27.09823695,60.54022979,33.44199284,0.4075358813,0.7449360975,0.3374002162,0.3434580162,0.6453250859,0.3018670696,0.3088797992,0.5591125122,0.250232713,5.437063205,7.342012147,1.904948941,False,rejected_lateral_metrics_not_all_improved
transition_CY_r,primary_longitudinal,CY_r,transition,train,5180,5170,-3,negative,"[""transition_side_force_r_hat_coeff""]",1.5767532,1.347815885,-0.2289373155,26.02720489,25.3753638,-0.6518410844,23.51136807,16.21890636,-7.292461717,0.630121907,0.6460330333,0.01591112634,0.6965684563,0.6810180831,-0.01555037326,0.447312174,0.433884097,-0.01342807694,5.822187899,5.67643218,-0.1457557187,,
transition_CY_r,primary_longitudinal,CY_r,transition,heldout,5180,5170,-3,negative,"[""transition_side_force_r_hat_coeff""]",1.612228602,1.308184929,-0.3040436727,28.15740301,27.97609309,-0.181309922,27.09823695,17.20538163,-9.892855319,0.4075358813,0.3623803199,-0.04515556132,0.3434580162,0.2655033681,-0.07795464814,0.3088797992,0.2445859152,-0.06429388394,5.437063205,4.805721356,-0.6313418487,True,heldout_lateral_improved_with_longitudinal_tolerance
post_stall_CY_r,primary_longitudinal,CY_r,post_stall,train,891,891,-3.19933461,negative,"[""post_stall_side_force_r_hat_rbf_20_coeff""]",1.5767532,1.394290826,-0.1824623743,26.02720489,25.7318647,-0.2953401885,23.51136807,17.72865146,-5.782716613,0.630121907,0.6416397071,0.01151780009,0.6965684563,0.6876379959,-0.00893046038,0.447312174,0.4395204711,-0.007791702881,5.822187899,5.82847307,0.006285170747,,
post_stall_CY_r,primary_longitudinal,CY_r,post_stall,heldout,891,891,-3.19933461,negative,"[""post_stall_side_force_r_hat_rbf_20_coeff""]",1.612228602,1.339707012,-0.2725215901,28.15740301,28.14398758,-0.0134154318,27.09823695,18.83615936,-8.262077584,0.4075358813,0.3873232278,-0.02021265349,0.3434580162,0.2983542843,-0.04510373192,0.3088797992,0.2718950964,-0.03698470277,5.437063205,4.758052191,-0.6790110136,True,heldout_lateral_improved_with_longitudinal_tolerance
attached_Cl_beta,primary_longitudinal,Cl_beta,attached,train,2311,2309,0.04680967832,positive,"[""roll_moment_beta_coeff""]",1.5767532,1.894843027,0.3180898268,26.02720489,37.39298762,11.36578273,23.51136807,31.25216433,7.740796259,0.630121907,0.6392101562,0.009088249254,0.6965684563,1.061652913,0.3650844563,0.447312174,0.76476674,0.317454566,5.822187899,11.5299136,5.707725705,,
attached_Cl_beta,primary_longitudinal,Cl_beta,attached,heldout,2311,2309,0.04680967832,positive,"[""roll_moment_beta_coeff""]",1.612228602,1.957383257,0.345154655,28.15740301,39.32775963,11.17035662,27.09823695,33.73610521,6.637868258,0.4075358813,0.4690038845,0.0614680032,0.3434580162,0.763289813,0.4198317968,0.3088797992,0.6670742459,0.3581944467,5.437063205,13.85582273,8.418759528,False,rejected_lateral_metrics_not_all_improved
transition_Cl_beta,primary_longitudinal,Cl_beta,transition,train,5180,5177,0.09806785545,positive,"[""transition_roll_moment_beta_coeff""]",1.5767532,1.767230528,0.1904773281,26.02720489,34.65435387,8.627148987,23.51136807,30.76426637,7.252898298,0.630121907,0.6319380182,0.001816111214,0.6965684563,0.8460676563,0.1494992,0.447312174,0.5814715176,0.1341593437,5.822187899,6.803702195,0.9815142965,,
transition_Cl_beta,primary_longitudinal,Cl_beta,transition,heldout,5180,5177,0.09806785545,positive,"[""transition_roll_moment_beta_coeff""]",1.612228602,1.814857394,0.202628792,28.15740301,35.26031865,7.102915636,27.09823695,34.05757155,6.959334605,0.4075358813,0.4631857927,0.05564991142,0.3434580162,0.5292202056,0.1857621893,0.3088797992,0.4657814616,0.1569016624,5.437063205,7.201208339,1.764145134,False,rejected_lateral_metrics_not_all_improved
post_stall_Cl_beta,primary_longitudinal,Cl_beta,post_stall,train,891,891,0.09326907074,positive,"[""post_stall_roll_moment_beta_rbf_20_coeff""]",1.5767532,1.688234239,0.1114810384,26.02720489,32.33940755,6.312202657,23.51136807,28.82054989,5.309181812,0.630121907,0.6202645386,-0.009857368374,0.6965684563,0.7635933069,0.06702485061,0.447312174,0.5083248515,0.06101267751,5.822187899,6.561967427,0.7397795278,,
post_stall_Cl_beta,primary_longitudinal,Cl_beta,post_stall,heldout,891,891,0.09326907074,positive,"[""post_stall_roll_moment_beta_rbf_20_coeff""]",1.612228602,1.773383858,0.1611552565,28.15740301,35.27230922,7.114906204,27.09823695,31.49860755,4.400370606,0.4075358813,0.4185676379,0.01103175668,0.3434580162,0.4557482474,0.1122902312,0.3088797992,0.4044380866,0.09555828743,5.437063205,6.61259105,1.175527845,False,rejected_lateral_metrics_not_all_improved
attached_Cl_p,primary_longitudinal,Cl_p,attached,train,2311,2302,0.2540595967,positive,"[""roll_moment_p_hat_coeff""]",1.5767532,1.399373449,-0.1773797509,26.02720489,29.18878282,3.161577936,23.51136807,17.29638897,-6.214979105,0.630121907,0.6709249692,0.04080306228,0.6965684563,0.7584176799,0.06184922359,0.447312174,0.5101802862,0.06286811225,5.822187899,7.601443361,1.779255462,,
attached_Cl_p,primary_longitudinal,Cl_p,attached,heldout,2311,2302,0.2540595967,positive,"[""roll_moment_p_hat_coeff""]",1.612228602,1.248597464,-0.3636311379,28.15740301,29.65801449,1.500611479,27.09823695,14.19716058,-12.90107636,0.4075358813,0.3900519244,-0.01748395689,0.3434580162,0.2722097536,-0.07124826266,0.3088797992,0.2539437103,-0.05493608886,5.437063205,5.311435494,-0.1256277109,False,rejected_lateral_metrics_not_all_improved
transition_Cl_p,primary_longitudinal,Cl_p,transition,train,5180,5160,0.4840154048,positive,"[""transition_roll_moment_p_hat_coeff""]",1.5767532,1.625470818,0.04871761748,26.02720489,26.48621849,0.459013599,23.51136807,24.57087498,1.059506905,0.630121907,0.6695126719,0.03939076492,0.6965684563,0.8333095034,0.136741047,0.447312174,0.5694664152,0.1221542413,5.822187899,8.059798224,2.237610326,,
transition_Cl_p,primary_longitudinal,Cl_p,transition,heldout,5180,5160,0.4840154048,positive,"[""transition_roll_moment_p_hat_coeff""]",1.612228602,1.74095834,0.1287297383,28.15740301,32.72047188,4.563068864,27.09823695,31.92437241,4.826135467,0.4075358813,0.4754903048,0.06795442354,0.3434580162,0.5541675447,0.2107095284,0.3088797992,0.4847763453,0.1758965461,5.437063205,10.19257159,4.755508388,False,rejected_lateral_metrics_not_all_improved
post_stall_Cl_p,primary_longitudinal,Cl_p,post_stall,train,891,891,0.5565415357,positive,"[""post_stall_roll_moment_p_hat_rbf_20_coeff""]",1.5767532,1.547652233,-0.02910096741,26.02720489,28.6594934,2.632288512,23.51136807,22.99825936,-0.5131087142,0.630121907,0.6706291449,0.04050723795,0.6965684563,0.7564122505,0.05984379413,0.447312174,0.5001022621,0.05279008817,5.822187899,6.725641009,0.9034531099,,
