iteration,pass_index,group,candidate_scale,selected,objective,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,final_theta_mae_deg,final_phi_mae_deg,final_psi_mae_deg,group_scales_json
0,0,initial_grouped_candidate,,True,39.25756832,0.6496642154,1.602411082,0.6720457349,0.3991022979,11.25134167,22.52990334,26.44371103,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 1.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
1,1,attached_longitudinal,-0.25,False,83.29551349,0.9384539125,1.18667678,1.698088523,1.415497427,28.68545181,13.56096665,13.28323413,"{""attached_lateral"": 0.0, ""attached_longitudinal"": -0.25, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
1,1,attached_longitudinal,0,False,72.70941309,0.8843699762,1.295702733,1.458933837,1.160634954,22.51133931,14.08722147,15.82138455,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
1,1,attached_longitudinal,0.25,False,63.18412932,0.7269159036,1.397319242,1.247258539,0.9207665573,16.7676428,17.68042015,19.36235382,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.25, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
1,1,attached_longitudinal,0.5,False,53.80924439,0.6345775283,1.420151025,1.044110901,0.6940240053,10.45206168,22.56924406,22.84932936,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.5, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
1,1,attached_longitudinal,0.75,False,46.23935463,0.6587819387,1.473270353,0.8706070346,0.5330153399,10.02286298,21.17411731,25.05909429,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.75, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
1,1,attached_longitudinal,1,False,39.25756832,0.6496642154,1.602411082,0.6720457349,0.3991022979,11.25134167,22.52990334,26.44371103,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 1.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
1,1,attached_longitudinal,1.25,True,27.18267043,0.3869798202,1.496007417,0.3200232524,0.2268956813,16.12366872,24.83338905,32.62879254,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 1.25, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
2,2,attached_longitudinal,-0.25,False,83.29551349,0.9384539125,1.18667678,1.698088523,1.415497427,28.68545181,13.56096665,13.28323413,"{""attached_lateral"": 0.0, ""attached_longitudinal"": -0.25, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
2,2,attached_longitudinal,0,False,72.70941309,0.8843699762,1.295702733,1.458933837,1.160634954,22.51133931,14.08722147,15.82138455,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
2,2,attached_longitudinal,0.25,False,63.18412932,0.7269159036,1.397319242,1.247258539,0.9207665573,16.7676428,17.68042015,19.36235382,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.25, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
2,2,attached_longitudinal,0.5,False,53.80924439,0.6345775283,1.420151025,1.044110901,0.6940240053,10.45206168,22.56924406,22.84932936,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.5, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
2,2,attached_longitudinal,0.75,False,46.23935463,0.6587819387,1.473270353,0.8706070346,0.5330153399,10.02286298,21.17411731,25.05909429,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 0.75, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
2,2,attached_longitudinal,1,False,39.25756832,0.6496642154,1.602411082,0.6720457349,0.3991022979,11.25134167,22.52990334,26.44371103,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 1.0, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
2,2,attached_longitudinal,1.25,True,27.18267043,0.3869798202,1.496007417,0.3200232524,0.2268956813,16.12366872,24.83338905,32.62879254,"{""attached_lateral"": 0.0, ""attached_longitudinal"": 1.25, ""post_stall_lateral"": 0.0, ""post_stall_longitudinal"": 0.0, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
