launch_speed_bin_id,n,wall_rate,mission_rate,safe_rate,mean_score,low_energy_rate,hard_failure_rate,floor_ceiling_rate,no_viable_rate,wrong_wall_rate,mean_v0,order
v0_4_0_to_5_0_m_s,160.0,0.325,0.325,0.325,41.17544729874378,0.5,0.0,0.0,0.175,0.0,4.714661646732928,0
v0_5_0_to_6_0_m_s,128.0,0.3125,0.3125,0.46875,-15.468498076975123,0.0,0.46875,0.4375,0.0625,0.1875,5.334015872950229,1
v0_6_0_to_7_0_m_s,96.0,0.7083333333333334,0.7083333333333334,0.9166666666666666,73.73919479025844,0.0,0.08333333333333333,0.0,0.0,0.2916666666666667,6.357060144223925,2
v0_ge_7_0_m_s,256.0,0.90625,0.90625,0.921875,111.88754768599404,0.0,0.0625,0.046875,0.015625,0.03125,7.655507831886098,3
