dense_speed_bin,n,mean_v0,min_v0,max_v0,wall_rate,mission_rate,safe_rate,mean_score,low_energy_rate,hard_failure_rate,floor_ceiling_rate,no_viable_rate,wrong_wall_rate
4.00-4.50,32,4.32151022120381,4.32151022120381,4.32151022120381,0.0,0.0,0.0,-10.0,0.75,0.0,0.0,0.25,0.0
4.50-5.00,128,4.812949503115208,4.742186607006741,4.884483329326275,0.40625,0.40625,0.40625,53.969309123429724,0.4375,0.0,0.0,0.15625,0.0
5.00-5.50,96,5.253990455626296,5.12330928775431,5.379504780312634,0.125,0.125,0.3333333333333333,-56.321103404005136,0.0,0.625,0.5833333333333334,0.041666666666666664,0.25
5.50-6.00,32,5.574092124922031,5.574092124922031,5.574092124922031,0.875,0.875,0.875,107.0893179041149,0.0,0.0,0.0,0.125,0.0
6.00-6.50,64,6.263407279949307,6.235436254627058,6.291378305271556,0.5625,0.5625,0.875,45.120843054909145,0.0,0.125,0.0,0.0,0.4375
6.50-7.00,32,6.544365872773158,6.544365872773158,6.544365872773158,1.0,1.0,1.0,130.975898260957,0.0,0.0,0.0,0.0,0.0
7.00-7.50,64,7.3321074319558885,7.271907406914219,7.392307456997559,0.8125,0.8125,0.8125,88.2482965625335,0.0,0.1875,0.1875,0.0,0.0
7.50-8.00,192,7.7633079651961685,7.507516957482443,7.9405809451807965,0.9375,0.9375,0.9583333333333334,119.76729806048087,0.0,0.020833333333333332,0.0,0.020833333333333332,0.041666666666666664
