ladder,environment_block_id,library_size_case_id,launch_count,wall_rate,compute_rate,final_score,path_score,nonfinite_path_rate,inflight_decision_count,p99_compute_s
L0,r11_l0_dry_air_fixed,heavy_cluster,80,0.35,0.9943181818181818,4.746366106886915,12.493186557390793,0.05,704,0.08018020701041681
L0,r11_l0_dry_air_fixed,balanced_cluster,80,0.4,0.9232954545454546,17.407813816763593,12.754963805280099,0.2,704,0.1678570659994148
L0,r11_l0_dry_air_fixed,light_cluster,80,0.4,0.7528248587570622,19.406440905576098,12.84064691338337,0.15,708,0.27256089499307545
L0,r11_l0_dry_air_fixed,super_light_cluster,80,0.4,0.65625,17.39998417025741,12.90405206289182,0.2,704,0.7714479450171382
L0,r11_l0_dry_air_fixed,no_cluster_no_merge,80,0.4,0.2883522727272727,17.39922149018152,12.931956801472657,0.2,704,1.1738622459792536
L1,r11_l1_single_fan_fixed_nominal,heavy_cluster,80,0.5,0.9903381642512077,44.126935914305726,13.026844932077427,0.0,828,0.09408886399614852
L1,r11_l1_single_fan_fixed_nominal,balanced_cluster,80,0.55,0.8981958762886598,44.124650864106215,13.094984943001815,0.1,776,0.17938302502443548
L1,r11_l1_single_fan_fixed_nominal,light_cluster,80,0.55,0.7576923076923077,45.13443602171011,13.335619499123434,0.2,780,0.3328725609980759
L1,r11_l1_single_fan_fixed_nominal,super_light_cluster,80,0.55,0.6782051282051282,45.14148448873202,13.448895916370697,0.2,780,0.6729096270172158
L1,r11_l1_single_fan_fixed_nominal,no_cluster_no_merge,80,0.6,0.31153846153846154,53.859138673131824,13.463583943510775,0.2,780,1.2958081330321152
L2,r11_l2_four_fan_fixed_nominal,heavy_cluster,80,0.75,0.9791666666666666,95.9158462916415,13.421915888451275,0.05,816,0.12310144505026992
L2,r11_l2_four_fan_fixed_nominal,balanced_cluster,80,0.85,0.9029850746268657,114.77192222838497,13.491822750471565,0.0,804,0.1849255540056038
L2,r11_l2_four_fan_fixed_nominal,light_cluster,80,0.85,0.75,114.84278118923233,13.433041409717273,0.0,804,0.3732739579671763
L2,r11_l2_four_fan_fixed_nominal,super_light_cluster,80,0.65,0.6875,65.5832165159428,13.437272291016342,0.0,800,0.7531964899803273
L2,r11_l2_four_fan_fixed_nominal,no_cluster_no_merge,80,0.85,0.3065326633165829,114.69174260204015,13.39745466519397,0.0,796,1.2470152850219165
L3,r11_l3_fan_parameter_uncertainty,heavy_cluster,80,0.7,0.9696601941747572,88.84262102807313,10.886445856729878,0.05,824,0.13220684700907437
L3,r11_l3_fan_parameter_uncertainty,balanced_cluster,80,0.75,0.8652912621359223,94.91541795265148,11.299845722205788,0.0,824,0.20923181600548552
L3,r11_l3_fan_parameter_uncertainty,light_cluster,80,0.75,0.7121951219512195,94.87459187001076,11.269648455269484,0.0,820,0.34694603298848925
L3,r11_l3_fan_parameter_uncertainty,super_light_cluster,80,0.75,0.625,97.88906600191474,11.398502343373547,0.05,824,0.9649307949939974
L3,r11_l3_fan_parameter_uncertainty,no_cluster_no_merge,80,0.75,0.27427184466019416,94.8469253041338,11.436235554464123,0.0,824,1.1208912850244084
L4,r11_l4_local_fan_position_uncertainty,heavy_cluster,80,0.65,0.9699519230769231,70.4595396871878,11.669913831177846,0.05,832,0.1213546950058659
L4,r11_l4_local_fan_position_uncertainty,balanced_cluster,80,0.7,0.8701456310679612,84.40098950114985,11.282513922208778,0.05,824,0.18500687300111143
L4,r11_l4_local_fan_position_uncertainty,light_cluster,80,0.7,0.7170731707317073,84.41129903148507,11.333087462482203,0.05,820,0.3222636639833214
