library_size_case_id,launch_speed_bin_id,n,wall_rate,mission_rate,safe_rate,mean_score,low_energy_rate,hard_failure_rate,floor_ceiling_rate,no_viable_rate,wrong_wall_rate,mean_v0,cluster_order,speed_order
heavy_cluster,v0_4_0_to_5_0_m_s,160.0,0.275,0.275,0.275,36.05453446340092,0.625,0.025,0.0,0.075,0.025,4.714661646732928,0,0
heavy_cluster,v0_5_0_to_6_0_m_s,128.0,0.34375,0.34375,0.4375,-9.559596190936311,0.0,0.46875,0.4375,0.09375,0.125,5.334015872950229,0,1
heavy_cluster,v0_6_0_to_7_0_m_s,96.0,0.625,0.625,0.875,56.9783291178361,0.0,0.125,0.041666666666666664,0.0,0.3333333333333333,6.357060144223925,0,2
heavy_cluster,v0_ge_7_0_m_s,256.0,0.8125,0.8125,0.921875,93.47480334935982,0.0,0.078125,0.0625,0.0,0.125,7.655507831886098,0,3
balanced_cluster,v0_4_0_to_5_0_m_s,160.0,0.325,0.325,0.325,41.17544729874378,0.5,0.0,0.0,0.175,0.0,4.714661646732928,1,0
balanced_cluster,v0_5_0_to_6_0_m_s,128.0,0.3125,0.3125,0.46875,-15.468498076975123,0.0,0.46875,0.4375,0.0625,0.1875,5.334015872950229,1,1
balanced_cluster,v0_6_0_to_7_0_m_s,96.0,0.7083333333333334,0.7083333333333334,0.9166666666666666,73.73919479025844,0.0,0.08333333333333333,0.0,0.0,0.2916666666666667,6.357060144223925,1,2
balanced_cluster,v0_ge_7_0_m_s,256.0,0.90625,0.90625,0.921875,111.88754768599404,0.0,0.0625,0.046875,0.015625,0.03125,7.655507831886098,1,3
light_cluster,v0_4_0_to_5_0_m_s,160.0,0.35,0.35,0.35,42.53549966978183,0.46875,0.025,0.0,0.15625,0.025,4.714661646732928,2,0
light_cluster,v0_5_0_to_6_0_m_s,128.0,0.3125,0.3125,0.46875,-13.545448835124946,0.0,0.4375,0.40625,0.09375,0.1875,5.334015872950229,2,1
light_cluster,v0_6_0_to_7_0_m_s,96.0,0.7083333333333334,0.7083333333333334,0.9166666666666666,73.69004174014471,0.0,0.08333333333333333,0.0,0.0,0.2916666666666667,6.357060144223925,2,2
light_cluster,v0_ge_7_0_m_s,256.0,0.90625,0.90625,0.921875,112.8319829661966,0.0,0.046875,0.03125,0.03125,0.03125,7.655507831886098,2,3
super_light_cluster,v0_4_0_to_5_0_m_s,160.0,0.275,0.275,0.275,26.815015673116214,0.45,0.05,0.0,0.225,0.05,4.714661646732928,3,0
super_light_cluster,v0_5_0_to_6_0_m_s,128.0,0.25,0.25,0.40625,-30.26406699963855,0.0,0.5234375,0.4296875,0.0703125,0.25,5.33401587295023,3,1
super_light_cluster,v0_6_0_to_7_0_m_s,96.0,0.7083333333333334,0.7083333333333334,0.9166666666666666,73.72141546822677,0.0,0.08333333333333333,0.0,0.0,0.2916666666666667,6.357060144223923,3,2
super_light_cluster,v0_ge_7_0_m_s,256.0,0.890625,0.890625,0.90625,109.03514213077366,0.0,0.0625,0.03125,0.03125,0.046875,7.655507831886098,3,3
no_cluster_no_merge,v0_4_0_to_5_0_m_s,160.0,0.325,0.325,0.325,39.198441884712906,0.45,0.0,0.0,0.225,0.0,4.714661646732928,4,0
no_cluster_no_merge,v0_5_0_to_6_0_m_s,128.0,0.3125,0.3125,0.46875,-13.72294752710922,0.0,0.4375,0.40625,0.09375,0.1875,5.334015872950229,4,1
no_cluster_no_merge,v0_6_0_to_7_0_m_s,96.0,0.7083333333333334,0.7083333333333334,0.9166666666666666,73.70207355719953,0.0,0.08333333333333333,0.0,0.0,0.2916666666666667,6.357060144223925,4,2
no_cluster_no_merge,v0_ge_7_0_m_s,256.0,0.921875,0.921875,0.921875,115.49868097983111,0.0,0.046875,0.03125,0.03125,0.015625,7.655507831886098,4,3
