environment_block_id,launch_speed_bin_id,n,wall_rate,mission_rate,safe_rate,mean_score,low_energy_rate,hard_failure_rate,floor_ceiling_rate,no_viable_rate,wrong_wall_rate,mean_v0,lo,so
r11_l0_dry_air_fixed,v0_4_0_to_5_0_m_s,20.0,0.0,0.0,0.0,-16.0,0.6,0.0,0.0,0.4,0.0,4.714661646732928,0,0
r11_l0_dry_air_fixed,v0_5_0_to_6_0_m_s,16.0,0.0,0.0,0.0,-85.0,0.0,0.75,0.75,0.25,0.0,5.334015872950229,0,1
r11_l0_dry_air_fixed,v0_6_0_to_7_0_m_s,12.0,0.6666666666666666,0.6666666666666666,1.0,62.718758778423954,0.0,0.0,0.0,0.0,0.3333333333333333,6.357060144223923,0,2
r11_l0_dry_air_fixed,v0_ge_7_0_m_s,32.0,0.75,0.75,0.75,72.5,0.0,0.125,0.125,0.125,0.0,7.655507831886098,0,3
r11_l1_single_fan_fixed_nominal,v0_4_0_to_5_0_m_s,20.0,0.2,0.2,0.2,11.852397161634462,0.4,0.0,0.0,0.4,0.0,4.714661646732928,1,0
r11_l1_single_fan_fixed_nominal,v0_5_0_to_6_0_m_s,16.0,0.25,0.25,0.25,-41.80999409601001,0.0,0.75,0.75,0.0,0.0,5.334015872950229,1,1
r11_l1_single_fan_fixed_nominal,v0_6_0_to_7_0_m_s,12.0,1.0,1.0,1.0,125.4323029749346,0.0,0.0,0.0,0.0,0.0,6.357060144223923,1,2
r11_l1_single_fan_fixed_nominal,v0_ge_7_0_m_s,32.0,0.75,0.75,0.875,76.77176236664853,0.0,0.125,0.125,0.0,0.125,7.655507831886098,1,3
r11_l2_four_fan_fixed_nominal,v0_4_0_to_5_0_m_s,20.0,0.8,0.8,0.8,118.16591055707525,0.2,0.0,0.0,0.0,0.0,4.714661646732928,2,0
r11_l2_four_fan_fixed_nominal,v0_5_0_to_6_0_m_s,16.0,0.75,0.75,1.0,92.76162145169313,0.0,0.0,0.0,0.0,0.25,5.334015872950229,2,1
r11_l2_four_fan_fixed_nominal,v0_6_0_to_7_0_m_s,12.0,0.6666666666666666,0.6666666666666666,1.0,77.89905688437638,0.0,0.0,0.0,0.0,0.3333333333333333,6.357060144223923,2,2
r11_l2_four_fan_fixed_nominal,v0_ge_7_0_m_s,32.0,1.0,1.0,1.0,137.4831544153027,0.0,0.0,0.0,0.0,0.0,7.655507831886099,2,3
r11_l3_fan_parameter_uncertainty,v0_4_0_to_5_0_m_s,20.0,0.6,0.6,0.6,95.0164769660205,0.4,0.0,0.0,0.0,0.0,4.714661646732928,3,0
r11_l3_fan_parameter_uncertainty,v0_5_0_to_6_0_m_s,16.0,0.5,0.5,0.75,31.71365499928282,0.0,0.25,0.25,0.0,0.25,5.334015872950229,3,1
r11_l3_fan_parameter_uncertainty,v0_6_0_to_7_0_m_s,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,65.16617804722803,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,6.357060144223923,3,2
r11_l3_fan_parameter_uncertainty,v0_ge_7_0_m_s,32.0,1.0,1.0,1.0,137.609102510514,0.0,0.0,0.0,0.0,0.0,7.655507831886098,3,3
r11_l4_local_fan_position_uncertainty,v0_4_0_to_5_0_m_s,20.0,0.6,0.6,0.6,90.01851541154981,0.4,0.0,0.0,0.0,0.0,4.714661646732928,4,0
r11_l4_local_fan_position_uncertainty,v0_5_0_to_6_0_m_s,16.0,0.25,0.25,0.5,-16.28303452975342,0.0,0.25,0.0,0.25,0.5,5.334015872950229,4,1
r11_l4_local_fan_position_uncertainty,v0_6_0_to_7_0_m_s,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,66.14429798785778,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,6.357060144223923,4,2
r11_l4_local_fan_position_uncertainty,v0_ge_7_0_m_s,32.0,1.0,1.0,1.0,138.07830714008605,0.0,0.0,0.0,0.0,0.0,7.655507831886098,4,3
r11_l5_active_fan_count_uncertainty,v0_4_0_to_5_0_m_s,20.0,0.4,0.4,0.4,46.35027829367025,0.4,0.0,0.0,0.2,0.0,4.714661646732928,5,0
r11_l5_active_fan_count_uncertainty,v0_5_0_to_6_0_m_s,16.0,0.25,0.25,0.5,-30.982046565771576,0.0,0.5,0.5,0.0,0.25,5.334015872950229,5,1
r11_l5_active_fan_count_uncertainty,v0_6_0_to_7_0_m_s,12.0,0.6666666666666666,0.6666666666666666,1.0,62.86718750004936,0.0,0.0,0.0,0.0,0.3333333333333333,6.357060144223923,5,2
r11_l5_active_fan_count_uncertainty,v0_ge_7_0_m_s,32.0,1.0,1.0,1.0,131.21747597205993,0.0,0.0,0.0,0.0,0.0,7.655507831886099,5,3
r11_l6_environment_only_full_uncertainty,v0_4_0_to_5_0_m_s,20.0,0.0,0.0,0.0,-8.0,0.8,0.0,0.0,0.2,0.0,4.714661646732928,6,0
r11_l6_environment_only_full_uncertainty,v0_5_0_to_6_0_m_s,16.0,0.25,0.25,0.5,-32.86961220896215,0.0,0.5,0.5,0.0,0.25,5.334015872950229,6,1
r11_l6_environment_only_full_uncertainty,v0_6_0_to_7_0_m_s,12.0,0.6666666666666666,0.6666666666666666,1.0,66.159255375143,0.0,0.0,0.0,0.0,0.3333333333333333,6.357060144223923,6,2
r11_l6_environment_only_full_uncertainty,v0_ge_7_0_m_s,32.0,1.0,1.0,1.0,132.67410314711088,0.0,0.0,0.0,0.0,0.0,7.655507831886098,6,3
