ix,iy,x_w_m,y_w_m,W_layer,environment_mode,seed,w_wing_mean_m_s
0,0,1.875,0.55,W1,gaussian_single,2139000,-0.011346464985826444
0,0,1.875,0.55,W1,gaussian_four,2139001,0.2539390400288118
0,0,1.875,0.55,W2,annular_gp_single,2139002,-0.00011210824005733858
0,0,1.875,0.55,W2,annular_gp_four,2139003,0.22306166463075894
0,0,1.875,0.55,W3,w3_randomised_single,2139004,0.0001270407608239084
0,0,1.875,0.55,W3,w3_randomised_four,2139005,0.16728400396116727
0,1,1.875,1.6500000000000001,W1,gaussian_single,2139017,-0.011252222762757856
0,1,1.875,1.6500000000000001,W1,gaussian_four,2139018,0.3020206175944157
0,1,1.875,1.6500000000000001,W2,annular_gp_single,2139019,0.0002337369448574367
0,1,1.875,1.6500000000000001,W2,annular_gp_four,2139020,0.09371848147426923
0,1,1.875,1.6500000000000001,W3,w3_randomised_single,2139021,0.00020603046567561943
0,1,1.875,1.6500000000000001,W3,w3_randomised_four,2139022,0.1284411400582827
0,2,1.875,2.75,W1,gaussian_single,2139034,-0.01116800525010042
0,2,1.875,2.75,W1,gaussian_four,2139035,0.2330671583739767
0,2,1.875,2.75,W2,annular_gp_single,2139036,0.00014176855562174213
0,2,1.875,2.75,W2,annular_gp_four,2139037,-0.010538743270654018
0,2,1.875,2.75,W3,w3_randomised_single,2139038,-0.002416733243426973
0,2,1.875,2.75,W3,w3_randomised_four,2139039,0.035325252410912444
0,3,1.875,3.85,W1,gaussian_single,2139051,-0.01133784762781046
0,3,1.875,3.85,W1,gaussian_four,2139052,0.3704655130787619
0,3,1.875,3.85,W2,annular_gp_single,2139053,4.900758859244215e-05
0,3,1.875,3.85,W2,annular_gp_four,2139054,0.030412154488468415
0,3,1.875,3.85,W3,w3_randomised_single,2139055,-6.24479311223947e-05
0,3,1.875,3.85,W3,w3_randomised_four,2139056,0.5172451851579053
1,0,3.2249999999999996,0.55,W1,gaussian_single,2139101,-0.007936575216824966
