policy_id,governor_mode,rejection_reason,governor_rejection_count
context_only_without_memory,continuation_mode,context_wall_margin_low,128
context_only_without_memory,continuation_mode,entry_role_incompatible_start_family,2620
context_only_without_memory,terminal_episode_mode,context_wall_margin_low,128
context_only_without_memory,terminal_episode_mode,entry_role_incompatible_start_family,800
context_plus_memory_lambda_0_5,continuation_mode,context_wall_margin_low,128
context_plus_memory_lambda_0_5,continuation_mode,entry_role_incompatible_start_family,2620
context_plus_memory_lambda_0_5,terminal_episode_mode,context_wall_margin_low,128
context_plus_memory_lambda_0_5,terminal_episode_mode,entry_role_incompatible_start_family,800
context_plus_memory_lambda_0_8,continuation_mode,context_wall_margin_low,128
context_plus_memory_lambda_0_8,continuation_mode,entry_role_incompatible_start_family,2620
context_plus_memory_lambda_0_8,terminal_episode_mode,context_wall_margin_low,128
context_plus_memory_lambda_0_8,terminal_episode_mode,entry_role_incompatible_start_family,800
context_plus_memory_lambda_0_95,continuation_mode,context_wall_margin_low,128
context_plus_memory_lambda_0_95,continuation_mode,entry_role_incompatible_start_family,2620
context_plus_memory_lambda_0_95,terminal_episode_mode,context_wall_margin_low,128
context_plus_memory_lambda_0_95,terminal_episode_mode,entry_role_incompatible_start_family,800
no_memory_baseline,continuation_mode,context_wall_margin_low,128
no_memory_baseline,continuation_mode,entry_role_incompatible_start_family,2620
no_memory_baseline,terminal_episode_mode,context_wall_margin_low,128
no_memory_baseline,terminal_episode_mode,entry_role_incompatible_start_family,800
static_map_baseline,continuation_mode,context_wall_margin_low,128
static_map_baseline,continuation_mode,entry_role_incompatible_start_family,2620
static_map_baseline,terminal_episode_mode,context_wall_margin_low,128
static_map_baseline,terminal_episode_mode,entry_role_incompatible_start_family,800
