primitive_id,W_layer,row_count,mean_energy_residual_m,mean_lift_dwell_time_s,min_wall_margin_m,max_saturation_fraction
energy_retaining_bank,W0,800,-0.5599441049539867,0.0,-0.122785124642446,0.0
energy_retaining_bank,W1,800,-0.32815581318885906,0.3212000000000001,-0.1253436681611601,0.0
glide,W0,800,-0.5055806438612374,0.0,-0.1140554475066943,0.0
glide,W1,800,-0.29768751009730726,0.2991000000000001,-0.1379934572230645,0.0
lift_dwell_arc,W0,800,-0.6064393956463202,0.0,-0.1183056424107285,0.0
lift_dwell_arc,W1,800,-0.3583235345137316,0.33642500000000014,-0.1200585795606139,0.0
lift_entry,W0,800,-0.584283501350471,0.0,-0.1125012830016327,0.0
lift_entry,W1,800,-0.3225625414288394,0.3194000000000001,-0.1125426757417509,0.0
mild_turn_left,W0,800,-0.5104214064039959,0.0,-0.1197399404094179,0.0
mild_turn_left,W1,800,-0.2813903676610486,0.3063750000000001,-0.1256614333505297,0.0
mild_turn_right,W0,800,-0.5143980438963193,0.0,-0.1192745330674442,0.0
mild_turn_right,W1,800,-0.2899095461300219,0.3058750000000001,-0.1168208523546638,0.0
recovery,W0,800,-0.3774446826710399,0.0,-0.1071512892675885,0.0
recovery,W1,800,-0.19370036307423263,0.26470000000000005,-0.1211800020953211,0.0
safe_exit_or_recovery_handoff,W0,800,-0.3186384823829085,0.0,-0.1107275062103783,0.0
safe_exit_or_recovery_handoff,W1,800,-0.14844405329310276,0.24575000000000002,-0.1152641499489517,0.0
