path,relative_path,byte_count,size_mb,filename_stem_length,relative_path_length,stem_under_64,path_under_140,above_75mb,above_100mb,under_100mb,push_allowed
chunk_manifests/lqr_tuning_rows/c00000.json,chunk_manifests/lqr_tuning_rows/c00000.json,4889,0.004662513732910156,6,43,True,True,False,False,True,True
chunk_manifests/lqr_tuning_rows/c00001.json,chunk_manifests/lqr_tuning_rows/c00001.json,4892,0.004665374755859375,6,43,True,True,False,False,True,True
chunk_manifests/lqr_tuning_rows/c00002.json,chunk_manifests/lqr_tuning_rows/c00002.json,4892,0.004665374755859375,6,43,True,True,False,False,True,True
chunk_manifests/lqr_tuning_rows/c00003.json,chunk_manifests/lqr_tuning_rows/c00003.json,4892,0.004665374755859375,6,43,True,True,False,False,True,True
chunk_manifests/lqr_tuning_rows/c00004.json,chunk_manifests/lqr_tuning_rows/c00004.json,4892,0.004665374755859375,6,43,True,True,False,False,True,True
chunk_manifests/lqr_tuning_rows/c00005.json,chunk_manifests/lqr_tuning_rows/c00005.json,4892,0.004665374755859375,6,43,True,True,False,False,True,True
chunk_manifests/lqr_tuning_rows/c00006.json,chunk_manifests/lqr_tuning_rows/c00006.json,4892,0.004665374755859375,6,43,True,True,False,False,True,True
chunk_manifests/lqr_tuning_rows/c00007.json,chunk_manifests/lqr_tuning_rows/c00007.json,4892,0.004665374755859375,6,43,True,True,False,False,True,True
chunk_manifests/lqr_tuning_rows/c00008.json,chunk_manifests/lqr_tuning_rows/c00008.json,4892,0.004665374755859375,6,43,True,True,False,False,True,True
chunk_manifests/lqr_tuning_rows/c00009.json,chunk_manifests/lqr_tuning_rows/c00009.json,4892,0.004665374755859375,6,43,True,True,False,False,True,True
chunk_manifests/lqr_tuning_rows/c00010.json,chunk_manifests/lqr_tuning_rows/c00010.json,4894,0.0046672821044921875,6,43,True,True,False,False,True,True
chunk_manifests/lqr_tuning_rows/c00011.json,chunk_manifests/lqr_tuning_rows/c00011.json,4894,0.0046672821044921875,6,43,True,True,False,False,True,True
chunk_manifests/lqr_tuning_rows/c00012.json,chunk_manifests/lqr_tuning_rows/c00012.json,4893,0.004666328430175781,6,43,True,True,False,False,True,True
manifests/run_manifest.json,manifests/run_manifest.json,2154,0.0020542144775390625,12,27,True,True,False,False,True,True
manifests/selected_lqr_controllers.json,manifests/selected_lqr_controllers.json,494203,0.47130870819091797,24,39,True,True,False,False,True,True
manifests/table_manifest.json,manifests/table_manifest.json,67637,0.06450366973876953,14,29,True,True,False,False,True,True
metrics/chunk_summary.csv,metrics/chunk_summary.csv,1623,0.0015478134155273438,13,25,True,True,False,False,True,True
metrics/coverage_summary.csv,metrics/coverage_summary.csv,650337,0.6202096939086914,16,28,True,True,False,False,True,True
metrics/file_size_audit.csv,metrics/file_size_audit.csv,5235,0.004992485046386719,15,27,True,True,False,False,True,True
metrics/lqr_synthesis_audit.csv,metrics/lqr_synthesis_audit.csv,26316,0.025096893310546875,19,31,True,True,False,False,True,True
metrics/objective_term_summary.csv,metrics/objective_term_summary.csv,1389,0.0013246536254882812,22,34,True,True,False,False,True,True
metrics/qr_candidate_rankings.csv,metrics/qr_candidate_rankings.csv,77168,0.0735931396484375,21,33,True,True,False,False,True,True
metrics/runtime_summary.csv,metrics/runtime_summary.csv,452,0.000431060791015625,15,27,True,True,False,False,True,True
metrics/selected_lqr_controllers.csv,metrics/selected_lqr_controllers.csv,308001,0.2937326431274414,24,36,True,True,False,False,True,True
reports/claim_boundary_report.md,reports/claim_boundary_report.md,95,9.059906005859375e-05,21,32,True,True,False,False,True,True
tables/lqr_tuning_rows/c00000.csv.gz,tables/lqr_tuning_rows/c00000.csv.gz,634429,0.6050386428833008,10,36,True,True,False,False,True,True
tables/lqr_tuning_rows/c00001.csv.gz,tables/lqr_tuning_rows/c00001.csv.gz,634229,0.6048479080200195,10,36,True,True,False,False,True,True
tables/lqr_tuning_rows/c00002.csv.gz,tables/lqr_tuning_rows/c00002.csv.gz,635986,0.6065235137939453,10,36,True,True,False,False,True,True
tables/lqr_tuning_rows/c00003.csv.gz,tables/lqr_tuning_rows/c00003.csv.gz,635056,0.6056365966796875,10,36,True,True,False,False,True,True
tables/lqr_tuning_rows/c00004.csv.gz,tables/lqr_tuning_rows/c00004.csv.gz,636104,0.6066360473632812,10,36,True,True,False,False,True,True
tables/lqr_tuning_rows/c00005.csv.gz,tables/lqr_tuning_rows/c00005.csv.gz,635539,0.6060972213745117,10,36,True,True,False,False,True,True
tables/lqr_tuning_rows/c00006.csv.gz,tables/lqr_tuning_rows/c00006.csv.gz,634418,0.6050281524658203,10,36,True,True,False,False,True,True
tables/lqr_tuning_rows/c00007.csv.gz,tables/lqr_tuning_rows/c00007.csv.gz,635472,0.6060333251953125,10,36,True,True,False,False,True,True
tables/lqr_tuning_rows/c00008.csv.gz,tables/lqr_tuning_rows/c00008.csv.gz,635416,0.6059799194335938,10,36,True,True,False,False,True,True
tables/lqr_tuning_rows/c00009.csv.gz,tables/lqr_tuning_rows/c00009.csv.gz,636773,0.607274055480957,10,36,True,True,False,False,True,True
tables/lqr_tuning_rows/c00010.csv.gz,tables/lqr_tuning_rows/c00010.csv.gz,635464,0.6060256958007812,10,36,True,True,False,False,True,True
tables/lqr_tuning_rows/c00011.csv.gz,tables/lqr_tuning_rows/c00011.csv.gz,634995,0.6055784225463867,10,36,True,True,False,False,True,True
tables/lqr_tuning_rows/c00012.csv.gz,tables/lqr_tuning_rows/c00012.csv.gz,509719,0.48610591888427734,10,36,True,True,False,False,True,True
