library_size_case_id,policy_id,launch_role,first_decision_candidate_rows,first_decision_viable_rows
balanced_cluster,no_memory_baseline,final_heldout,23,23
balanced_cluster,spatial_flow_belief_memory_h10,final_heldout,23,23
balanced_cluster,spatial_flow_belief_memory_h3,final_heldout,23,23
balanced_cluster,spatial_flow_belief_memory_h30,final_heldout,23,23
heavy_cluster,no_memory_baseline,final_heldout,20,20
heavy_cluster,spatial_flow_belief_memory_h10,final_heldout,20,20
heavy_cluster,spatial_flow_belief_memory_h3,final_heldout,20,20
heavy_cluster,spatial_flow_belief_memory_h30,final_heldout,20,20
light_cluster,no_memory_baseline,final_heldout,42,42
light_cluster,spatial_flow_belief_memory_h10,final_heldout,42,42
light_cluster,spatial_flow_belief_memory_h3,final_heldout,42,42
light_cluster,spatial_flow_belief_memory_h30,final_heldout,42,42
no_cluster_no_merge,no_memory_baseline,final_heldout,144,144
no_cluster_no_merge,spatial_flow_belief_memory_h10,final_heldout,144,144
no_cluster_no_merge,spatial_flow_belief_memory_h3,final_heldout,144,144
no_cluster_no_merge,spatial_flow_belief_memory_h30,final_heldout,144,144
super_light_cluster,no_memory_baseline,final_heldout,83,83
super_light_cluster,spatial_flow_belief_memory_h10,final_heldout,83,83
super_light_cluster,spatial_flow_belief_memory_h3,final_heldout,83,83
super_light_cluster,spatial_flow_belief_memory_h30,final_heldout,83,83
