audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,2144,1608,53,1,52,1.3469174001612212e-07,0.0001290381684074,3.251718716300645e-07,38.492326110450406,18,0.030514875503299118,0.7983141592952496,2.531278205561431e-06,235,1.0826467334155046e-06,outer_loop_spatial_flow_belief_safe_explore_exploit_memory_v2_2,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",107,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8207058280888666,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_explore_exploit_memory_v2_2,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",110,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.785240977022396,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_explore_exploit_memory_v2_2,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:light_cluster",106,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8329770178189193,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_explore_exploit_memory_v2_2,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",107,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8384280411951694,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_explore_exploit_memory_v2_2,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",106,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.83427310036732,0.0,0,0.0,outer_loop_spatial_flow_belief_safe_explore_exploit_memory_v2_2,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:balanced_cluster",107,107,1,0,1,-4.521823623721265e-07,0.0,6.54205607476771e-07,-0.006459748033886184,0,0.03554433869295057,0.7917416399634272,2.2464290030859942e-06,13,5.856645975450467e-06,outer_loop_spatial_flow_belief_safe_explore_exploit_memory_v2_2,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:heavy_cluster",110,110,2,0,2,2.2254159563203422e-07,2.4479575524642152e-05,0.0,222.54159563203422,1,0.03870815209801838,0.755307522979129,2.2855608242418977e-06,18,5.166997741748699e-07,outer_loop_spatial_flow_belief_safe_explore_exploit_memory_v2_2,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:light_cluster",106,106,6,0,6,1.6036860223228885e-10,1.6074462057052378e-08,0.0,0.16036860223228883,1,0.03569025441594586,0.8034660871646678,6.065224129037324e-06,10,1.8240874261788307e-09,outer_loop_spatial_flow_belief_safe_explore_exploit_memory_v2_2,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:no_cluster_no_merge",107,107,6,0,6,-6.489989438964913e-07,1.182566720619585e-09,2.534219061703395e-08,-0.21643480650609367,1,0.035958112887079216,0.8083896043793313,9.376501109204692e-06,14,4.836368002550306e-07,outer_loop_spatial_flow_belief_safe_explore_exploit_memory_v2_2,profiled
