comparison_type,library_size_case_id,environment_block_id,outer_case_index,common_final_launch_key,policy_id,baseline_policy_id,history_length,launch_score,baseline_launch_score,paired_delta_launch_score,mission_success_delta,front_wall_terminal_success_delta,wrong_wall_exit_delta,safe_success_delta,hard_failure_delta,floor_or_ceiling_violation_delta,no_viable_primitive_delta,net_specific_energy_delta_m_delta,positive_specific_energy_gain_m_delta,updraft_specific_energy_gain_proxy_m_delta,terminal_specific_energy_m_delta,terminal_specific_energy_bonus_delta,gross_specific_energy_loss_m_delta,episode_flight_time_s_delta,memory_changed_selection,exploration_changed_selection,safety_regression,claim_status
memory_vs_no_memory,heavy_cluster,r10_l7_full_domain_randomisation_arena_wide_training,0,r10_reduced_diagnostic_final_0000,spatial_flow_belief_memory_h3,no_memory_baseline,3,120.0,120.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,heavy_cluster,r10_l7_full_domain_randomisation_arena_wide_training,5,r10_reduced_diagnostic_final_0005,spatial_flow_belief_memory_h3,no_memory_baseline,3,120.0,120.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,heavy_cluster,r10_l7_full_domain_randomisation_arena_wide_training,1,r10_reduced_diagnostic_final_0001,spatial_flow_belief_memory_h3,no_memory_baseline,3,126.90116476342857,126.90116476342857,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,heavy_cluster,r10_l7_full_domain_randomisation_arena_wide_training,3,r10_reduced_diagnostic_final_0003,spatial_flow_belief_memory_h3,no_memory_baseline,3,120.84442776435671,120.84442776435671,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,heavy_cluster,r10_l7_full_domain_randomisation_arena_wide_training,4,r10_reduced_diagnostic_final_0004,spatial_flow_belief_memory_h3,no_memory_baseline,3,128.92842443078592,128.92842443078592,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,heavy_cluster,r10_l7_full_domain_randomisation_arena_wide_training,7,r10_reduced_diagnostic_final_0007,spatial_flow_belief_memory_h3,no_memory_baseline,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,heavy_cluster,r10_l7_full_domain_randomisation_arena_wide_training,0,r10_reduced_diagnostic_final_0000,spatial_flow_belief_memory_h10,no_memory_baseline,10,120.0,120.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,heavy_cluster,r10_l7_full_domain_randomisation_arena_wide_training,6,r10_reduced_diagnostic_final_0006,spatial_flow_belief_memory_h3,no_memory_baseline,3,118.31724868005777,118.31724868005777,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,heavy_cluster,r10_l7_full_domain_randomisation_arena_wide_training,8,r10_reduced_diagnostic_final_0008,spatial_flow_belief_memory_h3,no_memory_baseline,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
memory_vs_no_memory,heavy_cluster,r10_l7_full_domain_randomisation_arena_wide_training,2,r10_reduced_diagnostic_final_0002,spatial_flow_belief_memory_h3,no_memory_baseline,3,139.44139935282016,139.44139935282016,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,simulation_only_paired_launch_score_audit
