parameter,old_value,new_value,reason,stage_id
maximum_hard_failure_risk,0.75,0.65,hard_failure_rate_above_stage_profile_tighten_admission,R10
hard_failure_weight,-0.8,-1.0,hard_failure_rate_above_stage_profile_penalise_risk_more,R10
terminal_hard_failure_weight,-0.75,-0.9375,hard_failure_rate_above_stage_profile_penalise_terminal_risk_more,R10
exploration_bonus_weight,0.02,0.01,hard_failure_rate_above_stage_profile_reduce_exploration_bonus,R10
memory_switch_min_confidence,0.45,0.5,hard_failure_rate_above_stage_profile_require_stronger_memory_confidence,R10
memory_switch_min_score_margin,0.005,0.0075,hard_failure_rate_above_stage_profile_require_stronger_memory_score_margin,R10
memory_switch_max_base_score_drop,0.03,0.0225,hard_failure_rate_above_stage_profile_tighten_baseline_non_regression,R10
memory_switch_max_transition_success_drop,0.02,0.01,hard_failure_rate_above_stage_profile_tighten_transition_non_regression,R10
exploration_switch_min_uncertainty,0.55,0.6000000000000001,hard_failure_rate_above_stage_profile_make_exploration_more_selective,R10
exploration_switch_max_base_score_drop,0.01,0.005,hard_failure_rate_above_stage_profile_reduce_exploration_base_score_drop,R10
adaptive_switch_max_path_exit_margin_drop_m,0.05,0.037500000000000006,hard_failure_rate_above_stage_profile_tighten_path_exit_margin_shield,R10
candidate_path_memory_residual_cap_m,0.75,0.6375,hard_failure_rate_above_stage_profile_cap_memory_residual_effect,R10
candidate_path_memory_specific_energy_residual_cap_m,1.0,0.85,hard_failure_rate_above_stage_profile_cap_specific_energy_residual_effect,R10
flow_region_attraction_weight,0.45,0.36000000000000004,hard_failure_rate_above_stage_profile_reduce_reachable_flow_attraction_weight,R10
flow_region_attraction_score_cap,0.06,0.051,hard_failure_rate_above_stage_profile_cap_reachable_flow_attraction_score,R10
flow_region_attraction_min_confidence,0.35,0.39999999999999997,hard_failure_rate_above_stage_profile_require_stronger_reachable_flow_confidence,R10
flow_region_attraction_max_base_score_drop,0.09,0.0675,hard_failure_rate_above_stage_profile_tighten_reachable_flow_base_score_drop,R10
updraft_gain_weight,0.04,0.05,terminal_or_lift_capture_below_stage_profile_increase_updraft_gain_preference,R10
terminal_updraft_gain_weight,0.05,0.060000000000000005,terminal_or_lift_capture_below_stage_profile_increase_terminal_updraft_gain_preference,R10
lift_dwell_weight,0.03,0.034999999999999996,terminal_or_lift_capture_below_stage_profile_increase_lift_dwell_preference,R10
candidate_path_memory_utility_updraft_weight,0.25,0.3,terminal_or_lift_capture_below_stage_profile_make_memory_more_lift_aware,R10
candidate_path_memory_utility_specific_energy_weight,0.75,0.7,terminal_or_lift_capture_below_stage_profile_keep_memory_specific_energy_dominant,R10
mission_wrong_boundary_penalty_weight,0.35,0.39999999999999997,mission_success_low_with_wrong_wall_exits_increase_wrong_boundary_penalty,R10
