trajectory_id,trajectory_generation_method,optimizer_status,optimizer_message,optimizer_success,optimizer_iterations,optimizer_wall_time_s,objective_cost,heading_cost,speed_loss_cost,height_loss_cost,saturation_cost,safety_status,layout_branch_id,fan_layout,test_environment_mode,updraft_model_id,sample_id,family,target_heading_deg,direction_sign,reference_horizon_s,terminal_heading_target_deg,achieved_heading_deg,terminal_heading_error_deg,terminal_speed_m_s,height_loss_m,minimum_safety_margin_m,actuator_saturation_fraction,open_loop_success_flag,failure_label,aggressive_turn_speed_height_loss_recoverable,controller_config_id,tvlqr_status,agile_evidence_class,closed_loop_success_flag,closed_loop_failure_label,closed_loop_tracking_error_rms,closed_loop_achieved_heading_deg,closed_loop_terminal_heading_error_deg,closed_loop_minimum_safety_margin_m,latency_case,latency_pass_label,seconds_per_reference
d2_ref_single_fan_branch_W0_single_fan_branch_bank_yaw_energy_retaining_045_dm1_0166,slsqp_direct_shooting_reference,failed,Iteration limit reached,False,12,19.500479299982544,4697.004178218005,4696.982241081108,0.0,0.021937136896386614,0.0,failed_hard_safety,single_fan_branch,single_fan,W0_single_fan_branch,no_updraft_dry_air,s015_single_fan_pilot_076496,bank_yaw_energy_retaining,45.0,-1,0.58,45.0,-23.534533201015595,68.53453320101559,7.23572772257048,1.5047309335783525,-0.0015576552900861684,0.0,False,true_safety_violation,False,d2_ref_single_fan_branch_W0_single_fan_branch_bank_yaw_energy_retaining_045_dm1_0166_tvlqr_synthesised,tvlqr_synthesised,trajectory_optimised_tvlqr_nominal_latency,False,true_safety_violation,1.8636789753363132,-1.02405031879829,46.02405031879829,-0.07251904167993939,nominal,nominal_fail,20.705518000002485
d2_ref_single_fan_branch_W0_single_fan_branch_bank_yaw_energy_retaining_045_dp1_0167,slsqp_direct_shooting_reference,failed,Positive directional derivative for linesearch,False,5,1.2654127000132576,1175.9075912047306,1175.9075912047306,0.0,0.0,0.0,failed_hard_safety,single_fan_branch,single_fan,W0_single_fan_branch,no_updraft_dry_air,s015_single_fan_pilot_077967,bank_yaw_energy_retaining,45.0,1,0.64,45.0,10.708490975100988,34.291509024899014,6.771911207051409,0.490953173108408,-0.0849738393933892,0.0,False,true_safety_violation,True,d2_ref_single_fan_branch_W0_single_fan_branch_bank_yaw_energy_retaining_045_dp1_0167_tvlqr_synthesised,tvlqr_synthesised,trajectory_optimised_tvlqr_nominal_latency,False,true_safety_violation,0.9538912045810515,11.781369889591359,33.21863011040864,-0.07489289659719756,nominal,nominal_fail,2.741407599998638
d2_ref_four_fan_branch_W1_four_fan_canyon_steep_bank_015_dm1_0168,slsqp_direct_shooting_reference,failed,Positive directional derivative for linesearch,False,10,15.009283999970648,35.877564695988184,35.877564695988184,0.0,0.0,0.0,failed_hard_safety,four_fan_branch,four_fan,W1_four_fan,four_gaussian_var,s015_four_fan_pilot_123568,canyon_steep_bank,15.0,-1,0.58,15.0,9.010211631786296,5.989788368213704,6.9092526326043275,0.2712487127361245,-0.0016926523529461335,0.0,False,true_safety_violation,True,d2_ref_four_fan_branch_W1_four_fan_canyon_steep_bank_015_dm1_0168_tvlqr_synthesised,tvlqr_synthesised,trajectory_optimised_tvlqr_nominal_latency,False,true_safety_violation,0.873509017807126,10.785642434011857,4.214357565988143,-0.002510946715128526,nominal,nominal_fail,17.147399299952667
d2_ref_four_fan_branch_W0_four_fan_branch_canyon_steep_bank_015_dp1_0169,slsqp_direct_shooting_reference,failed,Iteration limit reached,False,12,15.316713300009724,258.9441460993507,257.31916838017094,1.6249777191797359,0.0,0.0,failed_hard_safety,four_fan_branch,four_fan,W0_four_fan_branch,no_updraft_dry_air,s015_four_fan_pilot_125039,canyon_steep_bank,15.0,1,0.56,15.0,31.041171041422473,16.041171041422473,2.862626930444238,0.0,-0.0002344849279296568,0.0,False,true_safety_violation,False,d2_ref_four_fan_branch_W0_four_fan_branch_canyon_steep_bank_015_dp1_0169_tvlqr_synthesised,tvlqr_synthesised,trajectory_optimised_tvlqr_nominal_latency,False,true_safety_violation,0.7688787684015863,42.8453408075261,27.8453408075261,-0.04358578873509078,nominal,nominal_fail,16.4690879000118
d2_ref_single_fan_branch_W1_single_fan_canyon_steep_bank_015_dm1_0170,slsqp_direct_shooting_reference,failed,Iteration limit reached,False,12,18.537533000053372,17402.014916921686,17402.014916921686,0.0,0.0,0.0,failed_hard_safety,single_fan_branch,single_fan,W1_single_fan,single_gaussian_var,s015_single_fan_pilot_023540,canyon_steep_bank,15.0,-1,0.58,15.0,146.91669688451756,131.91669688451756,5.43916976810331,1.0764586677944403,-0.010837053365739924,0.0,False,true_safety_violation,True,d2_ref_single_fan_branch_W1_single_fan_canyon_steep_bank_015_dm1_0170_tvlqr_synthesised,tvlqr_synthesised,trajectory_optimised_tvlqr_nominal_latency,False,true_safety_violation,1.8375008586406762,172.213971816886,157.213971816886,-0.1061598251069773,nominal,nominal_fail,20.144302500062622
d2_ref_single_fan_branch_W0_single_fan_branch_canyon_steep_bank_015_dp1_0171,slsqp_direct_shooting_reference,optimizer_converged_reference_failed_acceptance,Optimization terminated successfully,True,8,7.600695299974177,443.8261507565158,442.6589055768956,1.1672451796202046,0.0,0.0,failed_hard_safety,single_fan_branch,single_fan,W0_single_fan_branch,no_updraft_dry_air,s015_single_fan_pilot_025011,canyon_steep_bank,15.0,1,0.8200000000000001,15.0,-6.039460676949293,21.039460676949293,2.959804391997629,0.0,-0.00012476965684093955,0.0,False,true_safety_violation,False,d2_ref_single_fan_branch_W0_single_fan_branch_canyon_steep_bank_015_dp1_0171_tvlqr_synthesised,tvlqr_synthesised,trajectory_optimised_tvlqr_nominal_latency,False,true_safety_violation,0.5712242721733598,-8.292617292243609,23.29261729224361,-0.008356355463464915,nominal,nominal_fail,9.318691799941007
d2_ref_four_fan_branch_W1_four_fan_canyon_steep_bank_030_dm1_0172,slsqp_direct_shooting_reference,optimizer_converged_reference_failed_acceptance,Optimization terminated successfully,True,10,11.785599099996034,335.99953023892954,335.99953023892954,0.0,0.0,0.0,failed_hard_safety,four_fan_branch,four_fan,W1_four_fan,four_gaussian_var,s015_four_fan_pilot_126510,canyon_steep_bank,30.0,-1,0.48,30.0,11.669710033964831,18.330289966035167,6.440553303741296,0.0,-0.00031909322749612556,0.0,False,true_safety_violation,True,d2_ref_four_fan_branch_W1_four_fan_canyon_steep_bank_030_dm1_0172_tvlqr_synthesised,tvlqr_synthesised,trajectory_optimised_tvlqr_nominal_latency,False,target_miss,1.299047766428817,10.283853811610072,19.716146188389928,0.00845047966802781,nominal,nominal_fail,13.587020199978724
d2_ref_four_fan_branch_W1_four_fan_canyon_steep_bank_030_dp1_0173,slsqp_direct_shooting_reference,failed,Positive directional derivative for linesearch,False,6,3.509538300044369,7475.129214115735,7475.129214115735,0.0,0.0,0.0,failed_hard_safety,four_fan_branch,four_fan,W1_four_fan,four_gaussian_var,s015_four_fan_pilot_127981,canyon_steep_bank,30.0,1,0.42,30.0,-56.45882959024912,86.45882959024911,5.3139830251896285,0.0,-0.003484393922925655,0.0,False,true_safety_violation,True,d2_ref_four_fan_branch_W1_four_fan_canyon_steep_bank_030_dp1_0173_tvlqr_synthesised,tvlqr_synthesised,trajectory_optimised_tvlqr_nominal_latency,False,target_miss,0.32735924720197274,-54.55971830544492,84.55971830544492,0.007772980569871635,nominal,nominal_fail,5.775487800012343
d2_ref_single_fan_branch_W1_single_fan_canyon_steep_bank_030_dm1_0174,slsqp_direct_shooting_reference,failed,Positive directional derivative for linesearch,False,5,2.279417200013995,615.910619187454,615.910619187454,0.0,0.0,0.0,failed_hard_safety,single_fan_branch,single_fan,W1_single_fan,single_gaussian_var,s015_single_fan_pilot_026482,canyon_steep_bank,30.0,-1,0.7000000000000001,30.0,5.182453401122545,24.817546598877456,5.551734891960171,0.0,-0.09915704951793014,0.0,False,true_safety_violation,True,d2_ref_single_fan_branch_W1_single_fan_canyon_steep_bank_030_dm1_0174_tvlqr_synthesised,tvlqr_synthesised,trajectory_optimised_tvlqr_nominal_latency,False,true_safety_violation,1.434111927857951,5.412113140078447,24.587886859921554,-0.07011169201231926,nominal,nominal_fail,4.707621500012465
d2_ref_single_fan_branch_W1_single_fan_canyon_steep_bank_030_dp1_0175,slsqp_direct_shooting_reference,failed,Positive directional derivative for linesearch,False,5,1.8343494000146165,630.1298935313533,630.1298935313533,0.0,0.0,0.0,failed_hard_safety,single_fan_branch,single_fan,W1_single_fan,single_gaussian_var,s015_single_fan_pilot_027953,canyon_steep_bank,30.0,1,0.5,30.0,4.897611796258243,25.102388203741757,6.604279394443355,0.0,-0.0036435681382824825,0.0,False,true_safety_violation,True,d2_ref_single_fan_branch_W1_single_fan_canyon_steep_bank_030_dp1_0175_tvlqr_synthesised,tvlqr_synthesised,trajectory_optimised_tvlqr_nominal_latency,False,true_safety_violation,0.3791352493681699,4.3334932050382236,25.666506794961776,-0.0024618910507454572,nominal,nominal_fail,3.655040900048334
