fan_branch,W_layer,evidence_role,outcome_class,row_count
four_fan_branch,W0,ablation_diagnostic,diagnostic_rollout_failed,44
four_fan_branch,W0,ablation_diagnostic,diagnostic_rollout_success,56
four_fan_branch,W0,blocked_partial,blocked_partial,28
four_fan_branch,W0,partial_feedback,accepted,1
four_fan_branch,W0,partial_feedback,failed,1
four_fan_branch,W0,partial_feedback,rejected,70
four_fan_branch,W1,ablation_diagnostic,diagnostic_rollout_failed,37
four_fan_branch,W1,ablation_diagnostic,diagnostic_rollout_success,63
four_fan_branch,W1,blocked_partial,blocked_partial,28
four_fan_branch,W1,partial_feedback,accepted,1
four_fan_branch,W1,partial_feedback,failed,1
four_fan_branch,W1,partial_feedback,rejected,70
single_fan_branch,W0,ablation_diagnostic,diagnostic_rollout_failed,44
single_fan_branch,W0,ablation_diagnostic,diagnostic_rollout_success,56
single_fan_branch,W0,blocked_partial,blocked_partial,42
single_fan_branch,W0,partial_feedback,failed,2
single_fan_branch,W0,partial_feedback,rejected,56
single_fan_branch,W1,ablation_diagnostic,diagnostic_rollout_failed,44
single_fan_branch,W1,ablation_diagnostic,diagnostic_rollout_success,56
single_fan_branch,W1,blocked_partial,blocked_partial,42
single_fan_branch,W1,partial_feedback,failed,2
single_fan_branch,W1,partial_feedback,rejected,56
