surface_axis,alpha_regime,candidate_id,candidate_scale,active_scale,fit_split,evidence_replay_count,positive_count,negative_count,primary_metric,primary_response_mae,same_surface_attitude_mae_deg,dx_mae_m,dy_mae_m,altitude_loss_mae_m,trajectory_mae_m,closeness_to_1p0,selection_rank,selected,fit_status,claim_boundary
aileron,normal,STG_aileron_normal_s0p4,0.4,0.65,all,4,4,0,peak_p_rad_s,0.8351884742,4.982201485,0.8143426644,0.5022600949,0.7827055207,0.6997694266,0.6,13,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,normal,STG_aileron_normal_s0p45,0.45,0.65,all,4,4,0,peak_p_rad_s,0.7752674748,7.545755295,0.807376574,0.5017750949,0.7870363727,0.6987293472,0.55,12,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,normal,STG_aileron_normal_s0p5,0.5,0.65,all,4,4,0,peak_p_rad_s,0.7146398676,10.46892401,0.799834232,0.5015587869,0.7925020506,0.6979650232,0.5,11,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,normal,STG_aileron_normal_s0p55,0.55,0.65,all,4,4,0,peak_p_rad_s,0.6538493041,13.3935208,0.7918008201,0.5016804097,0.7991803886,0.6975538728,0.45,10,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,normal,STG_aileron_normal_s0p6,0.6,0.65,all,4,4,0,peak_p_rad_s,0.5927775366,16.32460545,0.7833634999,0.5022135487,0.8071454372,0.6975741619,0.4,9,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,normal,STG_aileron_normal_s0p65,0.65,0.65,all,4,4,0,peak_p_rad_s,0.5312958557,19.26798041,0.7746065316,0.5032307906,0.816455516,0.6980976127,0.35,8,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,normal,STG_aileron_normal_s0p7,0.7,0.65,all,4,4,0,peak_p_rad_s,0.4693688058,22.22977225,0.7656058805,0.504791643,0.8271372388,0.6991782541,0.3,7,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,normal,STG_aileron_normal_s0p75,0.75,0.65,all,4,4,0,peak_p_rad_s,0.4068387111,25.21572722,0.7564252874,0.5069202965,0.8391701676,0.7008385838,0.25,6,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,normal,STG_aileron_normal_s0p8,0.8,0.65,all,4,4,0,peak_p_rad_s,0.3437638227,28.23053497,0.7471172525,0.5095698662,0.8524847615,0.7030572934,0.2,5,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,normal,STG_aileron_normal_s0p85,0.85,0.65,all,4,4,0,peak_p_rad_s,0.2746112063,31.27805961,0.7377309834,0.5125779343,0.8669913935,0.7057667704,0.15,4,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,normal,STG_aileron_normal_s0p9,0.9,0.65,all,4,4,0,peak_p_rad_s,0.2725950908,34.36351441,0.7283223257,0.5156375313,0.8826422401,0.7088673657,0.1,3,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,normal,STG_aileron_normal_s0p95,0.95,0.65,all,4,4,0,peak_p_rad_s,0.2699947762,37.4973471,0.7189533521,0.5183183912,0.8994863852,0.7122527095,0.05,2,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,normal,STG_aileron_normal_s1,1,0.65,all,4,4,0,peak_p_rad_s,0.2667959648,40.69874583,0.7096740405,0.5201464353,0.9176592196,0.7158265652,0,1,True,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,transition,STG_aileron_transition_s0p4,0.4,0.65,all,24,14,10,peak_p_rad_s,0.5828834112,11.40567007,0.3787243757,0.3367082161,0.2401872875,0.3185399598,0.6,1,True,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
aileron,transition,STG_aileron_transition_s0p45,0.45,0.65,all,24,14,10,peak_p_rad_s,0.5833876493,11.41170072,0.3788639598,0.3368650555,0.2400718566,0.3186002906,0.55,2,False,candidate_scored_all_available_data,stage-wise all-data surface-effectiveness replay candidate; diagnostic pending post-analysis
