coverage_axis,value,row_count
outcome_class,accepted,64460
outcome_class,weak,192340
failure_label,controlled_xy_boundary_terminal,46355
failure_label,model_boundary_only,145964
failure_label,success,64460
failure_label,xy_boundary_terminal,21
boundary_use_class,continuation_valid,210424
boundary_use_class,episode_terminal_useful,46376
environment_mode,dry_air,32100
environment_mode,w3_randomised_four,160500
environment_mode,w3_randomised_single,64200
start_state_family,inflight_boundary_near,84320
start_state_family,inflight_lift_region,42240
start_state_family,inflight_nominal,42240
start_state_family,inflight_recovery_edge,18880
start_state_family,launch_gate,69120
timing_state_source,history_backed_fifo,256800
source_evidence_label,,256800
r7_evidence_block_id,r7_anchor_dry_air,32100
r7_evidence_block_id,r7_anchor_four_fan_fixed,32100
r7_evidence_block_id,r7_anchor_single_fan_fixed,32100
r7_evidence_block_id,r7_random_active_fan_count,32100
r7_evidence_block_id,r7_random_arena_wide,32100
r7_evidence_block_id,r7_random_four_fan_parameter,32100
r7_evidence_block_id,r7_random_local_fan_position,32100
r7_evidence_block_id,r7_random_single_fan_local,32100
r7_uncertainty_tier,active_fan_count_uncertainty,32100
r7_uncertainty_tier,anchor_dry_air,32100
r7_uncertainty_tier,anchor_fixed_four_fan,32100
r7_uncertainty_tier,anchor_fixed_single_fan,32100
r7_uncertainty_tier,arena_wide_full_randomisation,32100
r7_uncertainty_tier,four_fan_parameter_uncertainty,32100
r7_uncertainty_tier,local_fan_position_uncertainty,32100
r7_uncertainty_tier,single_fan_local_uncertainty,32100
r7_evidence_stage_role,heldout_control_anchor,96300
r7_evidence_stage_role,heldout_uncertainty_validation,160500
r7_active_fan_count_policy,balanced_0_1_2_3_4_for_active_fan_number_variation,32100
r7_active_fan_count_policy,balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation,32100
r7_active_fan_count_policy,fixed_four_active_fans,96300
r7_active_fan_count_policy,fixed_one_active_fan,64200
r7_active_fan_count_policy,fixed_zero_active_fans,32100
r7_fan_position_policy,common_shift,64200
r7_fan_position_policy,fixed_base_positions,128400
r7_fan_position_policy,independent_uniform_xy_bounds,32100
r7_fan_position_policy,no_fan_positions,32100
scheduled_active_fan_count,0,44940
scheduled_active_fan_count,1,77040
scheduled_active_fan_count,2,12840
scheduled_active_fan_count,3,12840
scheduled_active_fan_count,4,109140
transition_entry_class,boundary_near,84320
transition_entry_class,inflight_stable,84480
transition_entry_class,launch_gate,69120
transition_entry_class,recoverable_degraded,18880
transition_exit_class,boundary_near,75037
transition_exit_class,inflight_stable,58516
transition_exit_class,post_launch_degraded,38298
transition_exit_class,recoverable_degraded,38573
transition_exit_class,safe_terminal,46376
transition_pair,boundary_near->boundary_near,25296
transition_pair,boundary_near->inflight_stable,7115
transition_pair,boundary_near->recoverable_degraded,5533
transition_pair,boundary_near->safe_terminal,46376
transition_pair,inflight_stable->boundary_near,42677
transition_pair,inflight_stable->inflight_stable,19260
transition_pair,inflight_stable->recoverable_degraded,22543
transition_pair,launch_gate->boundary_near,3119
transition_pair,launch_gate->inflight_stable,27703
transition_pair,launch_gate->post_launch_degraded,38298
transition_pair,recoverable_degraded->boundary_near,3945
transition_pair,recoverable_degraded->inflight_stable,4438
transition_pair,recoverable_degraded->recoverable_degraded,10497
transition_chain_compatible,False,70331
transition_chain_compatible,True,186469
transition_failure_reason,,186469
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,25296
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,3119
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,3945
transition_failure_reason,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,5533
transition_failure_reason,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,22543
transition_failure_reason,recoverable_degraded_self_transition_boundary_time_margin_collapsed,1375
transition_failure_reason,recoverable_degraded_self_transition_floor_margin_collapsed,2346
transition_failure_reason,recoverable_degraded_self_transition_without_attitude_rate_progress,6174
turn_intent_label,left,33120
turn_intent_label,neutral,192800
turn_intent_label,right,30880
turn_intent_status,measurable_turn_intent,52036
turn_intent_status,not_turn_primitive,192800
turn_intent_status,weak_or_wrong_turn_intent,11964
turn_intent_correct_sign,False,204764
turn_intent_correct_sign,True,52036
