environment_mode,active_fan_count,row_count
dry_air,0,32100
w3_randomised_four,0,12840
w3_randomised_four,1,12840
w3_randomised_four,2,12840
w3_randomised_four,3,12840
w3_randomised_four,4,109140
w3_randomised_single,1,64200
