w2_survival_status,failure_label,termination_cause,row_count
blocked,entry_role_not_launch_capable,entry_role_incompatible_start,23040
blocked,w2_controller_reconstruction_failed,w2_controller_reconstruction_failed;missing_augmented_gain_matrix_json;missing_predictor_A_reduced_json,28160
