primitive_id,primitive_family,entry_role,primitive_variant_id,controller_id,candidate_index,candidate_weight_label,reference_pitch_bias_rad,reference_bank_bias_rad,reference_speed_bias_m_s,transition_entry_class,row_count,expected_row_count,rows_complete_for_entry_class,per_environment_row_count_json,transition_success_count,transition_success_rate,transition_success_lcb,hard_failure_count,hard_failure_rate,hard_failure_ucb,worst_environment_success_rate,worst_environment_success_lcb,useful_environment_count,updraft_gain_proxy_mean_m,clipped_updraft_gain,lift_dwell_mean_s,clipped_lift_dwell,rollout_duration_mean_s,clipped_rollout_duration,saturation_mean,turn_primitive,turn_intent_success_count,turn_intent_success_rate,turn_intent_success_lcb,turn_intent_score_mean,signed_turn_bank_delta_mean_rad,signed_turn_heading_delta_mean_rad,signed_turn_lateral_displacement_mean_m,transition_exit_class_distribution_json,timing_compliant,success_lcb_threshold,hard_failure_ucb_threshold,useful_environment_count_threshold,r5_transition_training_score,r5_training_eligible,r5_training_blockers,pareto_front,selected_for_r7,selected_rank,r5_training_status,r5_transition_training_version,r5_transition_training_score_formula
recovery,recovery,transition_object,candidate_transition_recovery_c017_inflight_stable,candidate_transition_recovery_c017_inflight_stable,17,recovery_robust_lhs_logqr_refbias_017,0.025,0.009999999999999995,0.0,inflight_stable,120,120,True,"{""dry_air"":40,""w1_annular_gp_randomised_four"":40,""w1_annular_gp_randomised_single"":40}",115,0.9583333333333334,0.9281608063945446,0,0.0,0.013469430706092814,0.925,0.8534185441169458,3,0.040356136830443715,0.040356136830443715,0.03966666666666666,0.3966666666666666,0.10000000000000002,1.0,0.75,False,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""boundary_near"":101,""inflight_stable"":14,""recoverable_degraded"":5}",True,0.35,0.45,3,0.6753267986096338,True,,False,False,,eligible_not_selected,r5_transition_robust_qr_reference_training_v3_signed_turn,0.55*success_lcb + 0.20*worst_env_success_lcb + 0.10*clipped_updraft_gain + 0.05*clipped_lift_dwell + 0.05*clipped_rollout_duration + turn_primitive*(0.12*turn_intent_success_lcb + 0.08*turn_intent_score_mean) - 0.35*hard_failure_ucb - 0.10*saturation_mean
recovery,recovery,transition_object,candidate_transition_recovery_c017_launch_gate,candidate_transition_recovery_c017_launch_gate,17,recovery_robust_lhs_logqr_refbias_017,0.025,0.009999999999999995,0.0,launch_gate,120,120,True,"{""dry_air"":40,""w1_annular_gp_randomised_four"":40,""w1_annular_gp_randomised_single"":40}",56,0.4666666666666667,0.40921406544615024,0,0.0,0.013469430706092814,0.45,0.3532629393319913,3,0.00016177122497955442,0.00016177122497955442,0.0003333333333333333,0.003333333333333333,0.10000000000000002,1.0,0.9066666666666667,False,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""boundary_near"":64,""inflight_stable"":14,""post_launch_degraded"":42}",True,0.35,0.45,3,0.2505222002371464,True,,False,False,,eligible_not_selected,r5_transition_robust_qr_reference_training_v3_signed_turn,0.55*success_lcb + 0.20*worst_env_success_lcb + 0.10*clipped_updraft_gain + 0.05*clipped_lift_dwell + 0.05*clipped_rollout_duration + turn_primitive*(0.12*turn_intent_success_lcb + 0.08*turn_intent_score_mean) - 0.35*hard_failure_ucb - 0.10*saturation_mean
recovery,recovery,transition_object,candidate_transition_recovery_c017_recoverable_degraded,candidate_transition_recovery_c017_recoverable_degraded,17,recovery_robust_lhs_logqr_refbias_017,0.025,0.009999999999999995,0.0,recoverable_degraded,30,30,True,"{""dry_air"":10,""w1_annular_gp_randomised_four"":10,""w1_annular_gp_randomised_single"":10}",4,0.13333333333333333,0.07266820366662875,0,0.0,0.05178517244866997,0.1,0.030450639529986546,3,0.022113837879523503,0.022113837879523503,0.03133333333333334,0.31333333333333335,0.10000000000000003,1.0,0.9466666666666667,False,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""boundary_near"":22,""inflight_stable"":4,""recoverable_degraded"":4}",True,0.2,0.55,2,0.001144213353560991,False,success_lcb_below_threshold,False,False,,ineligible,r5_transition_robust_qr_reference_training_v3_signed_turn,0.55*success_lcb + 0.20*worst_env_success_lcb + 0.10*clipped_updraft_gain + 0.05*clipped_lift_dwell + 0.05*clipped_rollout_duration + turn_primitive*(0.12*turn_intent_success_lcb + 0.08*turn_intent_score_mean) - 0.35*hard_failure_ucb - 0.10*saturation_mean
recovery,recovery,transition_object,candidate_transition_recovery_c018_boundary_near,candidate_transition_recovery_c018_boundary_near,18,recovery_robust_lhs_logqr_refbias_018,-0.025,0.023333333333333345,0.0,boundary_near,30,30,True,"{""dry_air"":10,""w1_annular_gp_randomised_four"":10,""w1_annular_gp_randomised_single"":10}",15,0.5,0.3862182215283682,7,0.23333333333333334,0.3443769191723714,0.4,0.2297293211789324,3,0.003976191170536473,0.003976191170536473,0.017333333333333333,0.1733333333333333,0.06066666666666668,0.6066666666666668,0.44,False,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""boundary_near"":8,""hard_failure"":7,""safe_terminal"":15}",True,0.2,0.55,2,0.1332315834831127,True,,False,False,,eligible_not_selected,r5_transition_robust_qr_reference_training_v3_signed_turn,0.55*success_lcb + 0.20*worst_env_success_lcb + 0.10*clipped_updraft_gain + 0.05*clipped_lift_dwell + 0.05*clipped_rollout_duration + turn_primitive*(0.12*turn_intent_success_lcb + 0.08*turn_intent_score_mean) - 0.35*hard_failure_ucb - 0.10*saturation_mean
recovery,recovery,transition_object,candidate_transition_recovery_c018_inflight_stable,candidate_transition_recovery_c018_inflight_stable,18,recovery_robust_lhs_logqr_refbias_018,-0.025,0.023333333333333345,0.0,inflight_stable,120,120,True,"{""dry_air"":40,""w1_annular_gp_randomised_four"":40,""w1_annular_gp_randomised_single"":40}",111,0.925,0.8881754638526448,0,0.0,0.013469430706092814,0.875,0.7930026789594923,3,0.04005862044419682,0.04005862044419682,0.03966666666666666,0.3966666666666666,0.10000000000000002,1.0,0.5599999999999999,False,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""boundary_near"":98,""inflight_stable"":13,""recoverable_degraded"":9}",True,0.35,0.45,3,0.6602219355414738,True,,False,False,,eligible_not_selected,r5_transition_robust_qr_reference_training_v3_signed_turn,0.55*success_lcb + 0.20*worst_env_success_lcb + 0.10*clipped_updraft_gain + 0.05*clipped_lift_dwell + 0.05*clipped_rollout_duration + turn_primitive*(0.12*turn_intent_success_lcb + 0.08*turn_intent_score_mean) - 0.35*hard_failure_ucb - 0.10*saturation_mean
recovery,recovery,transition_object,candidate_transition_recovery_c018_launch_gate,candidate_transition_recovery_c018_launch_gate,18,recovery_robust_lhs_logqr_refbias_018,-0.025,0.023333333333333345,0.0,launch_gate,120,120,True,"{""dry_air"":40,""w1_annular_gp_randomised_four"":40,""w1_annular_gp_randomised_single"":40}",61,0.5083333333333333,0.4502001013710142,0,0.0,0.013469430706092814,0.475,0.3769208562518602,3,0.00043685106161667507,0.00043685106161667507,0.0018333333333333333,0.018333333333333333,0.10000000000000002,1.0,0.8416666666666667,False,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""boundary_near"":59,""inflight_stable"":20,""post_launch_degraded"":41}",True,0.35,0.45,3,0.28507361136345905,True,,False,False,,eligible_not_selected,r5_transition_robust_qr_reference_training_v3_signed_turn,0.55*success_lcb + 0.20*worst_env_success_lcb + 0.10*clipped_updraft_gain + 0.05*clipped_lift_dwell + 0.05*clipped_rollout_duration + turn_primitive*(0.12*turn_intent_success_lcb + 0.08*turn_intent_score_mean) - 0.35*hard_failure_ucb - 0.10*saturation_mean
recovery,recovery,transition_object,candidate_transition_recovery_c018_recoverable_degraded,candidate_transition_recovery_c018_recoverable_degraded,18,recovery_robust_lhs_logqr_refbias_018,-0.025,0.023333333333333345,0.0,recoverable_degraded,30,30,True,"{""dry_air"":10,""w1_annular_gp_randomised_four"":10,""w1_annular_gp_randomised_single"":10}",8,0.26666666666666666,0.17739464648936784,0,0.0,0.05178517244866997,0.1,0.030450639529986546,3,0.03581720476517336,0.03581720476517336,0.04200000000000001,0.4200000000000001,0.10000000000000003,1.0,0.8866666666666667,False,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""boundary_near"":17,""inflight_stable"":8,""recoverable_degraded"":5}",True,0.2,0.55,2,0.07144742692796582,False,success_lcb_below_threshold,False,False,,ineligible,r5_transition_robust_qr_reference_training_v3_signed_turn,0.55*success_lcb + 0.20*worst_env_success_lcb + 0.10*clipped_updraft_gain + 0.05*clipped_lift_dwell + 0.05*clipped_rollout_duration + turn_primitive*(0.12*turn_intent_success_lcb + 0.08*turn_intent_score_mean) - 0.35*hard_failure_ucb - 0.10*saturation_mean
recovery,recovery,transition_object,candidate_transition_recovery_c019_boundary_near,candidate_transition_recovery_c019_boundary_near,19,recovery_robust_lhs_logqr_refbias_019,-0.018333333333333337,0.06333333333333334,0.0,boundary_near,30,30,True,"{""dry_air"":10,""w1_annular_gp_randomised_four"":10,""w1_annular_gp_randomised_single"":10}",12,0.4,0.29357538812862677,7,0.23333333333333334,0.3443769191723714,0.4,0.2297293211789324,3,0.006907919053383884,0.006907919053383884,0.016,0.16,0.06266666666666668,0.6266666666666667,0.58,False,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""boundary_near"":11,""hard_failure"":7,""safe_terminal"":12}",True,0.2,0.55,2,0.06890453123487297,True,,False,False,,eligible_not_selected,r5_transition_robust_qr_reference_training_v3_signed_turn,0.55*success_lcb + 0.20*worst_env_success_lcb + 0.10*clipped_updraft_gain + 0.05*clipped_lift_dwell + 0.05*clipped_rollout_duration + turn_primitive*(0.12*turn_intent_success_lcb + 0.08*turn_intent_score_mean) - 0.35*hard_failure_ucb - 0.10*saturation_mean
recovery,recovery,transition_object,candidate_transition_recovery_c019_inflight_stable,candidate_transition_recovery_c019_inflight_stable,19,recovery_robust_lhs_logqr_refbias_019,-0.018333333333333337,0.06333333333333334,0.0,inflight_stable,120,120,True,"{""dry_air"":40,""w1_annular_gp_randomised_four"":40,""w1_annular_gp_randomised_single"":40}",116,0.9666666666666667,0.9386202925147681,0,0.0,0.013469430706092814,0.95,0.8855752591662762,3,0.02762531060597236,0.02762531060597236,0.034,0.34,0.10000000000000002,1.0,0.7083333333333334,False,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""boundary_near"":101,""inflight_stable"":15,""recoverable_degraded"":4}",True,0.35,0.45,3,0.6875711096965091,True,,False,False,,eligible_not_selected,r5_transition_robust_qr_reference_training_v3_signed_turn,0.55*success_lcb + 0.20*worst_env_success_lcb + 0.10*clipped_updraft_gain + 0.05*clipped_lift_dwell + 0.05*clipped_rollout_duration + turn_primitive*(0.12*turn_intent_success_lcb + 0.08*turn_intent_score_mean) - 0.35*hard_failure_ucb - 0.10*saturation_mean
recovery,recovery,transition_object,candidate_transition_recovery_c019_launch_gate,candidate_transition_recovery_c019_launch_gate,19,recovery_robust_lhs_logqr_refbias_019,-0.018333333333333337,0.06333333333333334,0.0,launch_gate,120,120,True,"{""dry_air"":40,""w1_annular_gp_randomised_four"":40,""w1_annular_gp_randomised_single"":40}",67,0.5583333333333333,0.49990959482112135,0,0.0,0.013469430706092814,0.525,0.42495344155773185,3,0.00042040207578982185,0.00042040207578982185,0.0016666666666666668,0.016666666666666666,0.10000000000000002,1.0,0.9150000000000001,False,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""boundary_near"":53,""inflight_stable"":26,""post_launch_degraded"":41}",True,0.35,0.45,3,0.31460203825694294,True,,False,False,,eligible_not_selected,r5_transition_robust_qr_reference_training_v3_signed_turn,0.55*success_lcb + 0.20*worst_env_success_lcb + 0.10*clipped_updraft_gain + 0.05*clipped_lift_dwell + 0.05*clipped_rollout_duration + turn_primitive*(0.12*turn_intent_success_lcb + 0.08*turn_intent_score_mean) - 0.35*hard_failure_ucb - 0.10*saturation_mean
