check_id,observed,passed,required
stage_order_r5_r7_r8_r9_r10_r11,"[""R5"", ""R7"", ""R8"", ""R9"", ""R10"", ""R11""]",True,"[""R5"", ""R7"", ""R8"", ""R9"", ""R10"", ""R11""]"
r6_archived_only,"[""R6""]",True,"[""R6""]"
active_primitive_catalogue_has_14_variants,14,True,14
launch_capture_catalogue_has_6_stable_ids,"[""launch_capture_glide_stabilise"", ""launch_capture_lift_seek"", ""launch_capture_energy_build"", ""launch_capture_shallow_left"", ""launch_capture_shallow_right"", ""launch_capture_safe_handoff""]",True,six launch_capture_* primitives marked launch_capable
r5_dense_target_dynamic_14x32x3x100,"{""candidate_count"": 32, ""paired_tests"": 100, ""row_count"": 134400}",True,14*32*3*100=134400
r5_official_environment_cases_annular_gp_only,"[[""W0"", ""dry_air""], [""W1"", ""w1_annular_gp_randomised_single""], [""W1"", ""w1_annular_gp_randomised_four""]]",True,W0 dry plus W1 annular-GP single/four
r5_active_fan_count_sequence_balanced_1_2_3_4,"[1, 2, 3, 4]",True,"[1, 2, 3, 4]"
r5_schedule_has_no_cross_entry_role_start_family,"{""environment_case_counts"": {""W0|dry_air"": 44800, ""W1|w1_annular_gp_randomised_four"": 44800, ""W1|w1_annular_gp_randomised_single"": 44800}, ""family_counts"": {""inflight_boundary_near"": 9600, ""inflight_lift_region"": 21600, ""inflight_nominal"": 36000, ""inflight_recovery_edge"": 9600, ""launch_gate"": 57600}, ""mismatch_count"": 0, ""mismatch_examples"": [], ""primitive_count_range"": [9600, 9600], ""role_family_counts"": {""inflight_only|inflight_lift_region"": 21600, ""inflight_only|inflight_nominal"": 36000, ""launch_capable|launch_gate"": 57600, ""terminal_or_recovery|inflight_boundary_near"": 9600, ""terminal_or_recovery|inflight_recovery_edge"": 9600}, ""row_count"": 134400}",True,all scheduled rows role-compatible
r5_role_separated_start_family_counts,"{""inflight_boundary_near"": 9600, ""inflight_lift_region"": 21600, ""inflight_nominal"": 36000, ""inflight_recovery_edge"": 9600, ""launch_gate"": 57600}",True,"{""inflight_boundary_near"": 9600, ""inflight_lift_region"": 21600, ""inflight_nominal"": 36000, ""inflight_recovery_edge"": 9600, ""launch_gate"": 57600}"
r5_environment_case_counts_balanced,"{""W0|dry_air"": 44800, ""W1|w1_annular_gp_randomised_four"": 44800, ""W1|w1_annular_gp_randomised_single"": 44800}",True,44800 rows per W0/W1 environment case
r7_uses_direct_r5_frozen_bundle_not_active_w2_gate,r5_frozen_bundle_direct,True,r5_frozen_bundle_direct
r7_environment_cases_annular_gp_single_four,"[""w3_randomised_single"", ""w3_randomised_four""]",True,"[""w3_randomised_single"", ""w3_randomised_four""]"
r7_active_fan_count_sequence_balanced_1_2_3_4,"[1, 2, 3, 4]",True,"[1, 2, 3, 4]"
