candidate_id,split,cmq,blend_start_deg,blend_full_deg,count,longitudinal_objective,combined_objective,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg,dx_mean_m,dy_mean_m,altitude_loss_mean_m,sink_mean_m_s,roll_mean_deg,pitch_mean_deg,yaw_mean_deg
cmq4_blend12_22,train,4.0,12.0,22.0,63,12.555788013212405,27.93924526163371,0.3183600828793447,1.4790698080331794,0.32100638116880875,0.22522271156701,30.077765207065706,6.768939881591067,29.98833702781147,0.0676973769220231,-1.4506915654551733,-0.2827738045354723,-0.1899132422390177,-26.155332105353832,-4.1797037568144155,-28.794460358978
cmq4_blend12_22,heldout,4.0,12.0,22.0,11,8.512990538677512,23.297637654790957,0.4014638382137992,1.5543174305504543,0.17157575562218164,0.15351224170582703,23.232633075759644,4.398224139312773,27.407404217295287,0.18421872273684212,-1.5543174305504543,-0.12801045746886877,-0.11552647854831428,-22.90057854670413,-3.089745026338025,-27.407404217295287
cmq6_blend12_22,train,6.0,12.0,22.0,63,13.059018172809287,27.8225303386465,0.31188274709111863,1.4855509536125653,0.33672268676735845,0.23962723792970805,26.62166313514518,6.425198519177214,29.382137893248093,0.062028832414820705,-1.4576607105002377,-0.31656619577175865,-0.22058440220813175,-22.647715458487383,0.03512079917585979,-28.06956708828665
cmq6_blend12_22,heldout,6.0,12.0,22.0,11,9.962767559219454,24.06917017665498,0.38975113014274326,1.5550957955486835,0.2012741347055783,0.17815107589332635,19.667210984118693,5.130360980430967,27.08078132325621,0.17278621780332293,-1.5550957955486835,-0.1800574284602485,-0.15939682924620174,-18.715120646370043,2.075862911608306,-27.08078132325621
cmq8_blend12_22,train,8.0,12.0,22.0,63,17.580627585322677,33.200555521908214,0.41724522511076245,1.7403672564102528,0.4847503201097436,0.2893549840095164,24.70296891191083,7.170359737908291,28.834544901384263,0.024042232302219923,-1.71348561975991,-0.4681045140458409,-0.2736591368893853,-19.132234562561457,3.416850727016748,-28.834544901384263
cmq8_blend12_22,heldout,8.0,12.0,22.0,11,12.16004889137533,25.97583412071771,0.4595755191237428,1.547885806116782,0.22400754245748988,0.1972378452125846,18.757358942607805,8.517841365471604,27.39957412133206,0.24298868350626887,-1.547885806116782,-0.21006655411078065,-0.1845815551085428,-16.151972989177995,5.573486711544322,-27.39957412133206
cmq4_blend12_24,train,4.0,12.0,24.0,63,12.644328122006247,27.963097051439842,0.3175612071402413,1.4756956667496104,0.31576722205054053,0.22073041160834322,29.420250440587285,8.06481650689573,30.55869418023736,0.0655141461928506,-1.4471041506166837,-0.2762291184611648,-0.1841999646198246,-25.520451752166995,-6.137641538804075,-29.317767415879292
cmq4_blend12_24,heldout,4.0,12.0,24.0,11,8.578904088801634,23.574819804447444,0.39463469517732863,1.5528778910779961,0.16715260722862657,0.14990498820138726,24.040800245350024,5.48461186460846,28.176902661938986,0.17744749220529954,-1.5528778910779961,-0.12179206181859731,-0.11009002045315125,-23.689380003631854,-5.191698001590354,-28.176902661938986
cmq6_blend12_24,train,6.0,12.0,24.0,63,13.01553011439206,28.214217942179943,0.3083224694874164,1.482147604824304,0.32952548375599866,0.232643362845666,28.926202766982072,6.876982299023853,29.94947918088205,0.04799023242491644,-1.4538444999293574,-0.30737376489201085,-0.21175269237626684,-24.94872557852406,-3.150037597851961,-28.759459297415717
cmq6_blend12_24,heldout,6.0,12.0,24.0,11,9.151572757494936,23.58078934376085,0.3726829844208236,1.5578734746342184,0.19175447943173862,0.17027054095194838,21.234090226917647,4.071798954123192,27.608597652685656,0.14945023113524591,-1.5578734746342184,-0.17078202511395454,-0.1516278139155148,-20.148947769844824,-0.004879929381003608,-27.608597652685656
