boundary_use_class,continuation_valid,episode_terminal_useful,outcome_class,row_count
continuation_valid,True,False,accepted,37192
continuation_valid,True,False,weak,58888
episode_terminal_useful,False,True,weak,6315
hard_failure,False,False,failed,5
