stage_id,start_state_family,transition_entry_class,transition_exit_class,primitive_id,primitive_family,entry_role,regime_label,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,entry_role_rejection_count,total_rows,rejection_rate,active_primitive_family,launch_gate_rows_exist,non_rejected_launch_gate_rows,expected_launch_gate_rows_per_active_primitive,expected_full_dense_launch_gate_rows_present,credible_launch_gate_outcome,r5_launch_entry_gate_passed
W01,inflight_boundary_near,boundary_near,boundary_near,energy_retaining_bank,energy_retaining_bank,transition_object,boundary_or_recovery_entry_evidence_for_8_families,93,332,0,0,0,425,0,0,0,425,0.0,True,False,425,5120,False,True,False
W01,inflight_boundary_near,boundary_near,boundary_near,glide,glide,transition_object,boundary_or_recovery_entry_evidence_for_8_families,92,332,0,0,0,424,0,0,0,424,0.0,True,False,424,5120,False,True,False
W01,inflight_boundary_near,boundary_near,boundary_near,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,94,330,0,0,0,424,0,0,0,424,0.0,True,False,424,5120,False,True,False
W01,inflight_boundary_near,boundary_near,boundary_near,lift_entry,lift_entry,transition_object,boundary_or_recovery_entry_evidence_for_8_families,94,332,0,0,0,426,0,0,0,426,0.0,True,False,426,5120,False,True,False
W01,inflight_boundary_near,boundary_near,boundary_near,mild_turn_left,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,92,333,0,0,0,425,0,0,0,425,0.0,True,False,425,5120,False,True,False
W01,inflight_boundary_near,boundary_near,boundary_near,mild_turn_right,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,93,331,0,0,0,424,0,0,0,424,0.0,True,False,424,5120,False,True,False
W01,inflight_boundary_near,boundary_near,boundary_near,recovery,recovery,transition_object,boundary_or_recovery_entry_evidence_for_8_families,91,334,0,0,0,425,0,0,0,425,0.0,True,False,425,5120,False,True,False
W01,inflight_boundary_near,boundary_near,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,boundary_or_recovery_entry_evidence_for_8_families,96,329,0,0,0,425,0,0,0,425,0.0,True,False,425,5120,False,True,False
W01,inflight_boundary_near,boundary_near,hard_failure,energy_retaining_bank,energy_retaining_bank,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,0,2,0,0,0,0,2,0,2,0.0,True,False,2,5120,False,False,False
W01,inflight_boundary_near,boundary_near,hard_failure,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,0,1,0,0,0,0,1,0,1,0.0,True,False,1,5120,False,False,False
