episode_id,launch_role,environment_block_id,library_size_case_id,outer_case_index,common_final_launch_key,policy_id,history_length,initial_launch_speed_m_s,selected_primitive_step_count,episode_rollout_duration_s,episode_flight_time_s,mission_success,front_wall_terminal_success,safe_success,full_safe_success,wrong_wall_exit,no_viable_primitive,hard_failure,floor_or_ceiling_violation,terminal_wall_face,mission_outcome_label,terminal_specific_energy_m,terminal_specific_energy_reserve_m,base_failure_penalty,base_failure_penalty_reason,mission_completion_component,updraft_gain_bonus,lift_dwell_bonus,terminal_specific_energy_bonus,launch_score_additive_component,launch_score,launch_score_version,launch_score_scope
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0012,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,12,r10_changed_final_0012,spatial_flow_belief_memory_h30,30,5.741097679277268,9,0.8599999999999999,0.8599999999999999,False,False,True,False,True,False,False,False,side_wall_y_min,wrong_wall_exit,2.208734803193782,1.808734803193782,-50.0,wrong_wall_exit,0.0,1.0520681999521582,1.1,0.0,0.0,-50.0,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0003,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,3,r10_changed_final_0003,spatial_flow_belief_memory_h30,30,7.083174810590647,9,0.8999999999999999,0.8999999999999999,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,2.708058315153852,2.3080583151538523,0.0,none,100.0,0.8295791623687341,1.7999999999999998,20.0,122.62957916236873,122.62957916236873,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0020,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,20,r10_changed_final_0020,spatial_flow_belief_memory_h30,30,4.438503368779737,10,0.98,0.98,False,False,False,False,False,False,False,False,none,expected_low_energy_dry_air_sink_not_scored,1.6119526133949384,1.2119526133949385,0.0,expected_low_energy_dry_air_sink_not_scored,0.0,0.0,0.0,0.0,0.0,0.0,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0017,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,17,r10_changed_final_0017,spatial_flow_belief_memory_h30,30,7.375780570416101,7,0.7399999999999999,0.7399999999999999,False,False,False,False,False,True,False,False,none,no_viable_primitive,2.907212003016698,2.507212003016698,-40.0,no_viable_primitive_after_launch,0.0,4.111953788507688,1.9,0.0,0.0,-40.0,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0004,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,4,r10_changed_final_0004,spatial_flow_belief_memory_h30,30,5.002639158573073,10,1.0199999999999998,1.0199999999999998,False,False,False,False,False,False,True,True,none,floor_or_ceiling_violation,1.7180287746490088,1.318028774649009,-100.0,hard_failure,0.0,10.111758863868658,1.7000000000000002,0.0,0.0,-100.0,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0009,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,9,r10_changed_final_0009,spatial_flow_belief_memory_h30,30,7.493451515630908,8,0.7799999999999999,0.7799999999999999,False,False,False,False,True,False,True,False,front_wall_x_max,hard_failure,2.9157222833650684,2.5157222833650685,-100.0,hard_failure,0.0,7.788981416950865,1.7999999999999998,0.0,0.0,-100.0,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0008,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,8,r10_changed_final_0008,spatial_flow_belief_memory_h30,30,7.114147458207874,9,0.9399999999999998,0.9399999999999998,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,2.409589343710288,2.0095893437102883,0.0,none,100.0,10.54298009939172,3.0,20.0,133.5429800993917,133.5429800993917,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0025,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,25,r10_changed_final_0025,spatial_flow_belief_memory_h30,30,5.674330630302532,9,0.9399999999999998,0.9399999999999998,False,False,False,False,False,False,True,True,none,floor_or_ceiling_violation,2.1324464121141924,1.7324464121141925,-100.0,hard_failure,0.0,0.0,0.0,0.0,0.0,-100.0,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0021,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,21,r10_changed_final_0021,spatial_flow_belief_memory_h30,30,7.060297600362847,9,0.8799999999999999,0.8799999999999999,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,2.721898087768973,2.321898087768973,0.0,none,100.0,0.025877438342985996,0.0,20.0,120.02587743834299,120.02587743834299,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0018,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,18,r10_changed_final_0018,spatial_flow_belief_memory_h30,30,4.943660370181171,11,1.1,1.1,False,False,False,False,False,False,False,False,none,expected_low_energy_dry_air_sink_not_scored,1.8460332258847243,1.4460332258847242,0.0,expected_low_energy_dry_air_sink_not_scored,0.0,3.8826930154801023,3.1,0.0,0.0,0.0,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
