audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_flow_map_information_gain,flow_map_information_gain_positive_count,mean_information_gain_score_component,information_gain_score_component_positive_count,mean_route_memory_score_component,route_memory_score_component_positive_count,mean_route_flow_exploitation_m,mean_route_flow_information_gain,mean_route_flow_confidence,mean_selected_calibrated_regime_mismatch_risk,mean_memory_switch_calibrated_regime_risk_delta,memory_switch_regime_risk_regression_count,mean_memory_cost_benefit_total_benefit,mean_memory_cost_benefit_total_cost,mean_memory_cost_benefit_net_value,memory_cost_benefit_positive_count,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,9884,7413,233,42,137,0.0002059086249693848,0.0392087423557532,5.385333267742176e-05,1071.672640742165,162,0.028300124030502888,0.8433868701804422,1.4806901905354126e-06,512,0.44220780506652757,7359,0.03675620478312297,7359,0.03655598169075564,7359,-1.494437210479479e-05,0.15765625012780338,0.00034146401101528133,0.0,0.0,0,0.036501867731653335,3.0374320299270984e-05,0.03647149341135407,7359,0.00015205529229196234,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",497,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8614872942257908,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",490,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8547953975791428,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:light_cluster",495,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8623876487807076,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",494,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8662255602526496,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",495,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8646637537547577,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:balanced_cluster",497,497,16,3,9,0.00032519475355282344,0.0364289565862842,7.604780170086097e-05,543.9131174731635,11,0.03703757498286899,0.8370817910602729,1.4124106572305753e-06,38,0.5875779740543032,493,0.04881789731477639,493,0.04853709003517001,493,-1.6018139667879286e-06,0.20397519917767126,0.00012254695038755743,0.0,0.0,0,0.04845460060582042,5.367992185990141e-05,0.04840092068396051,493,0.0002491469518519614,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:heavy_cluster",490,490,5,0,1,5.036413531628367e-06,0.0024678426304979,0.0,5036.413531628371,1,0.036856625980020416,0.8312394871911418,1.0909959301416278e-06,25,0.5938618439044134,486,0.04915394655114936,486,0.048969084668795675,486,-3.075422467955375e-06,0.22395517245704613,5.02587223038875e-05,0.0,0.0,0,0.04896404825526405,0.0,0.04896404825526405,486,5.036413531628163e-06,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:light_cluster",495,495,19,2,14,0.000299621260961184,0.0379311339439178,7.178688176642062e-05,1413.6781400794712,14,0.03688501323634537,0.8379775865888981,1.3463193551027946e-06,35,0.5886039108475802,492,0.04887475935829472,492,0.04860856932239359,492,-1.344736343068524e-06,0.20563895936421708,0.00011870940975818897,0.0,0.0,0,0.04847147035474842,2.3872854909206467e-05,0.048447597499839214,492,0.0002278343791947617,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:no_cluster_no_merge",494,494,20,5,12,0.00040506771767659546,0.0383716840345671,9.335101974539414e-05,1074.072691862403,13,0.036863596211383375,0.8416871180078925,1.407989269788485e-06,33,0.5917380280909383,491,0.049009551265758206,491,0.04871528144923303,491,-1.8385136528935505e-06,0.20359665670915597,0.00012811639648574146,0.0,0.0,0,0.04871840773813114,9.482433481175993e-05,0.048623583403319376,491,0.0003117166979312001,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
