outer_case_index,pairing_passed,row_count,library_case_count,policy_count
0,True,20,5,4
1,True,20,5,4
2,True,20,5,4
3,True,20,5,4
4,True,20,5,4
5,True,20,5,4
6,True,20,5,4
7,True,20,5,4
8,True,20,5,4
9,True,20,5,4
10,True,20,5,4
11,True,20,5,4
12,True,20,5,4
13,True,20,5,4
14,True,20,5,4
15,True,20,5,4
16,True,20,5,4
17,True,20,5,4
18,True,20,5,4
19,True,20,5,4
20,True,20,5,4
21,True,20,5,4
22,True,20,5,4
23,True,20,5,4
24,True,20,5,4
25,True,20,5,4
26,True,20,5,4
27,True,20,5,4
28,True,20,5,4
29,True,20,5,4
30,True,20,5,4
31,True,20,5,4
32,True,20,5,4
33,True,20,5,4
34,True,20,5,4
35,True,20,5,4
36,True,20,5,4
37,True,20,5,4
38,True,20,5,4
39,True,20,5,4
40,True,20,5,4
41,True,20,5,4
42,True,20,5,4
43,True,20,5,4
44,True,20,5,4
45,True,20,5,4
46,True,20,5,4
47,True,20,5,4
48,True,20,5,4
49,True,20,5,4
