library_size_case_id,policy_id,history_length,launch_count,safe_success_rate,full_safe_success_rate,hard_failure_rate,physical_hard_failure_rate,floor_or_ceiling_violation_rate,physical_floor_or_ceiling_violation_rate,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_rate,no_viable_primitive_rate,mission_success_rate,front_wall_terminal_success_rate,wrong_wall_exit_rate,terminal_useful_rate,lift_capture_rate,mean_lift_dwell_time_s,mean_energy_residual_m,mean_net_specific_energy_delta_m,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_gross_specific_energy_loss_m,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_episode_flight_time_s,mean_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_min_wall_margin_m,selected_primitive_family_count,selected_variant_count,governor_rejection_count,belief_observation_count,belief_uncertainty,memory_changed_selection_rate,baseline_vs_policy_selection_changed_rate,exploration_changed_selection_rate
balanced_cluster,no_memory_baseline,0,50,0.58,0.0,0.14,0.34,0.1,0.3,0.2,0.8,0.08,0.54,0.54,0.08,0.58,0.58,0.2932,-0.6725154134730785,-1.3022883893698238,0.004494796462703364,0.241430871432048,1.3067831858325272,2.2688135638394193,1.8688135638394194,10.183747434793904,0.9904,6.228342324542833,48.41298271313069,116.40378831927549,0.0032763733074527845,48,50,18,0,1.0,0.0,0.0,0.0
balanced_cluster,spatial_flow_belief_memory_h10,10,50,0.58,0.0,0.14,0.34,0.1,0.3,0.2,0.8,0.08,0.54,0.54,0.08,0.58,0.58,0.2932,-0.6722856256110432,-1.3025059565805117,0.004505875048478532,0.24141995061611482,1.3070118316289905,2.2685959966287315,1.8685959966287315,10.182777305957137,0.9904,6.228342324542833,48.41201480118477,116.40378831927549,0.0035408489268580912,48,50,18,810,0.03735999070478669,0.06,0.06,0.0
balanced_cluster,spatial_flow_belief_memory_h3,3,50,0.58,0.0,0.14,0.34,0.1,0.3,0.2,0.8,0.08,0.54,0.54,0.08,0.58,0.58,0.2932,-0.6722856256110432,-1.3025059565805117,0.004505875048478532,0.24141995061611482,1.3070118316289905,2.2685959966287315,1.8685959966287313,10.182777305957137,0.9904,6.228342324542833,48.41201480118477,116.40378831927549,0.003540848926858092,48,50,18,300,0.06185174943796191,0.06,0.06,0.0
balanced_cluster,spatial_flow_belief_memory_h30,30,50,0.58,0.0,0.14,0.34,0.1,0.3,0.2,0.8,0.08,0.54,0.54,0.08,0.58,0.58,0.2932,-0.6715069151068798,-1.3024858912923696,0.004505875048478532,0.24139963922128466,1.3069917663408481,2.2686160619168736,1.8686160619168737,10.182777305957137,0.9904,6.228342324542833,48.41160857328817,116.40378831927549,0.003664515614476853,47,49,18,2275,0.02227312666083219,0.08,0.08,0.0
heavy_cluster,no_memory_baseline,0,50,0.54,0.0,0.24,0.38,0.18,0.32,0.14,0.86,0.08,0.5,0.5,0.1,0.54,0.58,0.2928,-0.7841852333269851,-1.3433959779110904,0.00330556722692227,0.24957182544482684,1.3467015451380127,2.2277059752981527,1.8277059752981528,9.324316314815661,0.9771999999999998,6.228342324542833,33.55253704769965,56.82881263207694,0.010314423277218307,49,49,14,0,1.0,0.0,0.0,0.0
heavy_cluster,spatial_flow_belief_memory_h10,10,50,0.54,0.0,0.24,0.38,0.18,0.32,0.14,0.86,0.08,0.5,0.5,0.1,0.54,0.58,0.2928,-0.7841852333269851,-1.3433959779110904,0.00330556722692227,0.24957182544482684,1.3467015451380127,2.2277059752981527,1.8277059752981528,9.324316314815661,0.9771999999999998,6.228342324542833,33.55253704769965,56.82881263207694,0.010314423277218307,49,49,14,788,0.03749066310539342,0.0,0.0,0.0
heavy_cluster,spatial_flow_belief_memory_h3,3,50,0.54,0.0,0.24,0.38,0.18,0.32,0.14,0.86,0.08,0.5,0.5,0.1,0.54,0.58,0.2928,-0.7841852333269851,-1.3433959779110904,0.00330556722692227,0.24957182544482684,1.3467015451380127,2.2277059752981527,1.8277059752981528,9.324316314815661,0.9772,6.228342324542833,33.55253704769965,56.82881263207694,0.010314423277218307,49,49,14,295,0.061989123413925956,0.0,0.0,0.0
heavy_cluster,spatial_flow_belief_memory_h30,30,50,0.54,0.0,0.24,0.38,0.18,0.32,0.14,0.86,0.08,0.5,0.5,0.1,0.54,0.58,0.2928,-0.7841852333269851,-1.3433959779110904,0.00330556722692227,0.2495718254448268,1.3467015451380127,2.2277059752981527,1.8277059752981528,9.324316314815661,0.9772,6.228342324542833,33.55253704769965,56.82881263207694,0.010314423277218307,49,49,14,2233,0.02234307740426259,0.0,0.0,0.0
light_cluster,no_memory_baseline,0,50,0.58,0.0,0.16,0.36,0.12,0.32,0.2,0.8,0.06,0.54,0.54,0.08,0.58,0.56,0.292,-0.6782780525723602,-1.3079815834059667,0.004653215013533663,0.24202165780344406,1.3126347984195004,2.2631203698032767,1.8631203698032766,10.162941538903633,0.9919999999999999,6.228342324542833,47.188707847091294,116.30417790814695,0.004502644457794091,49,49,37,0,1.0,0.0,0.0,0.0
light_cluster,spatial_flow_belief_memory_h10,10,50,0.58,0.0,0.16,0.36,0.12,0.32,0.2,0.8,0.06,0.54,0.54,0.08,0.58,0.56,0.29200000000000004,-0.6782136600628064,-1.3082798961801205,0.0046651440306342915,0.24201211326263425,1.3129450402107552,2.2628220570291226,1.8628220570291225,10.161163954432208,0.9919999999999999,6.228342324542833,47.18693033287339,116.30417790814695,0.004779677327172007,49,49,37,810,0.037358329785031466,0.04,0.04,0.0
light_cluster,spatial_flow_belief_memory_h3,3,50,0.58,0.0,0.16,0.36,0.12,0.32,0.2,0.8,0.06,0.54,0.54,0.08,0.58,0.56,0.292,-0.6782136600628064,-1.3082798961801205,0.0046651440306342915,0.24201211326263425,1.3129450402107552,2.2628220570291226,1.8628220570291225,10.161163954432208,0.9919999999999999,6.228342324542833,47.18693033287339,116.30417790814695,0.004779677327172007,49,49,37,300,0.06185501193162669,0.04,0.04,0.0
light_cluster,spatial_flow_belief_memory_h30,30,50,0.58,0.0,0.16,0.36,0.12,0.32,0.2,0.8,0.06,0.54,0.54,0.08,0.58,0.56,0.29200000000000004,-0.677434949558643,-1.3082598308919784,0.0046651440306342915,0.2419918018678041,1.3129249749226128,2.262842122317265,1.8628421223172649,10.161163954432208,0.9919999999999999,6.228342324542833,47.186524104976776,116.30417790814695,0.004903344014790768,48,49,37,2274,0.02227558986687891,0.06,0.06,0.0
no_cluster_no_merge,no_memory_baseline,0,50,0.58,0.0,0.16,0.36,0.12,0.32,0.2,0.8,0.06,0.54,0.54,0.08,0.58,0.58,0.2944,-0.6860136732755234,-1.302966248746426,0.004617343516557472,0.24337719744453584,1.3075835922629835,2.268135704462817,1.8681357044628175,10.16739320917484,0.9911999999999999,6.228342324542833,47.19058396182578,116.61820650156949,0.0038595197304264525,50,50,432,0,1.0,0.0,0.0,0.0
no_cluster_no_merge,spatial_flow_belief_memory_h10,10,50,0.58,0.0,0.16,0.36,0.12,0.32,0.2,0.8,0.06,0.54,0.54,0.08,0.58,0.58,0.2948,-0.6871555014033993,-1.3044369793002588,0.004628136953035694,0.2439489219015688,1.3090651162532945,2.2666649739089846,1.8666649739089847,10.159904957063478,0.9915999999999999,6.228342324542833,47.18343926714942,116.61820650156949,0.003820738667808207,50,50,432,814,0.0373614500094379,0.1,0.1,0.0
no_cluster_no_merge,spatial_flow_belief_memory_h3,3,50,0.58,0.0,0.16,0.36,0.12,0.32,0.2,0.8,0.06,0.54,0.54,0.08,0.58,0.58,0.2948,-0.6871555014033993,-1.3044369793002588,0.004628136953035694,0.2439489219015688,1.3090651162532945,2.2666649739089846,1.8666649739089847,10.159904957063478,0.9915999999999999,6.228342324542833,47.18343926714942,116.61820650156949,0.003820738667808206,50,50,432,296,0.06185287979661961,0.1,0.1,0.0
