library_size_case_id,policy_id,launch_role,rejection_reason,row_count
balanced_cluster,no_memory_baseline,final_heldout,,516
balanced_cluster,spatial_flow_belief_memory_h10,final_heldout,,522
balanced_cluster,spatial_flow_belief_memory_h3,final_heldout,,521
balanced_cluster,spatial_flow_belief_memory_h30,final_heldout,,523
heavy_cluster,no_memory_baseline,final_heldout,,286
heavy_cluster,spatial_flow_belief_memory_h10,final_heldout,,286
heavy_cluster,spatial_flow_belief_memory_h3,final_heldout,,286
heavy_cluster,spatial_flow_belief_memory_h30,final_heldout,,286
light_cluster,no_memory_baseline,final_heldout,,525
light_cluster,spatial_flow_belief_memory_h10,final_heldout,,539
light_cluster,spatial_flow_belief_memory_h3,final_heldout,,539
light_cluster,spatial_flow_belief_memory_h30,final_heldout,,542
no_cluster_no_merge,no_memory_baseline,final_heldout,,616
no_cluster_no_merge,spatial_flow_belief_memory_h10,final_heldout,,641
no_cluster_no_merge,spatial_flow_belief_memory_h3,final_heldout,,641
no_cluster_no_merge,spatial_flow_belief_memory_h30,final_heldout,,639
super_light_cluster,no_memory_baseline,final_heldout,,528
super_light_cluster,spatial_flow_belief_memory_h10,final_heldout,,558
super_light_cluster,spatial_flow_belief_memory_h3,final_heldout,,556
super_light_cluster,spatial_flow_belief_memory_h30,final_heldout,,560
