comparison_type,environment_block_id,library_size_case_id,outer_case_index,common_final_launch_key,policy_id,baseline_policy_id,history_length,launch_score,baseline_launch_score,delta_launch_score,accumulated_selected_score,baseline_accumulated_selected_score,delta_accumulated_selected_score,executed_selected_decision_count,baseline_executed_selected_decision_count,mission_success_delta,safe_success_delta,hard_failure_delta,no_viable_primitive_delta,claim_status
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,8,r10_changed_final_0008,spatial_flow_belief_memory_h3,no_memory_baseline,3,132.5763903012616,132.5763903012616,0.0,11.605671597843017,11.168168513564098,0.4375030842789194,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,39,r10_changed_final_0039,spatial_flow_belief_memory_h30,no_memory_baseline,30,-100.0,-100.0,0.0,9.939406539413197,9.373541379558642,0.565865159854555,11,11,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,11,r10_changed_final_0011,spatial_flow_belief_memory_h3,no_memory_baseline,3,113.24198801404307,113.24198801404307,0.0,16.576561247382205,16.00016554836186,0.5763956990203454,12,12,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,15,r10_changed_final_0015,spatial_flow_belief_memory_h3,no_memory_baseline,3,117.53515669530208,117.53515669530208,0.0,13.76324235155831,13.376236180838465,0.3870061707198449,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,9,r10_changed_final_0009,spatial_flow_belief_memory_h3,no_memory_baseline,3,-100.0,-100.0,0.0,10.374533363226329,10.011792023456003,0.3627413397703254,8,8,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,12,r10_changed_final_0012,spatial_flow_belief_memory_h3,no_memory_baseline,3,-50.0,-50.0,0.0,8.011476551886222,7.551975726343663,0.459500825542559,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,42,r10_changed_final_0042,spatial_flow_belief_memory_h30,no_memory_baseline,30,135.50286742817127,135.50286742817127,0.0,13.750355360446322,13.231503479872233,0.5188518805740898,11,11,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,47,r10_changed_final_0047,spatial_flow_belief_memory_h30,no_memory_baseline,30,0.0,0.0,0.0,4.255905466574666,3.8753103329796543,0.38059513359501196,7,7,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,16,r10_changed_final_0016,spatial_flow_belief_memory_h3,no_memory_baseline,3,120.00295043944593,120.00295043944593,0.0,10.481210493056862,10.05076776163083,0.43044273142603195,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,20,r10_changed_final_0020,spatial_flow_belief_memory_h3,no_memory_baseline,3,0.0,0.0,0.0,11.155158716118,10.638993777701724,0.5161649384162761,10,10,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,17,r10_changed_final_0017,spatial_flow_belief_memory_h3,no_memory_baseline,3,-100.0,-100.0,0.0,9.967928902431552,9.597336395382229,0.37059250704932367,8,8,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,13,r10_changed_final_0013,spatial_flow_belief_memory_h3,no_memory_baseline,3,129.99311612216303,129.99311612216303,0.0,13.638547354757051,13.13628011117576,0.5022672435812918,11,11,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,21,r10_changed_final_0021,spatial_flow_belief_memory_h3,no_memory_baseline,3,120.02586319489345,120.02586319489345,0.0,14.229200342660894,13.840175021785914,0.3890253208749801,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,25,r10_changed_final_0025,spatial_flow_belief_memory_h3,no_memory_baseline,3,115.70142256811032,115.70142256811032,0.0,13.933947842737616,13.42988022359099,0.5040676191466265,11,11,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,14,r10_changed_final_0014,spatial_flow_belief_memory_h3,no_memory_baseline,3,-100.0,-100.0,0.0,12.585571876147757,11.945992993313842,0.6395788828339146,13,13,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,18,r10_changed_final_0018,spatial_flow_belief_memory_h3,no_memory_baseline,3,0.0,0.0,0.0,9.83690738987658,9.307354206068084,0.5295531838084973,11,11,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,38,r10_changed_final_0038,spatial_flow_belief_memory_h30,no_memory_baseline,30,0.0,0.0,0.0,6.20012843354231,5.4695097156159065,0.7306187179264034,12,12,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,23,r10_changed_final_0023,spatial_flow_belief_memory_h3,no_memory_baseline,3,-40.0,-40.0,0.0,0.0,0.0,0.0,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,22,r10_changed_final_0022,spatial_flow_belief_memory_h3,no_memory_baseline,3,120.02013441487726,120.02013090220115,3.512676116201874e-06,11.443445300129353,10.982860411523152,0.46058488860620095,10,10,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,26,r10_changed_final_0026,spatial_flow_belief_memory_h3,no_memory_baseline,3,131.60451528106682,131.60451528106682,0.0,13.167328655185422,12.824415505890562,0.3429131492948603,8,8,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,30,r10_changed_final_0030,spatial_flow_belief_memory_h3,no_memory_baseline,3,120.0,120.0,0.0,11.559223209768545,11.12641663715196,0.4328065726165846,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,19,r10_changed_final_0019,spatial_flow_belief_memory_h3,no_memory_baseline,3,158.5376420551387,158.62652127870996,-0.08887922357126854,13.283106276831957,12.487979101400922,0.7951271754310341,15,15,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,31,r10_changed_final_0031,spatial_flow_belief_memory_h3,no_memory_baseline,3,120.00263038529981,120.00263038529981,0.0,14.86889888995444,14.458700609001044,0.41019828095339683,10,10,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,28,r10_changed_final_0028,spatial_flow_belief_memory_h3,no_memory_baseline,3,121.08794747802281,121.08794747802281,0.0,11.86628643234205,11.432245958881493,0.4340404734605574,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,27,r10_changed_final_0027,spatial_flow_belief_memory_h3,no_memory_baseline,3,120.04154656002753,120.04154656002753,0.0,13.286214862310743,12.716583272559022,0.5696315897517206,12,12,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,35,r10_changed_final_0035,spatial_flow_belief_memory_h3,no_memory_baseline,3,0.0,0.0,0.0,7.8139132761263825,7.249943775037843,0.5639695010885397,11,11,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,29,r10_changed_final_0029,spatial_flow_belief_memory_h3,no_memory_baseline,3,-100.0,-100.0,0.0,8.166519676210275,7.7971414545545725,0.369378221655702,7,7,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
