parameter,old_value,new_value,reason,stage_id
maximum_hard_failure_risk,0.55,0.45000000000000007,hard_failure_rate_above_stage_profile_tighten_admission,R10
hard_failure_weight,-1.25,-1.5625,hard_failure_rate_above_stage_profile_penalise_risk_more,R10
terminal_hard_failure_weight,-1.171875,-1.46484375,hard_failure_rate_above_stage_profile_penalise_terminal_risk_more,R10
exploration_bonus_weight,0.005,0.0025,hard_failure_rate_above_stage_profile_reduce_exploration_bonus,R10
memory_switch_min_confidence,0.25,0.3,hard_failure_rate_above_stage_profile_require_stronger_memory_confidence,R10
memory_switch_min_score_margin,0.006,0.0085,hard_failure_rate_above_stage_profile_require_stronger_memory_score_margin,R10
memory_switch_max_base_score_drop,0.0675,0.050625,hard_failure_rate_above_stage_profile_tighten_baseline_non_regression,R10
memory_objective_score_cap,0.11250000000000002,0.084375,hard_failure_rate_above_stage_profile_cap_aggressive_memory_objective,R10
memory_objective_min_confidence,0.25,0.3,hard_failure_rate_above_stage_profile_require_stronger_memory_objective_confidence,R10
memory_objective_max_base_score_drop,0.10125,0.0759375,hard_failure_rate_above_stage_profile_tighten_memory_objective_baseline_tradeoff,R10
memory_switch_max_transition_success_drop,0.005,0.0025,hard_failure_rate_above_stage_profile_tighten_transition_non_regression,R10
exploration_switch_min_uncertainty,0.6500000000000001,0.7000000000000002,hard_failure_rate_above_stage_profile_make_exploration_more_selective,R10
exploration_switch_max_base_score_drop,0.0025,0.00125,hard_failure_rate_above_stage_profile_reduce_exploration_base_score_drop,R10
adaptive_switch_max_path_exit_margin_drop_m,0.028125000000000004,0.02109375,hard_failure_rate_above_stage_profile_tighten_path_exit_margin_shield,R10
candidate_path_memory_residual_cap_m,0.541875,0.46059374999999997,hard_failure_rate_above_stage_profile_cap_memory_residual_effect,R10
candidate_path_memory_specific_energy_residual_cap_m,0.7224999999999999,0.6141249999999999,hard_failure_rate_above_stage_profile_cap_specific_energy_residual_effect,R10
flow_region_attraction_weight,0.768,0.6144000000000001,hard_failure_rate_above_stage_profile_reduce_reachable_flow_attraction_weight,R10
flow_region_attraction_score_cap,0.13005,0.1105425,hard_failure_rate_above_stage_profile_cap_reachable_flow_attraction_score,R10
flow_region_attraction_min_confidence,0.25,0.3,hard_failure_rate_above_stage_profile_require_stronger_reachable_flow_confidence,R10
flow_region_attraction_max_base_score_drop,0.10125,0.0759375,hard_failure_rate_above_stage_profile_tighten_reachable_flow_base_score_drop,R10
memory_information_gain_weight,0.10125,0.0759375,hard_failure_rate_above_stage_profile_reduce_information_gain_weight,R10
memory_information_gain_score_cap,0.0675,0.050625,hard_failure_rate_above_stage_profile_cap_information_gain_score,R10
memory_information_gain_max_base_score_drop,0.07875000000000001,0.05906250000000001,hard_failure_rate_above_stage_profile_tighten_information_gain_base_score_drop,R10
