r_m,w_mps,n,alpha,sigma_mps
0.0,0.9175,4,0.28867513459481287,0.8681928244571409
0.3,3.4799999999999995,16,0.5773502691896257,0.8403045648706312
0.6,1.723875,16,0.5773502691896257,0.81012224493962
0.8999999999999999,0.5537708333333334,48,1.0,0.7335137548886977
1.2,0.44925,40,0.9128709291752769,0.22563094517483123
1.5,0.34706250000000005,16,0.5773502691896257,0.19673726046804535
1.7999999999999998,0.07426666666666666,15,0.5590169943749475,0.30090990188239247
2.1,0.12114285714285714,14,0.5400617248673217,0.24766274714986816
2.4,0.0,0,0.0,0.24766274714986816
2.6999999999999997,0.0,0,0.0,0.5545810446236785
3.0,0.12395000000000003,20,0.6454972243679028,0.5545810446236785
3.3,0.01983333333333333,6,0.3535533905932738,0.374129425417466
