r_m,w_mps,n,alpha,sigma_mps
0.0,1.16425,4,0.28867513459481287,0.2000624247224074
0.3,1.01025,16,0.5773502691896257,0.1993760608750787
0.6,1.0470000000000002,16,0.5773502691896257,0.20223913009977978
0.8999999999999999,0.7211458333333333,48,1.0,0.2022587084393327
1.2,0.5513999999999999,40,0.9128709291752769,0.18156867385206749
1.5,0.5018125,16,0.5773502691896257,0.1749391478232702
1.7999999999999998,0.3203333333333333,15,0.5590169943749475,0.2584366517772578
2.1,0.09442857142857143,14,0.5400617248673217,0.21941425134789366
2.4,0.0,0,0.0,0.21941425134789366
2.6999999999999997,0.0,0,0.0,0.18083590133049304
3.0,0.23830000000000004,20,0.6454972243679028,0.18083590133049304
3.3,0.25900000000000006,6,0.3535533905932738,0.1756714250403304
