parameter,value,applied_to_replay,description
attached_cm_bias_coeff,0.02194362112,False,Attached-regime Cm residual. Report-only by default.
transition_cm_bias_coeff,0.0564034777,False,All-transition aggregate Cm diagnostic. Not applied to replay.
transition_before_post_stall_cm_bias_coeff,0.05798492121,False,Transition Cm diagnostic before first post-stall exposure in each throw.
transition_after_post_stall_cm_bias_coeff,-0.105133387,False,Transition Cm diagnostic after the throw has already entered post-stall.
post_stall_lift_residual_coeff,0.004041575628,True,Positive-AoA whole-aircraft CL residual.
post_stall_drag_residual_coeff,-0.1073430459,True,Positive-AoA whole-aircraft CD residual.
post_stall_pitch_moment_coeff,-0.1332921261,True,Positive-AoA post-stall Cm residual.
post_stall_pitch_damping_coeff,0,False,Positive-AoA Cmq-style residual using q_hat = q c / (2V). Opt-in because it is derivative-sensitive.
post_stall_residual_blend_start_alpha_deg,16,True,Residual activation start alpha fitted after attached and post-stall coefficients.
post_stall_residual_blend_full_alpha_deg,20,True,Residual activation full-alpha point fitted from transition behaviour while preserving post-stall full activation.
