stage_id,status,stage_run_root,blocked_reason,duration_s,docs_alignment_status
R5,passed,03_Control/05_Results/R5_dense/E02,,1717.767,aligned
R7,passed,03_Control/05_Results/R7_survival/E02,,3696.134,aligned
R8,passed,03_Control/05_Results/R8_library_size_study/E02,,305.628,aligned
R10,passed,03_Control/05_Results/R10_learn/E02,,3301.311,aligned
