timestamp_utc,stage_id,check_id,passed,observed,required
2026-06-05T13:08:41.367705+00:00,PIPELINE,source_audit_ready,True,ready,ready
2026-06-05T13:08:41.381714+00:00,R5,primitive_horizon_exact_0p100s,True,0.1,0.1
2026-06-05T13:08:41.381714+00:00,R5,controller_input_slots_exact_5,True,5,5
2026-06-05T13:08:41.381714+00:00,R5,controller_update_period_exact_0p020s,True,0.02,0.02
2026-06-05T13:08:41.381714+00:00,R5,primitive_timing_contract_v411,True,v411_0p10s_5slot_20ms,v411_0p10s_5slot_20ms
2026-06-05T13:38:14.211887+00:00,PIPELINE,source_audit_ready,True,ready,ready
2026-06-05T13:38:14.225402+00:00,R7,primitive_horizon_exact_0p100s,True,0.1,0.1
2026-06-05T13:38:14.225402+00:00,R7,controller_input_slots_exact_5,True,5,5
2026-06-05T13:38:14.225402+00:00,R7,controller_update_period_exact_0p020s,True,0.02,0.02
2026-06-05T13:38:14.225402+00:00,R7,primitive_timing_contract_v411,True,v411_0p10s_5slot_20ms,v411_0p10s_5slot_20ms
2026-06-05T13:38:14.225402+00:00,R7,previous_stage_R5_passed,True,True,True
2026-06-05T13:38:14.225402+00:00,R7,R5_frozen_bundle_root_available,True,03_Control/05_Results/R5_dense/E02,nonempty
2026-06-05T14:40:43.137562+00:00,PIPELINE,source_audit_ready,True,ready,ready
2026-06-05T14:40:43.150078+00:00,R8,primitive_horizon_exact_0p100s,True,0.1,0.1
2026-06-05T14:40:43.150078+00:00,R8,controller_input_slots_exact_5,True,5,5
2026-06-05T14:40:43.150078+00:00,R8,controller_update_period_exact_0p020s,True,0.02,0.02
2026-06-05T14:40:43.150078+00:00,R8,primitive_timing_contract_v411,True,v411_0p10s_5slot_20ms,v411_0p10s_5slot_20ms
2026-06-05T14:40:43.150078+00:00,R8,previous_stage_R7_passed,True,True,True
2026-06-05T14:46:39.216028+00:00,PIPELINE,source_audit_ready,True,ready,ready
2026-06-05T14:46:39.229030+00:00,R10,primitive_horizon_exact_0p100s,True,0.1,0.1
2026-06-05T14:46:39.229030+00:00,R10,controller_input_slots_exact_5,True,5,5
2026-06-05T14:46:39.229030+00:00,R10,controller_update_period_exact_0p020s,True,0.02,0.02
2026-06-05T14:46:39.229030+00:00,R10,primitive_timing_contract_v411,True,v411_0p10s_5slot_20ms,v411_0p10s_5slot_20ms
2026-06-05T14:46:39.229030+00:00,R10,previous_stage_R8_passed,True,True,True
2026-06-05T14:46:39.229030+00:00,R10,R8_library_and_outcome_available,True,"{""library_size_case_ids"": [""heavy_cluster"", ""balanced_cluster"", ""light_cluster"", ""super_light_cluster"", ""no_cluster_no_merge""], ""manifest"": ""03_Control/05_Results/R8_library_size_study/E02/manifests/post_w3_library_size_study_manifest.json"", ""outcome_model_table"": ""03_Control/05_Results/R8_outcome/E02/metrics/outcome_model_table.csv"", ""outcome_run_root"": ""03_Control/05_Results/R8_outcome/E02"", ""outcome_status"": ""complete"", ""representative_count"": 2371, ""run_root"": ""03_Control/05_Results/R8_library_size_study/E02"", ""status"": ""complete""}",library_root_and_outcome_root
2026-06-05T14:46:39.229030+00:00,R10,R9_initial_governor_config_for_R10_optional_internal_preflight_only,True,,optional_not_active_gate
