time_s,u_norm_requested_delta_a_norm,u_norm_requested_delta_e_norm,u_norm_requested_delta_r_norm,u_norm_applied_delta_a_norm,u_norm_applied_delta_e_norm,u_norm_applied_delta_r_norm,delta_cmd_rad_delta_a_cmd,delta_cmd_rad_delta_e_cmd,delta_cmd_rad_delta_r_cmd
0.0,-0.5445,-0.006644230752501899,-0.162,-0.5445,-0.006644230752501899,-0.162,-0.24708626220483723,-0.003478911086802558,-0.09896016858807849
0.02,-0.4098001797476015,-0.06553947061460681,-0.14487481965201615,-0.4098001797476015,-0.06553947061460681,-0.14487481965201615,-0.18596142270836605,-0.034316386567168816,-0.08849899121562337
0.04,-0.3022281738511722,-0.09767198292744692,-0.13017098724324383,-0.3022281738511722,-0.09767198292744692,-0.13017098724324383,-0.1371467948758124,-0.05114093067106916,-0.07951693112881496
0.06,-0.23170596547442374,-0.10988757813501793,-0.11737926656227324,-0.23170596547442374,-0.10988757813501793,-0.11737926656227324,-0.10514483184506597,-0.057537001364957784,-0.07170291362807138
0.08,-0.19135497188224507,-0.10964158473281226,-0.10640788804186044,-0.19135497188224507,-0.10964158473281226,-0.10640788804186044,-0.08683413178456503,-0.05740819952075763,-0.06500087987483882
0.1,-0.1707114005959107,-0.1031226643878925,-0.09716159357360409,-0.1707114005959107,-0.1031226643878925,-0.09716159357360409,-0.07746637628833095,-0.05399490080993481,-0.059352640002038416
0.12,-0.16085799017247815,-0.09465361742129544,-0.08951567317814738,-0.16085799017247815,-0.09465361742129544,-0.08951567317814738,-0.07299504047291105,-0.0495605181877401,-0.05468201301842469
0.14,-0.15577333091899812,-0.08677787039695191,-0.08335952837436174,-0.15577333091899812,-0.08677787039695191,-0.08335952837436174,-0.07068769529471525,-0.04543678668887188,-0.050921438156478704
0.16,-0.15205452726539634,-0.08065587344785108,-0.0786020381537953,-0.15205452726539634,-0.08065587344785108,-0.0786020381537953,-0.06900015572696105,-0.04223131658210617,-0.04801525275966765
0.18,-0.14813952800615093,-0.07652677195491193,-0.07515380155268031,-0.14813952800615093,-0.07652677195491193,-0.07515380155268031,-0.06722358541749979,-0.040069324096082125,-0.04590884488696444
0.2,-0.1435479054675554,-0.0741136249333787,-0.07291038877345388,-0.1435479054675554,-0.0741136249333787,-0.07291038877345388,-0.0651399732035107,-0.03880580327026864,-0.0445384220052058
0.22,-0.13832448184625018,-0.07292595795447139,-0.07174553920904017,-0.13832448184625018,-0.07292595795447139,-0.07174553920904017,-0.06276965875263694,-0.03818394229429424,-0.04382685589857537
0.24,-0.13270060431574054,-0.07245513949166171,-0.07151316181731118,-0.13270060431574054,-0.07245513949166171,-0.07151316181731118,-0.06021762408209261,-0.037937422323638025,-0.04368490462782501
0.26,-0.12692158089161487,-0.07227923501553912,-0.07205419280103123,-0.12692158089161487,-0.07227923501553912,-0.07205419280103123,-0.057595186438269996,-0.03784531895531798,-0.04401540164856766
0.28,-0.12117855697614964,-0.07210193832795289,-0.07320496908673114,-0.12117855697614964,-0.07210193832795289,-0.07320496908673114,-0.05498908485328323,-0.03775248662678019,-0.04471837087844437
0.3,-0.11559577133132456,-0.07175005419774919,-0.07480507145106885,-0.11559577133132456,-0.07175005419774919,-0.07480507145106885,-0.05245569708896615,-0.03756824052705306,-0.045695817790376736
0.32,-0.11024142774749425,-0.07114969444624042,-0.07670363440781261,-0.11024142774749425,-0.07114969444624042,-0.07670363440781261,-0.050025973043623474,-0.03725389289624457,-0.04685558390318193
0.34,-0.10514474529233864,-0.07029555831511969,-0.07876379734714972,-0.10514474529233864,-0.07029555831511969,-0.07876379734714972,-0.04771317190957504,-0.036806668263795486,-0.04811406582784682
0.36,-0.10031129225166646,-0.06922208399004007,-0.08086537090022006,-0.10031129225166646,-0.06922208399004007,-0.08086537090022006,-0.04551982049476826,-0.036244598421547584,-0.04939784405693378
0.38,-0.0957341124638346,-0.06798075892331458,-0.08290599989586141,-0.0957341124638346,-0.06798075892331458,-0.08290599989586141,-0.04344276219317982,-0.03559464213649064,-0.05064439337443002
0.4,-0.09140072214160118,-0.06662474897271602,-0.08480118057515651,-0.09140072214160118,-0.06662474897271602,-0.08480118057515651,-0.04147633204185701,-0.03488463698665813,-0.051802093371515895
0.42,-0.08729697374975551,-0.06520015930953718,-0.08648348240647204,-0.08729697374975551,-0.06520015930953718,-0.08648348240647204,-0.03961411009296764,-0.0341387235832877,-0.052829753080423404
0.44,-0.08340888396878748,-0.0637423929679036,-0.08790127250164947,-0.08340888396878748,-0.0637423929679036,-0.08790127250164947,-0.03784975091740068,-0.03337543891169994,-0.05369583176462877
0.46,-0.07972330294399596,-0.06227589764954945,-0.08901717200920634,-0.07972330294399596,-0.06227589764954945,-0.08901717200920634,-0.03617728730037807,-0.03260758375858907,-0.05437749598311754
0.48,-0.0762280172458094,-0.060815797351610634,-0.08980640713669658,-0.0762280172458094,-0.060815797351610634,-0.08980640713669658,-0.034591176963366235,-0.0318430770303376,-0.0548596122872661
0.5,-0.07291163647723395,-0.05937027508584908,-0.09025516172172725,-0.07291163647723395,-0.05937027508584908,-0.09025516172172725,-0.033086251108168235,-0.031086203341884763,-0.055133740863743314
0.52,-0.069763442254351,-0.05794296526207515,-0.09035899624901507,-0.069763442254351,-0.05794296526207515,-0.09035899624901507,-0.031657645886447365,-0.030338865665757317,-0.055197169766988165
0.54,-0.06677327263954798,-0.05653495165240224,-0.09012136898032687,-0.06677327263954798,-0.05653495165240224,-0.09012136898032687,-0.030300749957190884,-0.029601631463706837,-0.0550520115288986
0.56,-0.0639314581270336,-0.05514621766226603,-0.08955227592839826,-0.0639314581270336,-0.05514621766226603,-0.08955227592839826,-0.02901117543785821,-0.028874492046839777,-0.0547043723661754
0.58,-0.06122879979643123,-0.053776557638389,-0.0886670149607844,-0.06122879979643123,-0.053776557638389,-0.0886670149607844,-0.027784747990796128,-0.028157339735351828,-0.05416359721432655
0.6,-0.058656572779339486,-0.05242604473858566,-0.08748507289411028,-0.058656572779339486,-0.05242604473858566,-0.08748507289411028,-0.02661750839631404,-0.02745021283458509,-0.05344158989223142
0.62,-0.05620653954931346,-0.05109518229958273,-0.0860291311279934,-0.05620653954931346,-0.05109518229958273,-0.0860291311279934,-0.025505718583486173,-0.02675337489103339,-0.052552205678469986
0.64,-0.053870962180530974,-0.04978486158830504,-0.08432418383886514,-0.053870962180530974,-0.04978486158830504,-0.08432418383886514,-0.024445867192957844,-0.0260672925709673,-0.05151071264658159
