time_s,u_norm_requested_delta_a_norm,u_norm_requested_delta_e_norm,u_norm_requested_delta_r_norm,u_norm_applied_delta_a_norm,u_norm_applied_delta_e_norm,u_norm_applied_delta_r_norm,delta_cmd_rad_delta_a_cmd,delta_cmd_rad_delta_e_cmd,delta_cmd_rad_delta_r_cmd
0.0,-0.07500000000000001,-0.03687233330827687,-0.181,-0.07500000000000001,-0.03687233330827687,-0.181,-0.03403392041388943,-0.01930630857366614,-0.11056660811384078
0.02,-0.041925676630477575,-0.03592095313530898,-0.18770541713467614,-0.041925676630477575,-0.03592095313530898,-0.18770541713467614,-0.01902526855653517,-0.018808167079971655,-0.11466271434903177
0.04,-0.022928879656222485,-0.033664777169774895,-0.18964769810378052,-0.022928879656222485,-0.033664777169774895,-0.18964769810378052,-0.010404795538660326,-0.0176268361068837,-0.1158491862758712
0.06,-0.014279674737710142,-0.03100120491189591,-0.18753668391585376,-0.014279674737710142,-0.03100120491189591,-0.18753668391585376,-0.006479910847459391,-0.016232192933940667,-0.11455964109112392
0.08,-0.011953678120499925,-0.028521331460602803,-0.18207076859643284,-0.011953678120499925,-0.028521331460602803,-0.18207076859643284,-0.00542440706408461,-0.014933734231204868,-0.11122070342755568
0.1,-0.012808677248649918,-0.02652596550033413,-0.1739346691481096,-0.012808677248649918,-0.02652596550033413,-0.1739346691481096,-0.005812393361169966,-0.013888963057537666,-0.10625064310005296
0.12,-0.014816260534332819,-0.025095308272034857,-0.16378747424988768,-0.014816260534332819,-0.025095308272034857,-0.16378747424988768,-0.006723405758092453,-0.013139872684499312,-0.10005207447150895
0.14,-0.016877736634387283,-0.02417241664352516,-0.1522388346210488,-0.016877736634387283,-0.02417241664352516,-0.1522388346210488,-0.007658873938417637,-0.012656647757801714,-0.09299741197377526
0.16,-0.01852369400331474,-0.023636063687691007,-0.13982907428424987,-0.01852369400331474,-0.023636063687691007,-0.13982907428424987,-0.008405785699734063,-0.012375814006838425,-0.08541672076965628
0.18,-0.019642795524754633,-0.023352748370508134,-0.12701880170256524,-0.019642795524754633,-0.023352748370508134,-0.12701880170256524,-0.008913617861277368,-0.012227470453653227,-0.07759137055766399
0.2,-0.02028939538677201,-0.0232071142662344,-0.11418722577015351,-0.02028939538677201,-0.0232071142662344,-0.11418722577015351,-0.009207035571191118,-0.012151216614970145,-0.06975300686925538
0.22,-0.020569447760660508,-0.0231149085617014,-0.10163645819530914,-0.020569447760660508,-0.0231149085617014,-0.10163645819530914,-0.00933411930725301,-0.012102937820973488,-0.06208617924508015
0.24,-0.02058480288347239,-0.023024132098440023,-0.08959905436271019,-0.02058480288347239,-0.023024132098440023,-0.08959905436271019,-0.009341087240956013,-0.012055407375956688,-0.05473294768559389
0.26,-0.020413540578347763,-0.02290963812752572,-0.07824678967656214,-0.020413540578347763,-0.02290963812752572,-0.07824678967656214,-0.009263370872122534,-0.01199545847297257,-0.04779824381400313
0.28,-0.02010873519826272,-0.02276521147837753,-0.06769946944112123,-0.02010873519826272,-0.02276521147837753,-0.06769946944112123,-0.009125054578155338,-0.011919836856314814,-0.041355252526029784
0.3,-0.01970433705044588,-0.022595759596653123,-0.05803317458458477,-0.01970433705044588,-0.022595759596653123,-0.05803317458458477,-0.008941544519777703,-0.011831112058521087,-0.035450449015999384
0.32,-0.019222124121508127,-0.02241101683573135,-0.04928771877579546,-0.019222124121508127,-0.02241101683573135,-0.04928771877579546,-0.008722723233830824,-0.011734380975101799,-0.030108154070213087
0.34,-0.018677207495472983,-0.022221244786427723,-0.04147328462650694,-0.018677207495472983,-0.022221244786427723,-0.04147328462650694,-0.008475447912728354,-0.011635016562443638,-0.025334587892225254
0.36,-0.018081540617455354,-0.02203482385392883,-0.03457628487064873,-0.018081540617455354,-0.02203482385392883,-0.03457628487064873,-0.008205142857799795,-0.011537406790441324,-0.02112145049351127
0.38,-0.017445756193878982,-0.02185732850662766,-0.02856451377137884,-0.017445756193878982,-0.02185732850662766,-0.02856451377137884,-0.007916633038167944,-0.011444470443920038,-0.017449068508963824
0.4,-0.016779893972244754,-0.021691586483021674,-0.02339164984796207,-0.016779893972244754,-0.021691586483021674,-0.02339164984796207,-0.007614474346731744,-0.01135768812329476,-0.01428914575621992
0.42,-0.016093523940311202,-0.021538263229051623,-0.01900116168094231,-0.016093523940311202,-0.021538263229051623,-0.01900116168094231,-0.007303009506181009,-0.011277408255245293,-0.011607149156267826
0.44,-0.015395615397079863,-0.021396620352408167,-0.015329661328758667,-0.015395615397079863,-0.021396620352408167,-0.015329661328758667,-0.0069863086552942235,-0.011203244218462556,-0.009364357219087068
0.46,-0.014694353119587325,-0.021265221775711253,-0.01230974625028916,-0.014694353119587325,-0.021265221775711253,-0.01230974625028916,-0.006668085928074971,-0.011134444084588694,-0.0075195960753400145
0.48,-0.013996993391161828,-0.02114247282712325,-0.009872369712116273,-0.013996993391161828,-0.02114247282712325,-0.009872369712116273,-0.006351634121447172,-0.01107017288540204,-0.0060306874757707785
0.5,-0.013309787595590877,-0.021026960914152928,-0.007948780100890509,-0.013309787595590877,-0.021026960914152928,-0.007948780100890509,-0.006039790023388168,-0.011009690989203761,-0.004855633449714125
0.52,-0.012637969030244459,-0.020917618568256486,-0.006472070255424121,-0.012637969030244459,-0.020917618568256486,-0.006472070255424121,-0.005734928428913856,-0.010952439470771338,-0.003953562738213946
0.54,-0.011985787086802247,-0.020813754593145883,-0.005378378219421871,-0.011985787086802247,-0.020813754593145883,-0.005378378219421871,-0.0054389776508006835,-0.010898056420574653,-0.003285464292126159
0.56,-0.011356572044385092,-0.020715004164478166,-0.004607780411740156,-0.011356572044385092,-0.020715004164478166,-0.004607780411740156,-0.00515344892177605,-0.010846350817034429,-0.0028147328787818
0.58,-0.010752817012639087,-0.020621241856232625,-0.00410491708068773,-0.010752817012639087,-0.020621241856232625,-0.00410491708068773,-0.004879473579110332,-0.010797256987239795,-0.0025075511502774123
0.6,-0.010176267627404607,-0.02053248934627237,-0.0038193881442382303,-0.010176267627404607,-0.02053248934627237,-0.0038193881442382303,-0.00461784376722037,-0.010750786281693328,-0.0023331314485007626
0.62,-0.009628013497293295,-0.020448836688816363,-0.0037059552592039243,-0.009628013497293295,-0.020448836688816363,-0.0037059552592039243,-0.004369053934809776,-0.01070698585267382,-0.002263839242164793
0.64,-0.009108577777263293,-0.020370385274715595,-0.0037245833529323514,-0.009108577777263293,-0.020370385274715595,-0.0037245833529323514,-0.00413334148206801,-0.010665908788306703,-0.0022752184970773835
