policy_id,memory_lambda,W_layer,environment_mode,episode_count,mean_episode_duration_s,mean_primitive_count_per_episode,continuation_valid_rate,terminal_useful_rate,hard_failure_rate,mean_energy_residual_m,mean_lift_dwell_time_s,mean_min_wall_margin_m,floor_or_ceiling_violation_count,low_speed_count,no_viable_primitive_count,x_y_terminal_count,governor_rejection_count,prediction_actual_agreement_rate
context_only_without_memory,0.0,W0,dry_air,43,0.6383720930232558,1.0465116279069768,0.0,0.0,0.8372093023255814,-0.6244073729899899,0.0,0.0990516397278293,0,0,7,0,1351,0.5232558139534884
context_only_without_memory,0.0,W1,gaussian_four,43,0.6581395348837209,1.069767441860465,0.0,0.2558139534883721,0.4883720930232558,-0.3478566307214212,0.3237209302325582,0.0783500999350071,0,0,11,11,1508,0.5271317829457364
context_only_without_memory,0.0,W1,gaussian_single,43,0.5546511627906976,0.9069767441860463,0.0,0.1860465116279069,0.5116279069767442,-0.4537713017217923,0.0888372093023256,0.0558323882770617,0,0,13,8,1549,0.4922480620155038
context_only_without_memory,0.0,W2,annular_gp_four,43,0.7441860465116279,1.2093023255813953,0.0,0.2790697674418604,0.5581395348837209,-0.5042945091110408,0.3455813953488373,0.1154460840365225,0,0,7,12,1386,0.5891472868217054
context_only_without_memory,0.0,W2,annular_gp_single,42,0.6452380952380953,1.0476190476190477,0.0,0.2142857142857142,0.5,-0.4749658187461992,0.1038095238095238,0.0501676522290538,0,0,12,9,1516,0.492063492063492
context_only_without_memory,0.0,W3,w3_randomised_four,43,0.4988372093023255,0.813953488372093,0.0,0.1395348837209302,0.4651162790697674,-0.2270272221311806,0.2065116279069768,0.0532680159462879,0,0,17,6,1681,0.4069767441860465
context_only_without_memory,0.0,W3,w3_randomised_single,43,0.6430232558139535,1.0465116279069768,0.0,0.2325581395348837,0.5116279069767442,-0.5314705145187218,0.1102325581395349,0.098719718279623,0,0,11,10,1503,0.5232558139534884
context_plus_memory_lambda_0_5,0.5,W0,dry_air,43,0.6383720930232558,1.0465116279069768,0.0,0.0,0.8372093023255814,-0.6244073729899899,0.0,0.0990516397278293,0,0,7,0,1351,0.5232558139534884
context_plus_memory_lambda_0_5,0.5,W1,gaussian_four,43,0.6581395348837209,1.069767441860465,0.0,0.2558139534883721,0.4883720930232558,-0.3478566307214212,0.3237209302325582,0.0783500999350071,0,0,11,11,1508,0.5271317829457364
context_plus_memory_lambda_0_5,0.5,W1,gaussian_single,43,0.5546511627906976,0.9069767441860463,0.0,0.1860465116279069,0.5116279069767442,-0.4537713017217923,0.0888372093023256,0.0558323882770617,0,0,13,8,1549,0.4922480620155038
context_plus_memory_lambda_0_5,0.5,W2,annular_gp_four,43,0.7441860465116279,1.2093023255813953,0.0,0.2790697674418604,0.5581395348837209,-0.5042945091110408,0.3455813953488373,0.1154460840365225,0,0,7,12,1386,0.5891472868217054
context_plus_memory_lambda_0_5,0.5,W2,annular_gp_single,42,0.6452380952380953,1.0476190476190477,0.0,0.2142857142857142,0.5,-0.4749658187461992,0.1038095238095238,0.0501676522290538,0,0,12,9,1516,0.492063492063492
context_plus_memory_lambda_0_5,0.5,W3,w3_randomised_four,43,0.4988372093023255,0.813953488372093,0.0,0.1395348837209302,0.4651162790697674,-0.2270272221311806,0.2065116279069768,0.0532680159462879,0,0,17,6,1681,0.4069767441860465
context_plus_memory_lambda_0_5,0.5,W3,w3_randomised_single,43,0.6430232558139535,1.0465116279069768,0.0,0.2325581395348837,0.5116279069767442,-0.5314705145187218,0.1102325581395349,0.098719718279623,0,0,11,10,1503,0.5232558139534884
context_plus_memory_lambda_0_8,0.8,W0,dry_air,43,0.6383720930232558,1.0465116279069768,0.0,0.0,0.8372093023255814,-0.6244073729899899,0.0,0.0990516397278293,0,0,7,0,1351,0.5232558139534884
context_plus_memory_lambda_0_8,0.8,W1,gaussian_four,43,0.6581395348837209,1.069767441860465,0.0,0.2558139534883721,0.4883720930232558,-0.3478566307214212,0.3237209302325582,0.0783500999350071,0,0,11,11,1508,0.5271317829457364
context_plus_memory_lambda_0_8,0.8,W1,gaussian_single,43,0.5546511627906976,0.9069767441860463,0.0,0.1860465116279069,0.5116279069767442,-0.4537713017217923,0.0888372093023256,0.0558323882770617,0,0,13,8,1549,0.4922480620155038
context_plus_memory_lambda_0_8,0.8,W2,annular_gp_four,43,0.7441860465116279,1.2093023255813953,0.0,0.2790697674418604,0.5581395348837209,-0.5042945091110408,0.3455813953488373,0.1154460840365225,0,0,7,12,1386,0.5891472868217054
context_plus_memory_lambda_0_8,0.8,W2,annular_gp_single,42,0.6452380952380953,1.0476190476190477,0.0,0.2142857142857142,0.5,-0.4749658187461992,0.1038095238095238,0.0501676522290538,0,0,12,9,1516,0.492063492063492
context_plus_memory_lambda_0_8,0.8,W3,w3_randomised_four,43,0.4988372093023255,0.813953488372093,0.0,0.1395348837209302,0.4651162790697674,-0.2270272221311806,0.2065116279069768,0.0532680159462879,0,0,17,6,1681,0.4069767441860465
context_plus_memory_lambda_0_8,0.8,W3,w3_randomised_single,43,0.6430232558139535,1.0465116279069768,0.0,0.2325581395348837,0.5116279069767442,-0.5314705145187218,0.1102325581395349,0.098719718279623,0,0,11,10,1503,0.5232558139534884
context_plus_memory_lambda_0_95,0.95,W0,dry_air,43,0.6383720930232558,1.0465116279069768,0.0,0.0,0.8372093023255814,-0.6244073729899899,0.0,0.0990516397278293,0,0,7,0,1351,0.5232558139534884
context_plus_memory_lambda_0_95,0.95,W1,gaussian_four,43,0.6581395348837209,1.069767441860465,0.0,0.2558139534883721,0.4883720930232558,-0.3478566307214212,0.3237209302325582,0.0783500999350071,0,0,11,11,1508,0.5271317829457364
context_plus_memory_lambda_0_95,0.95,W1,gaussian_single,43,0.5546511627906976,0.9069767441860463,0.0,0.1860465116279069,0.5116279069767442,-0.4537713017217923,0.0888372093023256,0.0558323882770617,0,0,13,8,1549,0.4922480620155038
context_plus_memory_lambda_0_95,0.95,W2,annular_gp_four,43,0.7441860465116279,1.2093023255813953,0.0,0.2790697674418604,0.5581395348837209,-0.5042945091110408,0.3455813953488373,0.1154460840365225,0,0,7,12,1386,0.5891472868217054
context_plus_memory_lambda_0_95,0.95,W2,annular_gp_single,42,0.6452380952380953,1.0476190476190477,0.0,0.2142857142857142,0.5,-0.4749658187461992,0.1038095238095238,0.0501676522290538,0,0,12,9,1516,0.492063492063492
context_plus_memory_lambda_0_95,0.95,W3,w3_randomised_four,43,0.4988372093023255,0.813953488372093,0.0,0.1395348837209302,0.4651162790697674,-0.2270272221311806,0.2065116279069768,0.0532680159462879,0,0,17,6,1681,0.4069767441860465
context_plus_memory_lambda_0_95,0.95,W3,w3_randomised_single,43,0.6430232558139535,1.0465116279069768,0.0,0.2325581395348837,0.5116279069767442,-0.5314705145187218,0.1102325581395349,0.098719718279623,0,0,11,10,1503,0.5232558139534884
no_memory_baseline,0.0,W0,dry_air,43,0.6383720930232558,1.0465116279069768,0.0,0.0,0.8372093023255814,-0.6244073729899899,0.0,0.0990516397278293,0,0,7,0,1351,0.5232558139534884
no_memory_baseline,0.0,W1,gaussian_four,43,0.6581395348837209,1.069767441860465,0.0,0.2558139534883721,0.4883720930232558,-0.3478566307214212,0.3237209302325582,0.0783500999350071,0,0,11,11,1508,0.5271317829457364
no_memory_baseline,0.0,W1,gaussian_single,43,0.5546511627906976,0.9069767441860463,0.0,0.1860465116279069,0.5116279069767442,-0.4537713017217923,0.0888372093023256,0.0558323882770617,0,0,13,8,1549,0.4922480620155038
no_memory_baseline,0.0,W2,annular_gp_four,43,0.7441860465116279,1.2093023255813953,0.0,0.2790697674418604,0.5581395348837209,-0.5042945091110408,0.3455813953488373,0.1154460840365225,0,0,7,12,1386,0.5891472868217054
no_memory_baseline,0.0,W2,annular_gp_single,42,0.6452380952380953,1.0476190476190477,0.0,0.2142857142857142,0.5,-0.4749658187461992,0.1038095238095238,0.0501676522290538,0,0,12,9,1516,0.492063492063492
no_memory_baseline,0.0,W3,w3_randomised_four,43,0.4988372093023255,0.813953488372093,0.0,0.1395348837209302,0.4651162790697674,-0.2270272221311806,0.2065116279069768,0.0532680159462879,0,0,17,6,1681,0.4069767441860465
no_memory_baseline,0.0,W3,w3_randomised_single,43,0.6430232558139535,1.0465116279069768,0.0,0.2325581395348837,0.5116279069767442,-0.5314705145187218,0.1102325581395349,0.098719718279623,0,0,11,10,1503,0.5232558139534884
