governor_config_id,status,run_root,episode_count,terminal_useful_rate,hard_failure_rate,mean_primitive_count,no_viable_primitive_count,memory_effect_label,config_minimum_wall_margin_m,config_minimum_speed_margin_m_s,config_maximum_hard_failure_risk,config_continuation_weight,config_terminal_weight,config_hard_failure_weight,config_energy_weight,config_lift_dwell_weight,config_wall_margin_weight,config_belief_weight,config_exploration_bonus_weight,config_no_viable_penalty,config_terminal_mode_bias,config_continuation_mode_bias,config_terminal_continuation_weight,config_terminal_terminal_weight,config_terminal_hard_failure_weight,config_terminal_energy_weight,config_terminal_lift_dwell_weight,config_terminal_wall_margin_weight,calibration_subrun_dir
v410_cfg_000_b0.05_h0.75_tb0,complete,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c000/001,600,0.15,0.59,0.96,156,memory_benefit_mixed,0.05,0.0,0.75,1.0,-0.3,-0.8,0.04,0.03,0.02,0.05,0.0,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,c000
v410_cfg_001_b0.05_h0.75_tb0.05,complete,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c001/002,600,0.16,0.54,0.92,180,memory_benefit_mixed,0.05,0.0,0.75,1.0,-0.3,-0.8,0.04,0.03,0.02,0.05,0.0004,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,c001
v410_cfg_002_b0.05_h0.72_tb0,complete,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c002/003,600,0.14,0.54,0.92,192,memory_benefit_mixed,0.05,0.0,0.72,1.0,-0.3,-0.8,0.04,0.03,0.02,0.05,0.0008,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,c002
v410_cfg_003_b0.05_h0.72_tb0.05,complete,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c003/004,600,0.13,0.61,0.92,156,memory_benefit_mixed,0.05,0.0,0.72,1.0,-0.3,-0.8,0.04,0.03,0.02,0.05,0.0012,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,c003
v410_cfg_004_b0.05_h0.7_tb0,complete,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c004/005,600,0.11,0.6,0.92,174,memory_benefit_mixed,0.05,0.0,0.7,1.0,-0.3,-0.8,0.04,0.03,0.02,0.05,0.0016,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,c004
