config_id,minimum_wall_margin_m,minimum_speed_margin_m_s,maximum_hard_failure_risk,continuation_weight,terminal_weight,hard_failure_weight,energy_weight,lift_dwell_weight,wall_margin_weight,belief_weight,exploration_bonus_weight,no_viable_penalty,terminal_mode_bias,continuation_mode_bias,terminal_continuation_weight,terminal_terminal_weight,terminal_hard_failure_weight,terminal_energy_weight,terminal_lift_dwell_weight,terminal_wall_margin_weight,claim_status
v410_cfg_000_b0.05_h0.75_tb0,0.05,0.0,0.75,1.0,-0.3,-0.8,0.04,0.03,0.02,0.05,0.0,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_001_b0.05_h0.75_tb0.05,0.05,0.0,0.75,1.0,-0.3,-0.8,0.04,0.03,0.02,0.05,0.0004,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_002_b0.05_h0.72_tb0,0.05,0.0,0.72,1.0,-0.3,-0.8,0.04,0.03,0.02,0.05,0.0008,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_003_b0.05_h0.72_tb0.05,0.05,0.0,0.72,1.0,-0.3,-0.8,0.04,0.03,0.02,0.05,0.0012,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_004_b0.05_h0.7_tb0,0.05,0.0,0.7,1.0,-0.3,-0.8,0.04,0.03,0.02,0.05,0.0016,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_005_b0.05_h0.7_tb0.05,0.05,0.0,0.7,1.0,-0.3,-0.8,0.04,0.03,0.02,0.05,0.002,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_006_b0.05_h0.68_tb0,0.05,0.0,0.68,1.0,-0.3,-0.8,0.04,0.03,0.02,0.05,0.0024,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_007_b0.05_h0.68_tb0.05,0.05,0.0,0.68,1.0,-0.3,-0.8,0.04,0.03,0.02,0.05,0.0028000000000000004,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_008_b0.05_h0.65_tb0,0.05,0.0,0.65,1.0,-0.3,-0.8,0.04,0.03,0.02,0.05,0.0032,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_009_b0.05_h0.65_tb0.05,0.05,0.0,0.65,1.0,-0.3,-0.8,0.04,0.03,0.02,0.05,0.0036,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_010_b0.1_h0.75_tb0,0.05,0.0,0.75,1.0,-0.3,-0.8,0.04,0.03,0.02,0.1,0.004,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_011_b0.1_h0.75_tb0.05,0.05,0.0,0.75,1.0,-0.3,-0.8,0.04,0.03,0.02,0.1,0.0044,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_012_b0.1_h0.72_tb0,0.05,0.0,0.72,1.0,-0.3,-0.8,0.04,0.03,0.02,0.1,0.0048,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_013_b0.1_h0.72_tb0.05,0.05,0.0,0.72,1.0,-0.3,-0.8,0.04,0.03,0.02,0.1,0.0052,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_014_b0.1_h0.7_tb0,0.05,0.0,0.7,1.0,-0.3,-0.8,0.04,0.03,0.02,0.1,0.005600000000000001,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_015_b0.1_h0.7_tb0.05,0.05,0.0,0.7,1.0,-0.3,-0.8,0.04,0.03,0.02,0.1,0.006,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_016_b0.1_h0.68_tb0,0.05,0.0,0.68,1.0,-0.3,-0.8,0.04,0.03,0.02,0.1,0.0064,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_017_b0.1_h0.68_tb0.05,0.05,0.0,0.68,1.0,-0.3,-0.8,0.04,0.03,0.02,0.1,0.0068000000000000005,-1.0,0.05,-0.02,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
v410_cfg_018_b0.1_h0.65_tb0,0.05,0.0,0.65,1.0,-0.3,-0.8,0.04,0.03,0.02,0.1,0.0072,-1.0,0.0,0.0,0.25,1.1,-0.75,0.05,0.04,0.01,simulation_only_frozen_governor_config
